,LTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
215,LTCUSD_i,202.04,200.2,199.94,203.26,201.6,201.13333333333333,200.89999999999998,201.35999999999999,23680,2021-04-05 03:00:00
216,LTCUSD_i,200.21,201.25,199.52,202.29,200.905,201.01999999999998,201.0775,200.8175,21930,2021-04-05 04:00:00
217,LTCUSD_i,201.25,206.0,198.19,207.14,202.665,203.77666666666664,204.33249999999998,203.14499999999998,47710,2021-04-05 05:00:00
218,LTCUSD_i,206.0,202.31,201.51,206.01,203.76,203.27666666666664,203.03499999999997,203.95749999999998,34810,2021-04-05 06:00:00
219,LTCUSD_i,202.31,201.75,201.69,204.37,203.03,202.60333333333332,202.39,202.52999999999997,28670,2021-04-05 07:00:00
220,LTCUSD_i,201.74,198.88,198.88,202.23,200.555,199.99666666666667,199.7175,200.4325,29410,2021-04-05 08:00:00
221,LTCUSD_i,198.88,199.48,197.78,201.27,199.525,199.51,199.5025,199.3525,27710,2021-04-05 09:00:00
222,LTCUSD_i,199.48,200.06,198.52,200.98,199.75,199.85333333333332,199.90499999999997,199.76,27410,2021-04-05 10:00:00
223,LTCUSD_i,200.06,199.61,197.94,200.74,199.34,199.42999999999998,199.475,199.58749999999998,24290,2021-04-05 11:00:00
224,LTCUSD_i,199.59,202.54,198.94,202.69,200.815,201.39,201.67749999999998,200.94,21100,2021-04-05 12:00:00
225,LTCUSD_i,202.54,203.45,202.19,203.99,203.09,203.21,203.26999999999998,203.0425,22540,2021-04-05 13:00:00
226,LTCUSD_i,203.43,203.31,202.71,203.72,203.215,203.24666666666667,203.2625,203.29250000000002,13860,2021-04-05 14:00:00
227,LTCUSD_i,203.31,205.65,203.12,207.68,205.4,205.48333333333335,205.525,204.94,26580,2021-04-05 15:00:00
228,LTCUSD_i,205.65,206.88,203.94,206.91,205.425,205.91,206.1525,205.845,24560,2021-04-05 16:00:00
229,LTCUSD_i,206.88,208.4,205.69,209.31,207.5,207.79999999999998,207.95,207.57,29760,2021-04-05 17:00:00
230,LTCUSD_i,208.39,209.07,206.19,209.07,207.63,208.10999999999999,208.34999999999997,208.17999999999998,28590,2021-04-05 18:00:00
231,LTCUSD_i,209.07,210.95,207.85,212.75,210.3,210.51666666666665,210.625,210.15499999999997,43210,2021-04-05 19:00:00
232,LTCUSD_i,210.96,215.71,210.73,216.86,213.79500000000002,214.43333333333337,214.75250000000003,213.56500000000003,54660,2021-04-05 20:00:00
233,LTCUSD_i,215.71,217.19,215.44,220.58,218.01,217.73666666666668,217.60000000000002,217.23000000000002,64910,2021-04-05 21:00:00
234,LTCUSD_i,217.19,217.6,216.06,218.07,217.065,217.24333333333334,217.3325,217.23000000000002,37040,2021-04-05 22:00:00
235,LTCUSD_i,217.6,217.02,216.94,220.23,218.58499999999998,218.0633333333333,217.80249999999998,217.9475,28210,2021-04-05 23:00:00
236,LTCUSD_i,219.97,220.59,219.97,224.85,222.41,221.8033333333333,221.5,221.345,58022,2021-04-06 01:00:00
237,LTCUSD_i,220.59,221.01,217.27,221.09,219.18,219.79,220.095,219.99,37140,2021-04-06 02:00:00
238,LTCUSD_i,221.03,226.21,219.38,227.58,223.48000000000002,224.39000000000001,224.84500000000003,223.55,58070,2021-04-06 03:00:00
239,LTCUSD_i,226.21,220.2,219.69,226.25,222.97,222.04666666666665,221.58499999999998,223.0875,52810,2021-04-06 04:00:00
