,AUDUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1321,AUDUSD_i,0.76796,0.76831,0.76796,0.7687,0.76833,0.7683233333333334,0.76832,0.7682325,2386,2021-03-10 06:00:00
1322,AUDUSD_i,0.76831,0.76769,0.76695,0.76846,0.7677050000000001,0.7677,0.7676975,0.7678525,3300,2021-03-10 07:00:00
1323,AUDUSD_i,0.76771,0.76847,0.76678,0.76856,0.7676700000000001,0.7679366666666668,0.76807,0.7678800000000001,3982,2021-03-10 08:00:00
1324,AUDUSD_i,0.76847,0.76934,0.76822,0.76949,0.7688550000000001,0.7690166666666668,0.7690975000000001,0.76888,3555,2021-03-10 09:00:00
1325,AUDUSD_i,0.76933,0.77013,0.76809,0.77025,0.76917,0.7694899999999999,0.76965,0.76945,5030,2021-03-10 10:00:00
1326,AUDUSD_i,0.77014,0.77093,0.76976,0.77104,0.7704,0.7705766666666666,0.7706649999999999,0.7704675,3896,2021-03-10 11:00:00
1327,AUDUSD_i,0.77093,0.76945,0.76944,0.77124,0.77034,0.7700433333333333,0.769895,0.770265,3194,2021-03-10 12:00:00
1328,AUDUSD_i,0.76944,0.76933,0.76863,0.76983,0.7692300000000001,0.7692633333333334,0.7692800000000001,0.7693075,3536,2021-03-10 13:00:00
1329,AUDUSD_i,0.76932,0.77081,0.76884,0.77083,0.769835,0.7701600000000001,0.7703225,0.76995,3777,2021-03-10 14:00:00
1330,AUDUSD_i,0.77081,0.7726,0.77006,0.77287,0.771465,0.7718433333333333,0.7720324999999999,0.771585,8627,2021-03-10 15:00:00
1331,AUDUSD_i,0.77263,0.77273,0.77222,0.77448,0.77335,0.7731433333333334,0.7730400000000001,0.773015,8914,2021-03-10 16:00:00
1332,AUDUSD_i,0.77271,0.77112,0.77022,0.77323,0.771725,0.7715233333333332,0.7714224999999999,0.77182,9197,2021-03-10 17:00:00
1333,AUDUSD_i,0.77112,0.77185,0.77039,0.77189,0.7711399999999999,0.7713766666666667,0.771495,0.7713125000000001,5452,2021-03-10 18:00:00
1334,AUDUSD_i,0.77185,0.772,0.77138,0.77235,0.771865,0.7719100000000001,0.7719325000000001,0.7718950000000001,4291,2021-03-10 19:00:00
1335,AUDUSD_i,0.77199,0.77295,0.77073,0.77369,0.7722100000000001,0.7724566666666668,0.77258,0.77234,7980,2021-03-10 20:00:00
1336,AUDUSD_i,0.77295,0.77344,0.77273,0.77396,0.773345,0.7733766666666666,0.7733924999999999,0.7732699999999999,3857,2021-03-10 21:00:00
1337,AUDUSD_i,0.77346,0.77346,0.77315,0.77376,0.773455,0.7734566666666667,0.7734575,0.7734575,2992,2021-03-10 22:00:00
1338,AUDUSD_i,0.77346,0.77331,0.7733,0.77394,0.77362,0.7735166666666666,0.773465,0.7735025,1356,2021-03-10 23:00:00
1339,AUDUSD_i,0.77322,0.77302,0.7729,0.77402,0.77346,0.7733133333333333,0.7732399999999999,0.77329,548,2021-03-11 00:00:00
1340,AUDUSD_i,0.77302,0.77296,0.77289,0.77351,0.7732,0.77312,0.77308,0.7730950000000001,1617,2021-03-11 01:00:00
1341,AUDUSD_i,0.77295,0.77263,0.77237,0.77405,0.77321,0.7730166666666666,0.7729199999999999,0.7729999999999999,2718,2021-03-11 02:00:00
1342,AUDUSD_i,0.77262,0.77336,0.77225,0.77374,0.772995,0.7731166666666667,0.7731775000000001,0.7729925,4040,2021-03-11 03:00:00
1343,AUDUSD_i,0.77337,0.774,0.77337,0.77486,0.774115,0.7740766666666667,0.7740575000000001,0.7739,3715,2021-03-11 04:00:00
1344,AUDUSD_i,0.77401,0.77439,0.77387,0.77464,0.7742549999999999,0.7742999999999999,0.7743224999999999,0.7742275,2751,2021-03-11 05:00:00
1345,AUDUSD_i,0.77438,0.77453,0.77357,0.77457,0.77407,0.7742233333333334,0.7743,0.7742625,2192,2021-03-11 06:00:00
1346,AUDUSD_i,0.77453,0.77483,0.77436,0.77517,0.774765,0.7747866666666666,0.7747975,0.7747225,2951,2021-03-11 07:00:00
1347,AUDUSD_i,0.77483,0.77608,0.77425,0.7762,0.775225,0.77551,0.7756525,0.77534,3267,2021-03-11 08:00:00
1348,AUDUSD_i,0.77608,0.77735,0.77574,0.77765,0.7766949999999999,0.7769133333333332,0.7770225,0.7767049999999999,3812,2021-03-11 09:00:00
1349,AUDUSD_i,0.77734,0.77778,0.77659,0.77803,0.77731,0.7774666666666666,0.7775449999999999,0.777435,5261,2021-03-11 10:00:00
1350,AUDUSD_i,0.77778,0.77756,0.7764,0.77834,0.77737,0.7774333333333333,0.7774650000000001,0.77752,3725,2021-03-11 11:00:00
1351,AUDUSD_i,0.77756,0.77729,0.77683,0.77784,0.777335,0.77732,0.7773125000000001,0.77738,3051,2021-03-11 12:00:00
1352,AUDUSD_i,0.7773,0.77742,0.7767,0.77757,0.7771349999999999,0.77723,0.7772775000000001,0.7772475,3443,2021-03-11 13:00:00
1353,AUDUSD_i,0.77742,0.77797,0.77669,0.77803,0.77736,0.7775633333333335,0.777665,0.7775275000000001,4190,2021-03-11 14:00:00
1354,AUDUSD_i,0.77797,0.77704,0.77645,0.77828,0.777365,0.7772566666666666,0.7772024999999999,0.7774349999999999,7169,2021-03-11 15:00:00
1355,AUDUSD_i,0.77702,0.77523,0.77464,0.77756,0.7761,0.77581,0.775665,0.7761125,8085,2021-03-11 16:00:00
1356,AUDUSD_i,0.77522,0.77644,0.77361,0.77681,0.77521,0.77562,0.775825,0.77552,7294,2021-03-11 17:00:00
1357,AUDUSD_i,0.77643,0.77721,0.77619,0.77751,0.77685,0.77697,0.7770300000000001,0.776835,3839,2021-03-11 18:00:00
1358,AUDUSD_i,0.7772,0.7773,0.77699,0.77773,0.77736,0.77734,0.77733,0.777305,3086,2021-03-11 19:00:00
1359,AUDUSD_i,0.7773,0.77829,0.7772,0.77897,0.778085,0.7781533333333334,0.7781875,0.77794,4839,2021-03-11 20:00:00
1360,AUDUSD_i,0.77829,0.77865,0.77812,0.7789,0.77851,0.7785566666666667,0.7785799999999999,0.77849,2826,2021-03-11 21:00:00
1361,AUDUSD_i,0.77865,0.77906,0.77844,0.77928,0.77886,0.7789266666666667,0.77896,0.7788575,2660,2021-03-11 22:00:00
