,GBPAUD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4105,GBPAUD_i,1.90664,1.90705,1.9060700000000002,1.90787,1.90697,1.906996666666667,1.90701,1.9069075,2054,2021-08-19 08:00:00
4106,GBPAUD_i,1.90707,1.90819,1.9056899999999999,1.90828,1.906985,1.9073866666666666,1.9075875,1.9073075,3948,2021-08-19 09:00:00
4107,GBPAUD_i,1.90819,1.9096899999999999,1.9074900000000001,1.91135,1.9094200000000001,1.90951,1.9095550000000001,1.90918,6643,2021-08-19 10:00:00
4108,GBPAUD_i,1.9096199999999999,1.91066,1.90961,1.91269,1.9111500000000001,1.9109866666666668,1.910905,1.9106450000000001,4861,2021-08-19 11:00:00
4109,GBPAUD_i,1.91063,1.9108100000000001,1.91015,1.91308,1.9116149999999998,1.9113466666666667,1.9112125,1.9111675000000001,4311,2021-08-19 12:00:00
4110,GBPAUD_i,1.91082,1.9104100000000002,1.91003,1.91242,1.911225,1.9109533333333335,1.9108175000000003,1.9109200000000002,3292,2021-08-19 13:00:00
4111,GBPAUD_i,1.9104100000000002,1.90831,1.90812,1.91245,1.910285,1.9096266666666668,1.9092975,1.9098225000000002,3539,2021-08-19 14:00:00
4112,GBPAUD_i,1.9083,1.9077199999999999,1.9064100000000002,1.90855,1.90748,1.9075600000000001,1.9076,1.9077450000000002,5184,2021-08-19 15:00:00
4113,GBPAUD_i,1.9077199999999999,1.90699,1.9062000000000001,1.90859,1.9073950000000002,1.9072600000000002,1.9071925000000003,1.907375,6979,2021-08-19 16:00:00
4114,GBPAUD_i,1.90694,1.9084699999999999,1.90507,1.9099300000000001,1.9075000000000002,1.9078233333333336,1.907985,1.9076025000000003,8589,2021-08-19 17:00:00
4115,GBPAUD_i,1.9084699999999999,1.9066,1.9056899999999999,1.9086699999999999,1.9071799999999999,1.9069866666666666,1.90689,1.9073574999999998,6585,2021-08-19 18:00:00
4116,GBPAUD_i,1.9066100000000001,1.90578,1.90575,1.90793,1.9068399999999999,1.9064866666666667,1.90631,1.9065175,4108,2021-08-19 19:00:00
4117,GBPAUD_i,1.90576,1.9085100000000002,1.90571,1.9085299999999998,1.90712,1.9075833333333332,1.9078149999999998,1.9071274999999999,3431,2021-08-19 20:00:00
4118,GBPAUD_i,1.90849,1.907,1.90698,1.90918,1.90808,1.90772,1.90754,1.9079125000000001,5844,2021-08-19 21:00:00
4119,GBPAUD_i,1.90703,1.90728,1.90667,1.9083700000000001,1.90752,1.90744,1.9074,1.9073375,4615,2021-08-19 22:00:00
4120,GBPAUD_i,1.90728,1.9072900000000002,1.90663,1.90774,1.9071850000000001,1.90722,1.9072375,1.907235,1515,2021-08-19 23:00:00
4121,GBPAUD_i,1.90712,1.90587,1.90499,1.90845,1.90672,1.9064366666666668,1.906295,1.9066075,463,2021-08-20 00:00:00
4122,GBPAUD_i,1.90557,1.90696,1.90557,1.90769,1.90663,1.90674,1.906795,1.9064475,759,2021-08-20 01:00:00
4123,GBPAUD_i,1.90696,1.907,1.90673,1.9076300000000002,1.90718,1.9071200000000001,1.9070900000000002,1.90708,913,2021-08-20 02:00:00
4124,GBPAUD_i,1.907,1.90636,1.90526,1.90712,1.90619,1.9062466666666669,1.9062750000000002,1.906435,2051,2021-08-20 03:00:00
4125,GBPAUD_i,1.90638,1.9102000000000001,1.9056,1.91079,1.908195,1.9088633333333334,1.9091974999999999,1.9082425,3552,2021-08-20 04:00:00
4126,GBPAUD_i,1.9102000000000001,1.90936,1.9092099999999999,1.91075,1.90998,1.909773333333333,1.9096699999999998,1.9098799999999998,2357,2021-08-20 05:00:00
