,SPX500_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6203,SPX500_m_i,4567.6,4588.3,4553.6,4589.3,4571.450000000001,4577.066666666667,4579.875,4574.700000000001,10057,2021-12-06 17:00:00
6204,SPX500_m_i,4588.3,4578.9,4570.5,4589.8,4580.15,4579.733333333333,4579.525,4581.875,6872,2021-12-06 18:00:00
6205,SPX500_m_i,4579.3,4601.2,4577.9,4601.2,4589.549999999999,4593.433333333333,4595.375,4589.9,3938,2021-12-06 19:00:00
6206,SPX500_m_i,4601.2,4608.6,4598.0,4611.2,4604.6,4605.933333333333,4606.6,4604.75,4260,2021-12-06 20:00:00
6207,SPX500_m_i,4608.8,4593.9,4592.9,4612.8,4602.85,4599.866666666667,4598.375,4602.1,4365,2021-12-06 21:00:00
6208,SPX500_m_i,4593.7,4593.2,4588.3,4601.1,4594.700000000001,4594.200000000001,4593.950000000001,4594.075000000001,5402,2021-12-06 22:00:00
6209,SPX500_m_i,4593.8,4595.1,4591.6,4595.8,4593.700000000001,4594.166666666667,4594.400000000001,4594.075000000001,370,2021-12-07 01:00:00
6210,SPX500_m_i,4595.6,4594.6,4588.8,4596.1,4592.450000000001,4593.166666666667,4593.525000000001,4593.775000000001,1363,2021-12-07 02:00:00
6211,SPX500_m_i,4594.8,4601.6,4594.1,4605.6,4599.85,4600.433333333333,4600.725,4599.025000000001,1615,2021-12-07 03:00:00
6212,SPX500_m_i,4601.8,4596.1,4595.3,4602.3,4598.8,4597.900000000001,4597.450000000001,4598.875,1114,2021-12-07 04:00:00
6213,SPX500_m_i,4596.3,4602.8,4594.8,4603.1,4598.950000000001,4600.233333333334,4600.875,4599.25,760,2021-12-07 05:00:00
6214,SPX500_m_i,4602.8,4608.1,4602.1,4609.8,4605.950000000001,4606.666666666667,4607.025000000001,4605.700000000001,667,2021-12-07 06:00:00
6215,SPX500_m_i,4608.1,4620.3,4606.8,4620.3,4613.55,4615.8,4616.925,4613.875,940,2021-12-07 07:00:00
6216,SPX500_m_i,4620.1,4620.3,4616.1,4621.8,4618.950000000001,4619.400000000001,4619.625,4619.575000000001,999,2021-12-07 08:00:00
6217,SPX500_m_i,4620.3,4628.8,4619.6,4629.8,4624.700000000001,4626.066666666667,4626.75,4624.625,1388,2021-12-07 09:00:00
6218,SPX500_m_i,4628.6,4642.6,4626.1,4643.6,4634.85,4637.433333333333,4638.725,4635.225,2334,2021-12-07 10:00:00
6219,SPX500_m_i,4642.6,4643.8,4640.1,4648.3,4644.200000000001,4644.066666666667,4644.0,4643.700000000001,1709,2021-12-07 11:00:00
6220,SPX500_m_i,4643.8,4654.1,4643.3,4658.1,4650.700000000001,4651.833333333334,4652.400000000001,4649.825000000001,1357,2021-12-07 12:00:00
6221,SPX500_m_i,4653.8,4653.1,4649.3,4655.6,4652.450000000001,4652.666666666667,4652.775000000001,4652.950000000001,1076,2021-12-07 13:00:00
6222,SPX500_m_i,4653.1,4651.6,4648.1,4654.6,4651.35,4651.433333333333,4651.475,4651.85,915,2021-12-07 14:00:00
6223,SPX500_m_i,4651.6,4648.6,4648.3,4655.6,4651.950000000001,4650.833333333334,4650.275000000001,4651.025000000001,884,2021-12-07 15:00:00
6224,SPX500_m_i,4648.6,4677.6,4644.5,4677.6,4661.05,4666.566666666667,4669.325000000001,4662.075000000001,3938,2021-12-07 16:00:00
6225,SPX500_m_i,4677.8,4690.1,4674.8,4692.9,4683.85,4685.933333333333,4686.975,4683.900000000001,3579,2021-12-07 17:00:00
6226,SPX500_m_i,4690.1,4686.9,4686.0,4693.9,4689.95,4688.933333333333,4688.424999999999,4689.225,2161,2021-12-07 18:00:00
6227,SPX500_m_i,4686.9,4691.7,4685.1,4692.1,4688.6,4689.633333333334,4690.150000000001,4688.950000000001,1329,2021-12-07 19:00:00
