,USDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4945,USDCHF_i,0.92736,0.92823,0.92711,0.92824,0.927675,0.92786,0.9279525000000001,0.927735,559,2021-10-07 08:00:00
4946,USDCHF_i,0.92823,0.9265,0.9262,0.92823,0.927215,0.9269766666666667,0.9268575,0.9272900000000001,1547,2021-10-07 09:00:00
4947,USDCHF_i,0.9265,0.92678,0.92628,0.92715,0.926715,0.9267366666666667,0.9267475,0.9266774999999999,2301,2021-10-07 10:00:00
4948,USDCHF_i,0.92678,0.92699,0.9263,0.9271,0.9267000000000001,0.9267966666666667,0.926845,0.9267925,1683,2021-10-07 11:00:00
4949,USDCHF_i,0.92699,0.92682,0.92675,0.92746,0.927105,0.92701,0.9269624999999999,0.927005,1689,2021-10-07 12:00:00
4950,USDCHF_i,0.92682,0.92579,0.92576,0.92694,0.92635,0.9261633333333333,0.9260700000000001,0.9263275,1169,2021-10-07 13:00:00
4951,USDCHF_i,0.92579,0.92597,0.92515,0.92621,0.9256800000000001,0.9257766666666667,0.925825,0.92578,2226,2021-10-07 14:00:00
4952,USDCHF_i,0.92597,0.92716,0.92593,0.92747,0.9267000000000001,0.9268533333333334,0.92693,0.9266325000000001,2785,2021-10-07 15:00:00
4953,USDCHF_i,0.92716,0.92656,0.92614,0.92767,0.926905,0.92679,0.9267325,0.9268825,3443,2021-10-07 16:00:00
4954,USDCHF_i,0.92657,0.92697,0.92583,0.9274,0.926615,0.9267333333333333,0.9267924999999999,0.9266924999999999,3055,2021-10-07 17:00:00
4955,USDCHF_i,0.92697,0.92793,0.92648,0.92793,0.9272050000000001,0.9274466666666666,0.9275675,0.9273275,2181,2021-10-07 18:00:00
4956,USDCHF_i,0.92791,0.92828,0.92775,0.92841,0.92808,0.9281466666666667,0.92818,0.9280875,1179,2021-10-07 19:00:00
4957,USDCHF_i,0.92828,0.9281,0.92748,0.9283,0.92789,0.92796,0.927995,0.92804,918,2021-10-07 20:00:00
