,AUDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
3996,AUDCHF_i,0.67765,0.67764,0.67758,0.678,0.67779,0.67774,0.6777150000000001,0.6777175,1023,2021-08-12 19:00:00
3997,AUDCHF_i,0.67763,0.67769,0.6774,0.6778,0.6776,0.6776300000000001,0.677645,0.67763,1350,2021-08-12 20:00:00
3998,AUDCHF_i,0.6777,0.67721,0.67718,0.67772,0.67745,0.6773699999999999,0.67733,0.6774525,1240,2021-08-12 21:00:00
3999,AUDCHF_i,0.67722,0.6774,0.67713,0.67751,0.6773199999999999,0.6773466666666667,0.67736,0.677315,1203,2021-08-12 22:00:00
4000,AUDCHF_i,0.67738,0.67725,0.67709,0.67738,0.677235,0.67724,0.6772425,0.677275,757,2021-08-12 23:00:00
4001,AUDCHF_i,0.67682,0.67698,0.6764,0.67774,0.6770700000000001,0.67704,0.677025,0.676985,356,2021-08-13 00:00:00
4002,AUDCHF_i,0.67698,0.6774,0.67688,0.67761,0.6772450000000001,0.6772966666666668,0.6773225,0.6772175,575,2021-08-13 01:00:00
4003,AUDCHF_i,0.67741,0.67739,0.67733,0.67763,0.67748,0.67745,0.677435,0.67744,496,2021-08-13 02:00:00
4004,AUDCHF_i,0.6774,0.67726,0.67697,0.67745,0.67721,0.6772266666666665,0.6772349999999999,0.6772699999999999,602,2021-08-13 03:00:00
4005,AUDCHF_i,0.67725,0.67723,0.67684,0.67729,0.677065,0.67712,0.6771475,0.6771525,753,2021-08-13 04:00:00
4006,AUDCHF_i,0.67723,0.67748,0.67708,0.67791,0.677495,0.67749,0.6774875,0.6774249999999999,672,2021-08-13 05:00:00
4007,AUDCHF_i,0.67748,0.6777,0.67736,0.67784,0.6776,0.6776333333333332,0.6776499999999999,0.677595,493,2021-08-13 06:00:00
4008,AUDCHF_i,0.6777,0.67726,0.67726,0.67777,0.677515,0.6774299999999999,0.6773874999999999,0.6774974999999999,374,2021-08-13 07:00:00
4009,AUDCHF_i,0.67725,0.67711,0.6769,0.67737,0.677135,0.6771266666666667,0.6771225,0.6771575,543,2021-08-13 08:00:00
4010,AUDCHF_i,0.67713,0.67728,0.67708,0.67762,0.67735,0.6773266666666666,0.677315,0.6772775,1181,2021-08-13 09:00:00
4011,AUDCHF_i,0.67729,0.67747,0.67713,0.67796,0.6775450000000001,0.67752,0.6775075,0.6774625000000001,1435,2021-08-13 10:00:00
4012,AUDCHF_i,0.67747,0.677,0.67653,0.67752,0.677025,0.6770166666666667,0.6770125,0.67713,1155,2021-08-13 11:00:00
4013,AUDCHF_i,0.677,0.67678,0.67665,0.67739,0.67702,0.67694,0.6769,0.676955,1183,2021-08-13 12:00:00
4014,AUDCHF_i,0.67679,0.67683,0.67657,0.67689,0.67673,0.6767633333333333,0.6767799999999999,0.67677,845,2021-08-13 13:00:00
4015,AUDCHF_i,0.67682,0.67633,0.6759,0.67687,0.676385,0.6763666666666667,0.6763575000000001,0.67648,1544,2021-08-13 14:00:00
4016,AUDCHF_i,0.67632,0.67626,0.67595,0.67643,0.6761900000000001,0.6762133333333334,0.6762250000000001,0.6762400000000001,1733,2021-08-13 15:00:00
4017,AUDCHF_i,0.67627,0.67527,0.67524,0.67658,0.67591,0.6756966666666667,0.6755900000000001,0.6758400000000001,2530,2021-08-13 16:00:00
4018,AUDCHF_i,0.6753,0.67546,0.67508,0.67594,0.67551,0.6754933333333334,0.6754850000000001,0.6754450000000001,4029,2021-08-13 17:00:00
4019,AUDCHF_i,0.67547,0.67558,0.67543,0.6757,0.675565,0.67557,0.6755725,0.6755450000000001,2041,2021-08-13 18:00:00
4020,AUDCHF_i,0.67557,0.67499,0.67498,0.67558,0.67528,0.6751833333333334,0.675135,0.67528,872,2021-08-13 19:00:00
4021,AUDCHF_i,0.67498,0.67477,0.67467,0.675,0.6748350000000001,0.6748133333333334,0.6748025000000001,0.6748550000000001,830,2021-08-13 20:00:00
4022,AUDCHF_i,0.67479,0.67464,0.67443,0.67479,0.6746099999999999,0.67462,0.674625,0.6746624999999999,630,2021-08-13 21:00:00
4023,AUDCHF_i,0.67465,0.6748,0.67436,0.6748,0.67458,0.6746533333333332,0.6746899999999999,0.6746524999999999,585,2021-08-13 22:00:00
4024,AUDCHF_i,0.67479,0.6742,0.67409,0.6748,0.674445,0.6743633333333333,0.6743224999999999,0.6744699999999999,775,2021-08-13 23:00:00
4025,AUDCHF_i,0.67433,0.67417,0.67368,0.67476,0.67422,0.6742033333333334,0.6741950000000001,0.674235,353,2021-08-16 00:00:00
4026,AUDCHF_i,0.67398,0.6744,0.67388,0.67463,0.674255,0.6743033333333334,0.6743275,0.6742225,614,2021-08-16 01:00:00
4027,AUDCHF_i,0.67443,0.674,0.67396,0.67457,0.674265,0.6741766666666668,0.6741325,0.6742400000000001,462,2021-08-16 02:00:00
4028,AUDCHF_i,0.67399,0.67305,0.67298,0.67409,0.673535,0.6733733333333333,0.6732925,0.6735275,907,2021-08-16 03:00:00
4029,AUDCHF_i,0.67306,0.67298,0.67293,0.67334,0.673135,0.6730833333333334,0.6730575,0.6730775,860,2021-08-16 04:00:00
4030,AUDCHF_i,0.67296,0.67241,0.67235,0.67296,0.672655,0.6725733333333332,0.6725325,0.6726699999999999,970,2021-08-16 05:00:00
4031,AUDCHF_i,0.6724,0.67202,0.67181,0.6724,0.672105,0.6720766666666665,0.6720624999999999,0.6721575,1099,2021-08-16 06:00:00
4032,AUDCHF_i,0.672,0.6723,0.67175,0.67241,0.67208,0.6721533333333333,0.67219,0.672115,557,2021-08-16 07:00:00
4033,AUDCHF_i,0.67228,0.67175,0.67151,0.67231,0.67191,0.6718566666666667,0.6718299999999999,0.6719625,660,2021-08-16 08:00:00
4034,AUDCHF_i,0.67171,0.67168,0.67153,0.67237,0.67195,0.67186,0.671815,0.6718225,1300,2021-08-16 09:00:00
4035,AUDCHF_i,0.67167,0.6711,0.67089,0.6719,0.671395,0.6712966666666667,0.6712475,0.6713899999999999,2162,2021-08-16 10:00:00
4036,AUDCHF_i,0.67109,0.66982,0.66964,0.6712,0.67042,0.67022,0.67012,0.6704375,1688,2021-08-16 11:00:00
4037,AUDCHF_i,0.66983,0.67033,0.66971,0.67048,0.670095,0.6701733333333334,0.6702125,0.6700875000000001,1443,2021-08-16 12:00:00
