,EURJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6203,EURJPY_i,128.151,128.085,128.038,128.227,128.1325,128.11666666666667,128.10875000000001,128.12525,3280,2021-12-20 19:00:00
6204,EURJPY_i,128.086,128.189,128.052,128.209,128.13049999999998,128.14999999999998,128.15974999999997,128.134,2854,2021-12-20 20:00:00
6205,EURJPY_i,128.189,128.185,128.168,128.269,128.2185,128.20733333333334,128.20175,128.20275,3268,2021-12-20 21:00:00
6206,EURJPY_i,128.186,128.171,128.133,128.23,128.1815,128.178,128.17624999999998,128.18,2905,2021-12-20 22:00:00
6207,EURJPY_i,128.172,128.115,128.105,128.199,128.152,128.13966666666667,128.1335,128.14775,1173,2021-12-20 23:00:00
6208,EURJPY_i,128.115,128.105,128.065,128.161,128.113,128.11033333333333,128.109,128.1115,1323,2021-12-21 00:00:00
6209,EURJPY_i,128.105,128.165,128.053,128.17,128.11149999999998,128.1293333333333,128.13824999999997,128.12324999999998,1472,2021-12-21 01:00:00
6210,EURJPY_i,128.167,128.122,128.095,128.178,128.1365,128.1316666666667,128.12925,128.1405,2355,2021-12-21 02:00:00
6211,EURJPY_i,128.121,128.223,128.039,128.265,128.152,128.17566666666667,128.1875,128.162,2865,2021-12-21 03:00:00
6212,EURJPY_i,128.222,128.261,128.2,128.297,128.24849999999998,128.25266666666664,128.25474999999997,128.24499999999998,2004,2021-12-21 04:00:00
6213,EURJPY_i,128.26,128.23,128.201,128.284,128.2425,128.23833333333334,128.23625,128.24375,1647,2021-12-21 05:00:00
6214,EURJPY_i,128.23,128.227,128.167,128.23,128.1985,128.208,128.21275,128.2135,1423,2021-12-21 06:00:00
6215,EURJPY_i,128.228,128.282,128.196,128.291,128.24349999999998,128.25633333333334,128.26275,128.24925000000002,1704,2021-12-21 07:00:00
6216,EURJPY_i,128.282,128.266,128.236,128.316,128.276,128.27266666666665,128.271,128.275,1644,2021-12-21 08:00:00
6217,EURJPY_i,128.267,128.29,128.225,128.42,128.3225,128.31166666666664,128.30624999999998,128.3005,3961,2021-12-21 09:00:00
6218,EURJPY_i,128.289,128.372,128.249,128.397,128.32299999999998,128.33933333333331,128.3475,128.32675,5441,2021-12-21 10:00:00
6219,EURJPY_i,128.372,128.344,128.314,128.427,128.3705,128.36166666666665,128.35725,128.36425,3936,2021-12-21 11:00:00
6220,EURJPY_i,128.344,128.362,128.308,128.44,128.374,128.37,128.368,128.3635,3523,2021-12-21 12:00:00
