,USDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
5134,USDCAD_i,1.2352,1.23469,1.23468,1.23569,1.235185,1.23502,1.2349375,1.235065,1007,2021-10-19 05:00:00
5135,USDCAD_i,1.23469,1.23464,1.2344,1.23542,1.23491,1.23482,1.234775,1.2347875,1321,2021-10-19 06:00:00
5136,USDCAD_i,1.2346300000000001,1.23483,1.2340200000000001,1.23487,1.234445,1.2345733333333333,1.2346375,1.2345875,1100,2021-10-19 07:00:00
5137,USDCAD_i,1.23482,1.23342,1.2334,1.23489,1.234145,1.2339033333333334,1.2337825,1.2341325,905,2021-10-19 08:00:00
5138,USDCAD_i,1.23342,1.23267,1.23249,1.23383,1.23316,1.2329966666666667,1.232915,1.2331025,2155,2021-10-19 09:00:00
5139,USDCAD_i,1.23266,1.2333,1.2319499999999999,1.23332,1.232635,1.2328566666666667,1.2329675,1.2328075,3963,2021-10-19 10:00:00
5140,USDCAD_i,1.23329,1.23199,1.23192,1.23332,1.2326199999999998,1.2324099999999998,1.2323049999999998,1.23263,2385,2021-10-19 11:00:00
5141,USDCAD_i,1.23198,1.23191,1.23163,1.23222,1.231925,1.23192,1.2319175,1.231935,1628,2021-10-19 12:00:00
5142,USDCAD_i,1.23192,1.23247,1.23103,1.23253,1.23178,1.23201,1.2321250000000001,1.2319875,2364,2021-10-19 13:00:00
5143,USDCAD_i,1.23247,1.23372,1.23231,1.23442,1.233365,1.2334833333333333,1.2335425,1.23323,2807,2021-10-19 14:00:00
5144,USDCAD_i,1.23369,1.23543,1.23369,1.23608,1.234885,1.2350666666666668,1.2351575000000001,1.2347225,2862,2021-10-19 15:00:00
5145,USDCAD_i,1.23543,1.2352,1.23509,1.23732,1.236205,1.23587,1.2357025,1.23576,3702,2021-10-19 16:00:00
5146,USDCAD_i,1.23522,1.23551,1.23492,1.23724,1.2360799999999998,1.23589,1.235795,1.2357225,4450,2021-10-19 17:00:00
5147,USDCAD_i,1.23554,1.23529,1.23466,1.23603,1.2353450000000001,1.2353266666666667,1.2353175,1.2353800000000001,2937,2021-10-19 18:00:00
5148,USDCAD_i,1.23528,1.23554,1.23522,1.23594,1.2355800000000001,1.235566666666667,1.2355600000000002,1.2354950000000002,2271,2021-10-19 19:00:00
5149,USDCAD_i,1.23556,1.23529,1.23479,1.23565,1.23522,1.2352433333333332,1.235255,1.2353225,1768,2021-10-19 20:00:00
5150,USDCAD_i,1.23529,1.23579,1.23514,1.23666,1.2359,1.2358633333333333,1.2358449999999999,1.23572,1849,2021-10-19 21:00:00
5151,USDCAD_i,1.23579,1.23669,1.2356,1.23673,1.2361650000000002,1.2363400000000002,1.2364275000000002,1.2362025,2281,2021-10-19 22:00:00
5152,USDCAD_i,1.23668,1.23612,1.23611,1.23682,1.236465,1.23635,1.2362925,1.2364325,928,2021-10-19 23:00:00
5153,USDCAD_i,1.23612,1.2356,1.23531,1.23639,1.2358500000000001,1.2357666666666667,1.235725,1.235855,393,2021-10-20 00:00:00
5154,USDCAD_i,1.23559,1.23621,1.23559,1.23667,1.23613,1.2361566666666668,1.23617,1.236015,536,2021-10-20 01:00:00
5155,USDCAD_i,1.23621,1.23542,1.2353399999999999,1.23648,1.23591,1.2357466666666668,1.235665,1.2358625,900,2021-10-20 02:00:00
5156,USDCAD_i,1.23544,1.23517,1.23513,1.23659,1.2358600000000002,1.2356300000000002,1.2355150000000001,1.2355825,2841,2021-10-20 03:00:00
5157,USDCAD_i,1.23518,1.2352400000000001,1.23394,1.23565,1.234795,1.2349433333333335,1.2350175,1.2350025,2916,2021-10-20 04:00:00
5158,USDCAD_i,1.2352400000000001,1.23577,1.23459,1.23612,1.2353550000000002,1.2354933333333336,1.2355625000000001,1.23543,2621,2021-10-20 05:00:00
5159,USDCAD_i,1.23575,1.23418,1.2341199999999999,1.23588,1.2349999999999999,1.2347266666666668,1.23459,1.2349825,1351,2021-10-20 06:00:00
5160,USDCAD_i,1.23417,1.23362,1.2335,1.2344,1.23395,1.23384,1.2337850000000001,1.2339225,1275,2021-10-20 07:00:00
5161,USDCAD_i,1.23362,1.23416,1.2335,1.23454,1.2340200000000001,1.2340666666666669,1.2340900000000001,1.2339550000000001,1671,2021-10-20 08:00:00
5162,USDCAD_i,1.23415,1.23546,1.23406,1.23553,1.234795,1.2350166666666667,1.2351275,1.2348,2571,2021-10-20 09:00:00
5163,USDCAD_i,1.23544,1.23478,1.23348,1.23559,1.234535,1.2346166666666667,1.2346575,1.2348225,3923,2021-10-20 10:00:00
5164,USDCAD_i,1.23478,1.23458,1.23397,1.23508,1.234525,1.2345433333333335,1.2345525000000002,1.2346025,3079,2021-10-20 11:00:00
