,GER40_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4677,GER40_m_i,14425.5,14441.5,14424.5,14442.5,14433.5,14436.166666666666,14437.5,14433.5,1756,2021-03-10 12:00:00
4678,GER40_m_i,14439.5,14471.8,14408.8,14482.8,14445.8,14454.466666666665,14458.8,14450.724999999999,8811,2021-03-10 13:00:00
4679,GER40_m_i,14472.8,14487.8,14457.8,14493.8,14475.8,14479.799999999997,14481.8,14478.05,5039,2021-03-10 14:00:00
4680,GER40_m_i,14488.8,14478.8,14473.8,14503.8,14488.8,14485.466666666665,14483.8,14486.3,3943,2021-03-10 15:00:00
4681,GER40_m_i,14478.8,14478.8,14454.8,14492.8,14473.8,14475.466666666665,14476.3,14476.3,3990,2021-03-10 16:00:00
4682,GER40_m_i,14478.8,14496.8,14475.8,14499.8,14487.8,14490.799999999997,14492.3,14487.8,4052,2021-03-10 17:00:00
4683,GER40_m_i,14496.8,14531.8,14479.8,14539.8,14509.8,14517.133333333331,14520.8,14512.05,5316,2021-03-10 18:00:00
4684,GER40_m_i,14532.8,14544.8,14521.8,14559.8,14540.8,14542.133333333331,14542.8,14539.8,6331,2021-03-10 19:00:00
4685,GER40_m_i,14544.8,14537.8,14517.8,14562.0,14539.9,14539.199999999999,14538.849999999999,14540.599999999999,6608,2021-03-10 20:00:00
4686,GER40_m_i,14537.8,14536.8,14517.8,14546.8,14532.3,14533.799999999997,14534.55,14534.8,5844,2021-03-10 21:00:00
4687,GER40_m_i,14537.8,14535.8,14520.8,14540.8,14530.8,14532.466666666665,14533.3,14533.8,3630,2021-03-10 22:00:00
4688,GER40_m_i,14536.8,14536.8,14518.8,14544.8,14531.8,14533.466666666665,14534.3,14534.3,4870,2021-03-10 23:00:00
4689,GER40_m_i,14535.8,14551.8,14531.8,14556.8,14544.3,14546.799999999997,14548.05,14544.05,2480,2021-03-11 00:00:00
4690,GER40_m_i,14552.8,14549.8,14539.8,14555.8,14547.8,14548.466666666665,14548.8,14549.55,1664,2021-03-11 01:00:00
4691,GER40_m_i,14582.6,14578.6,14572.5,14589.6,14581.05,14580.233333333332,14579.824999999999,14580.824999999999,1442,2021-03-11 12:00:00
4692,GER40_m_i,14578.6,14532.5,14523.8,14579.9,14551.849999999999,14545.4,14542.175,14553.699999999999,8193,2021-03-11 13:00:00
4693,GER40_m_i,14531.5,14526.0,14519.0,14557.0,14538.0,14534.0,14532.0,14533.375,4449,2021-03-11 14:00:00
4694,GER40_m_i,14526.0,14541.0,14516.0,14548.0,14532.0,14535.0,14536.5,14532.75,3568,2021-03-11 15:00:00
4695,GER40_m_i,14541.0,14527.0,14523.0,14546.0,14534.5,14532.0,14530.75,14534.25,3180,2021-03-11 16:00:00
4696,GER40_m_i,14527.0,14575.0,14520.0,14575.0,14547.5,14556.666666666666,14561.25,14549.25,4090,2021-03-11 17:00:00
4697,GER40_m_i,14574.0,14567.0,14543.0,14597.0,14570.0,14569.0,14568.5,14570.25,5286,2021-03-11 18:00:00
4698,GER40_m_i,14566.0,14573.0,14551.0,14582.0,14566.5,14568.666666666666,14569.75,14568.0,5650,2021-03-11 19:00:00
4699,GER40_m_i,14574.0,14568.0,14560.0,14591.0,14575.5,14573.0,14571.75,14573.25,5062,2021-03-11 20:00:00
4700,GER40_m_i,14568.0,14551.0,14550.0,14586.0,14568.0,14562.333333333334,14559.5,14563.75,3238,2021-03-11 21:00:00
4701,GER40_m_i,14551.0,14567.0,14550.0,14570.0,14560.0,14562.333333333334,14563.5,14559.5,2868,2021-03-11 22:00:00
4702,GER40_m_i,14567.0,14553.1,14551.3,14574.0,14562.65,14559.466666666667,14557.875,14561.35,2725,2021-03-11 23:00:00
4703,GER40_m_i,14553.0,14550.3,14549.0,14565.5,14557.25,14554.933333333334,14553.775000000001,14554.45,2552,2021-03-12 00:00:00
4704,GER40_m_i,14550.4,14553.1,14548.0,14555.5,14551.75,14552.199999999999,14552.425,14551.75,1225,2021-03-12 01:00:00
4705,GER40_m_i,14528.0,14513.1,14508.0,14531.0,14519.5,14517.366666666667,14516.3,14520.025,2174,2021-03-12 12:00:00
4706,GER40_m_i,14513.0,14485.9,14470.8,14529.9,14500.349999999999,14495.533333333333,14493.125,14499.9,9374,2021-03-12 13:00:00
4707,GER40_m_i,14484.9,14485.9,14472.8,14503.9,14488.349999999999,14487.533333333333,14487.125,14486.875,5456,2021-03-12 14:00:00
4708,GER40_m_i,14486.9,14491.9,14460.9,14495.9,14478.4,14482.9,14485.15,14483.9,4288,2021-03-12 15:00:00
4709,GER40_m_i,14490.9,14464.9,14450.9,14490.9,14470.9,14468.9,14467.9,14474.4,3692,2021-03-12 16:00:00
4710,GER40_m_i,14465.9,14491.9,14460.9,14493.9,14477.4,14482.233333333332,14484.65,14478.15,3750,2021-03-12 17:00:00
4711,GER40_m_i,14492.9,14473.9,14470.9,14495.9,14483.4,14480.233333333332,14478.65,14483.4,3418,2021-03-12 18:00:00
4712,GER40_m_i,14473.9,14506.9,14463.9,14511.9,14487.9,14494.233333333332,14497.4,14489.15,5290,2021-03-12 19:00:00
4713,GER40_m_i,14507.9,14498.9,14487.9,14518.9,14503.4,14501.9,14501.15,14503.4,4826,2021-03-12 20:00:00
4714,GER40_m_i,14498.9,14513.3,14490.9,14520.9,14505.9,14508.366666666667,14509.599999999999,14506.0,4317,2021-03-12 21:00:00
4715,GER40_m_i,14514.5,14512.9,14505.9,14521.3,14513.599999999999,14513.366666666667,14513.25,14513.65,2623,2021-03-12 22:00:00
4716,GER40_m_i,14512.9,14515.3,14506.9,14522.6,14514.75,14514.933333333334,14515.025000000001,14514.425000000001,2373,2021-03-12 23:00:00
4717,GER40_m_i,14511.0,14516.8,14507.0,14522.7,14514.85,14515.5,14515.825,14514.375,1642,2021-03-15 12:00:00
4718,GER40_m_i,14518.8,14546.0,14489.1,14576.1,14532.6,14537.066666666666,14539.3,14532.5,8656,2021-03-15 13:00:00
4719,GER40_m_i,14547.0,14540.0,14536.0,14556.0,14546.0,14544.0,14543.0,14544.75,4160,2021-03-15 14:00:00
4720,GER40_m_i,14540.0,14526.0,14522.0,14547.0,14534.5,14531.666666666666,14530.25,14533.75,3110,2021-03-15 15:00:00
4721,GER40_m_i,14526.0,14518.0,14512.0,14537.0,14524.5,14522.333333333334,14521.25,14523.25,3110,2021-03-15 16:00:00
4722,GER40_m_i,14519.0,14508.0,14482.0,14519.0,14500.5,14503.0,14504.25,14507.0,3413,2021-03-15 17:00:00
4723,GER40_m_i,14508.0,14531.4,14505.0,14537.6,14521.3,14524.666666666666,14526.35,14520.5,4129,2021-03-15 18:00:00
4724,GER40_m_i,14531.0,14504.7,14496.0,14535.7,14515.85,14512.133333333333,14510.275000000001,14516.85,4195,2021-03-15 19:00:00
4725,GER40_m_i,14504.6,14447.7,14410.8,14519.0,14464.9,14459.166666666666,14456.3,14470.525,5394,2021-03-15 20:00:00
4726,GER40_m_i,14447.1,14476.4,14444.0,14478.1,14461.05,14466.166666666666,14468.725,14461.4,3470,2021-03-15 21:00:00
4727,GER40_m_i,14476.4,14489.1,14466.0,14489.3,14477.65,14481.466666666667,14483.375,14480.2,1700,2021-03-15 22:00:00
4728,GER40_m_i,14489.2,14488.5,14482.7,14501.5,14492.1,14490.9,14490.3,14490.474999999999,1795,2021-03-15 23:00:00
4729,GER40_m_i,14488.5,14520.0,14477.3,14525.5,14501.4,14507.6,14510.7,14502.825,2147,2021-03-16 00:00:00
4730,GER40_m_i,14519.0,14508.0,14507.0,14522.3,14514.65,14512.433333333334,14511.325,14514.075,580,2021-03-16 01:00:00
4731,GER40_m_i,14524.5,14529.5,14515.5,14536.5,14526.0,14527.166666666666,14527.75,14526.5,1520,2021-03-16 12:00:00
4732,GER40_m_i,14534.5,14523.8,14514.9,14552.8,14533.849999999999,14530.5,14528.825,14531.5,6995,2021-03-16 13:00:00
4733,GER40_m_i,14523.8,14543.8,14519.8,14555.8,14537.8,14539.799999999997,14540.8,14535.8,3910,2021-03-16 14:00:00
4734,GER40_m_i,14544.8,14554.8,14538.8,14557.8,14548.3,14550.466666666665,14551.55,14549.05,3470,2021-03-16 15:00:00
4735,GER40_m_i,14554.8,14555.8,14550.8,14579.8,14565.3,14562.133333333331,14560.55,14560.3,3440,2021-03-16 16:00:00
4736,GER40_m_i,14555.8,14553.8,14549.8,14566.8,14558.3,14556.799999999997,14556.05,14556.55,2990,2021-03-16 17:00:00
4737,GER40_m_i,14552.8,14580.8,14552.8,14586.8,14569.8,14573.466666666665,14575.3,14568.3,3630,2021-03-16 18:00:00
4738,GER40_m_i,14579.8,14575.0,14566.8,14605.8,14586.3,14582.533333333333,14580.65,14581.849999999999,3594,2021-03-16 19:00:00
4739,GER40_m_i,14575.5,14577.5,14569.8,14598.2,14584.0,14581.833333333334,14580.75,14580.25,3422,2021-03-16 20:00:00
4740,GER40_m_i,14577.3,14569.1,14559.2,14582.3,14570.75,14570.199999999999,14569.925,14571.974999999999,3150,2021-03-16 21:00:00
4741,GER40_m_i,14569.3,14556.9,14555.8,14581.8,14568.8,14564.833333333334,14562.85,14565.95,2969,2021-03-16 22:00:00
4742,GER40_m_i,14556.9,14552.6,14539.4,14564.9,14552.15,14552.300000000001,14552.375,14553.45,3544,2021-03-16 23:00:00
4743,GER40_m_i,14552.4,14559.8,14546.8,14575.1,14560.95,14560.566666666666,14560.375,14558.525,2789,2021-03-17 00:00:00
4744,GER40_m_i,14559.1,14568.6,14557.8,14570.8,14564.3,14565.733333333332,14566.449999999999,14564.074999999999,627,2021-03-17 01:00:00
4745,GER40_m_i,14541.1,14550.3,14536.3,14552.7,14544.5,14546.433333333334,14547.400000000001,14545.1,1080,2021-03-17 12:00:00
4746,GER40_m_i,14550.7,14564.4,14545.8,14580.6,14563.2,14563.6,14563.800000000001,14560.375,5777,2021-03-17 13:00:00
4747,GER40_m_i,14564.3,14569.0,14542.2,14569.1,14555.650000000001,14560.1,14562.325,14561.150000000001,3320,2021-03-17 14:00:00
4748,GER40_m_i,14569.4,14567.9,14557.9,14579.6,14568.75,14568.466666666667,14568.325,14568.7,2926,2021-03-17 15:00:00
4749,GER40_m_i,14567.6,14561.1,14551.4,14580.4,14565.9,14564.300000000001,14563.5,14565.125,3247,2021-03-17 16:00:00
4750,GER40_m_i,14561.4,14560.7,14547.6,14563.9,14555.75,14557.4,14558.224999999999,14558.4,3165,2021-03-17 17:00:00
4751,GER40_m_i,14560.6,14574.8,14549.6,14585.4,14567.5,14569.933333333334,14571.150000000001,14567.6,3700,2021-03-17 18:00:00
4752,GER40_m_i,14574.8,14558.6,14549.6,14587.9,14568.75,14565.366666666667,14563.675,14567.724999999999,4679,2021-03-17 19:00:00
4753,GER40_m_i,14558.6,14585.6,14552.6,14592.1,14572.35,14576.766666666668,14578.975,14572.225,3434,2021-03-17 20:00:00
4754,GER40_m_i,14585.4,14589.2,14582.6,14603.9,14593.25,14591.9,14591.224999999999,14590.275,2703,2021-03-17 21:00:00
4755,GER40_m_i,14589.2,14619.5,14587.3,14630.6,14608.95,14612.466666666667,14614.225,14606.650000000001,2892,2021-03-17 22:00:00
4756,GER40_m_i,14620.5,14662.3,14618.6,14685.7,14652.150000000001,14655.533333333335,14657.225000000002,14646.775000000001,7615,2021-03-17 23:00:00
4757,GER40_m_i,14661.8,14656.9,14649.6,14674.6,14662.1,14660.366666666667,14659.5,14660.724999999999,3777,2021-03-18 00:00:00
4758,GER40_m_i,14656.0,14671.9,14656.0,14672.2,14664.1,14666.699999999999,14668.0,14664.025,639,2021-03-18 01:00:00
4759,GER40_m_i,14697.9,14679.4,14669.0,14700.7,14684.85,14683.033333333333,14682.125,14686.75,2568,2021-03-18 12:00:00
4760,GER40_m_i,14679.9,14696.6,14665.5,14753.6,14709.55,14705.233333333332,14703.074999999999,14698.9,9031,2021-03-18 13:00:00
4761,GER40_m_i,14695.6,14737.6,14692.6,14749.6,14721.1,14726.6,14729.35,14718.85,4678,2021-03-18 14:00:00
4762,GER40_m_i,14738.6,14780.6,14735.6,14786.6,14761.1,14767.6,14770.85,14760.35,4162,2021-03-18 15:00:00
4763,GER40_m_i,14780.6,14715.6,14708.6,14785.6,14747.1,14736.6,14731.35,14747.6,4330,2021-03-18 16:00:00
4764,GER40_m_i,14713.6,14743.6,14713.6,14748.9,14731.25,14735.366666666667,14737.425,14729.925,3976,2021-03-18 17:00:00
4765,GER40_m_i,14743.6,14724.1,14698.2,14743.6,14720.900000000001,14721.966666666667,14722.5,14727.375,5440,2021-03-18 18:00:00
4766,GER40_m_i,14723.1,14736.4,14702.1,14749.1,14725.6,14729.199999999999,14731.0,14727.675,5793,2021-03-18 19:00:00
4767,GER40_m_i,14737.4,14797.4,14736.4,14806.5,14771.45,14780.1,14784.425000000001,14769.425000000001,4015,2021-03-18 20:00:00
4768,GER40_m_i,14797.4,14751.5,14748.4,14809.4,14778.9,14769.766666666668,14765.2,14776.675000000001,3243,2021-03-18 21:00:00
4769,GER40_m_i,14751.5,14785.4,14750.5,14788.4,14769.45,14774.766666666668,14777.425000000001,14768.95,2584,2021-03-18 22:00:00
4770,GER40_m_i,14785.4,14731.4,14704.1,14786.4,14745.25,14740.633333333333,14738.325,14751.825,4637,2021-03-18 23:00:00
