,CAC40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6625,CAC40_i,7134.4,7131.4,7126.9,7135.4,7131.15,7131.233333333333,7131.275,7132.025,377,2021-12-31 05:00:00
6626,CAC40_i,7131.4,7134.9,7131.4,7135.9,7133.65,7134.066666666666,7134.275,7133.4,206,2021-12-31 06:00:00
6627,CAC40_i,7134.9,7140.9,7132.4,7141.4,7136.9,7138.233333333333,7138.9,7137.4,207,2021-12-31 07:00:00
6628,CAC40_i,7141.4,7138.9,7136.9,7143.4,7140.15,7139.733333333333,7139.525,7140.15,234,2021-12-31 08:00:00
6629,CAC40_i,7140.4,7145.8,7140.4,7147.8,7144.1,7144.666666666667,7144.95,7143.6,157,2021-12-31 09:00:00
6630,CAC40_i,7146.8,7151.0,7146.8,7165.0,7155.9,7154.266666666666,7153.45,7152.4,319,2021-12-31 10:00:00
6631,CAC40_i,7151.0,7155.0,7149.5,7155.5,7152.5,7153.333333333333,7153.75,7152.75,161,2021-12-31 11:00:00
6632,CAC40_i,7155.0,7148.0,7146.5,7155.0,7150.75,7149.833333333333,7149.375,7151.125,150,2021-12-31 12:00:00
6633,CAC40_i,7148.0,7144.5,7142.0,7150.5,7146.25,7145.666666666667,7145.375,7146.25,183,2021-12-31 13:00:00
6634,CAC40_i,7145.0,7167.0,7139.0,7167.0,7153.0,7157.666666666667,7160.0,7154.5,384,2021-12-31 14:00:00
6635,CAC40_i,7168.4,7190.3,7156.3,7194.8,7175.55,7180.466666666667,7182.925,7177.450000000001,475,2022-01-03 09:00:00
6636,CAC40_i,7189.8,7216.5,7186.3,7227.5,7206.9,7210.099999999999,7211.7,7205.025,1314,2022-01-03 10:00:00
6637,CAC40_i,7216.5,7218.5,7212.5,7233.5,7223.0,7221.5,7220.75,7220.25,886,2022-01-03 11:00:00
6638,CAC40_i,7218.5,7236.0,7217.5,7237.0,7227.25,7230.166666666667,7231.625,7227.25,624,2022-01-03 12:00:00
6639,CAC40_i,7236.0,7238.0,7235.0,7245.0,7240.0,7239.333333333333,7239.0,7238.5,491,2022-01-03 13:00:00
6640,CAC40_i,7238.0,7240.0,7233.5,7242.0,7237.75,7238.5,7238.875,7238.375,408,2022-01-03 14:00:00
6641,CAC40_i,7240.0,7229.0,7228.5,7243.0,7235.75,7233.5,7232.375,7235.125,455,2022-01-03 15:00:00
6642,CAC40_i,7229.0,7218.0,7206.0,7233.0,7219.5,7219.0,7218.75,7221.5,1229,2022-01-03 16:00:00
6643,CAC40_i,7218.0,7224.0,7217.0,7236.5,7226.75,7225.833333333333,7225.375,7223.875,1286,2022-01-03 17:00:00
6644,CAC40_i,7224.0,7223.5,7206.5,7230.0,7218.25,7220.0,7220.875,7221.0,1196,2022-01-03 18:00:00
6645,CAC40_i,7223.5,7227.5,7218.0,7233.0,7225.5,7226.166666666667,7226.5,7225.5,577,2022-01-03 19:00:00
6646,CAC40_i,7227.5,7234.5,7224.5,7235.5,7230.0,7231.5,7232.25,7230.5,457,2022-01-03 20:00:00
6647,CAC40_i,7234.5,7241.5,7231.0,7245.5,7238.25,7239.333333333333,7239.875,7238.125,437,2022-01-03 21:00:00
6648,CAC40_i,7241.5,7242.4,7233.0,7245.0,7239.0,7240.133333333334,7240.700000000001,7240.475,632,2022-01-03 22:00:00
6649,CAC40_i,7234.8,7231.3,7230.3,7235.3,7232.8,7232.3,7232.05,7232.925,201,2022-01-04 01:00:00
6650,CAC40_i,7231.8,7229.8,7218.3,7233.8,7226.05,7227.3,7227.925,7228.425,467,2022-01-04 02:00:00
6651,CAC40_i,7228.8,7227.8,7217.8,7235.8,7226.8,7227.133333333334,7227.3,7227.55,514,2022-01-04 03:00:00
6652,CAC40_i,7228.3,7239.8,7227.3,7240.8,7234.05,7235.966666666667,7236.925,7234.05,360,2022-01-04 04:00:00
6653,CAC40_i,7240.8,7241.3,7236.2,7244.8,7240.5,7240.766666666666,7240.9,7240.775,261,2022-01-04 05:00:00
6654,CAC40_i,7241.8,7248.3,7239.8,7249.3,7244.55,7245.8,7246.425,7244.8,228,2022-01-04 06:00:00
6655,CAC40_i,7248.8,7250.3,7246.3,7252.8,7249.55,7249.8,7249.925,7249.55,212,2022-01-04 07:00:00
6656,CAC40_i,7250.8,7251.8,7245.3,7255.8,7250.55,7250.966666666667,7251.175,7250.925,234,2022-01-04 08:00:00
6657,CAC40_i,7251.8,7265.2,7243.7,7265.7,7254.7,7258.2,7259.95,7256.599999999999,490,2022-01-04 09:00:00
6658,CAC40_i,7262.2,7278.9,7247.9,7280.4,7264.15,7269.066666666666,7271.525,7267.349999999999,1435,2022-01-04 10:00:00
6659,CAC40_i,7278.9,7282.9,7271.4,7286.9,7279.15,7280.399999999999,7281.025,7280.025,910,2022-01-04 11:00:00
6660,CAC40_i,7283.4,7306.9,7283.4,7307.4,7295.4,7299.233333333333,7301.15,7295.275,804,2022-01-04 12:00:00
6661,CAC40_i,7306.4,7307.4,7302.4,7317.9,7310.15,7309.233333333333,7308.775,7308.525,659,2022-01-04 13:00:00
6662,CAC40_i,7307.4,7312.9,7305.9,7317.1,7311.5,7311.966666666667,7312.200000000001,7310.825000000001,661,2022-01-04 14:00:00
6663,CAC40_i,7312.9,7320.4,7310.9,7323.9,7317.4,7318.399999999999,7318.9,7317.025,581,2022-01-04 15:00:00
6664,CAC40_i,7320.4,7330.4,7317.9,7330.9,7324.4,7326.399999999999,7327.4,7324.9,931,2022-01-04 16:00:00
6665,CAC40_i,7331.9,7311.9,7309.9,7331.9,7320.9,7317.899999999999,7316.4,7321.4,1256,2022-01-04 17:00:00
6666,CAC40_i,7312.4,7313.9,7303.9,7318.9,7311.4,7312.233333333333,7312.65,7312.275,1215,2022-01-04 18:00:00
6667,CAC40_i,7313.9,7309.4,7307.9,7319.4,7313.65,7312.233333333333,7311.525,7312.65,632,2022-01-04 19:00:00
6668,CAC40_i,7309.4,7295.9,7295.4,7313.9,7304.65,7301.733333333333,7300.275,7303.65,667,2022-01-04 20:00:00
6669,CAC40_i,7295.9,7308.9,7295.9,7309.9,7302.9,7304.899999999999,7305.9,7302.65,617,2022-01-04 21:00:00
6670,CAC40_i,7308.4,7314.3,7308.4,7319.9,7314.15,7314.2,7314.224999999999,7312.75,789,2022-01-04 22:00:00
6671,CAC40_i,7306.7,7305.2,7303.2,7307.7,7305.45,7305.366666666666,7305.325,7305.7,174,2022-01-05 01:00:00
6672,CAC40_i,7305.7,7305.0,7294.0,7305.7,7299.85,7301.566666666667,7302.425,7302.6,417,2022-01-05 02:00:00
6673,CAC40_i,7305.5,7292.0,7290.5,7310.0,7300.25,7297.5,7296.125,7299.5,413,2022-01-05 03:00:00
6674,CAC40_i,7292.0,7297.8,7290.8,7298.8,7294.8,7295.8,7296.3,7294.85,324,2022-01-05 04:00:00
6675,CAC40_i,7298.3,7297.8,7291.3,7299.8,7295.55,7296.3,7296.675,7296.8,236,2022-01-05 05:00:00
6676,CAC40_i,7297.3,7296.8,7292.8,7298.3,7295.55,7295.966666666667,7296.175,7296.3,197,2022-01-05 06:00:00
6677,CAC40_i,7296.8,7290.3,7287.8,7297.3,7292.55,7291.8,7291.425,7293.05,281,2022-01-05 07:00:00
6678,CAC40_i,7290.8,7296.8,7284.3,7301.3,7292.8,7294.133333333334,7294.8,7293.3,272,2022-01-05 08:00:00
6679,CAC40_i,7298.2,7318.1,7298.2,7320.6,7309.4,7312.3,7313.75,7308.775000000001,516,2022-01-05 09:00:00
6680,CAC40_i,7318.2,7319.8,7310.8,7334.3,7322.55,7321.633333333334,7321.175,7320.775000000001,1415,2022-01-05 10:00:00
6681,CAC40_i,7319.8,7344.3,7316.8,7349.3,7333.05,7336.8,7338.675,7332.55,1033,2022-01-05 11:00:00
6682,CAC40_i,7344.8,7349.8,7343.8,7359.3,7351.55,7350.966666666667,7350.675,7349.425,758,2022-01-05 12:00:00
6683,CAC40_i,7349.8,7353.8,7342.8,7357.3,7350.05,7351.3,7351.925,7350.925,683,2022-01-05 13:00:00
6684,CAC40_i,7353.8,7359.8,7351.8,7363.3,7357.55,7358.3,7358.675,7357.175,588,2022-01-05 14:00:00
6685,CAC40_i,7359.8,7370.8,7357.3,7374.0,7365.65,7367.366666666666,7368.224999999999,7365.474999999999,711,2022-01-05 15:00:00
6686,CAC40_i,7370.8,7373.8,7364.3,7376.3,7370.3,7371.466666666667,7372.05,7371.3,1040,2022-01-05 16:00:00
6687,CAC40_i,7373.8,7379.8,7373.3,7384.3,7378.8,7379.133333333334,7379.3,7377.8,1003,2022-01-05 17:00:00
6688,CAC40_i,7379.8,7365.3,7361.3,7383.8,7372.55,7370.133333333334,7368.925,7372.55,973,2022-01-05 18:00:00
6689,CAC40_i,7365.3,7358.3,7356.3,7368.8,7362.55,7361.133333333334,7360.425,7362.175,593,2022-01-05 19:00:00
6690,CAC40_i,7358.3,7353.3,7351.3,7362.3,7356.8,7355.633333333334,7355.05,7356.3,591,2022-01-05 20:00:00
6691,CAC40_i,7353.3,7321.8,7310.8,7362.3,7336.55,7331.633333333334,7329.175,7337.05,1637,2022-01-05 21:00:00
6692,CAC40_i,7321.8,7283.7,7283.7,7321.8,7302.75,7296.400000000001,7293.225,7302.75,1625,2022-01-05 22:00:00
6693,CAC40_i,7303.1,7306.1,7298.6,7307.6,7303.1,7304.100000000001,7304.6,7303.85,274,2022-01-06 01:00:00
