,CHFJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6637,CHFJPY_i,124.982,124.972,124.945,125.111,125.02799999999999,125.00933333333332,124.99999999999999,125.0025,3298,2022-01-14 03:00:00
6638,CHFJPY_i,124.973,125.025,124.906,125.03,124.968,124.98700000000001,124.9965,124.9835,2493,2022-01-14 04:00:00
6639,CHFJPY_i,125.023,124.906,124.834,125.023,124.9285,124.921,124.91725000000001,124.94650000000001,1970,2022-01-14 05:00:00
6640,CHFJPY_i,124.907,124.907,124.899,124.991,124.945,124.93233333333332,124.92599999999999,124.92599999999999,1476,2022-01-14 06:00:00
6641,CHFJPY_i,124.907,124.979,124.872,124.99,124.931,124.947,124.955,124.937,1441,2022-01-14 07:00:00
6642,CHFJPY_i,124.979,124.96,124.909,125.035,124.97200000000001,124.968,124.966,124.97075,1677,2022-01-14 08:00:00
6643,CHFJPY_i,124.957,124.961,124.878,125.037,124.95750000000001,124.95866666666667,124.95925000000001,124.95825,3670,2022-01-14 09:00:00
6644,CHFJPY_i,124.962,125.083,124.865,125.101,124.983,125.01633333333332,125.03299999999999,125.00274999999999,5720,2022-01-14 10:00:00
6645,CHFJPY_i,125.083,125.013,124.951,125.131,125.041,125.03166666666668,125.02700000000002,125.0445,3900,2022-01-14 11:00:00
6646,CHFJPY_i,125.013,124.95,124.932,125.086,125.009,124.98933333333333,124.9795,124.99525,2702,2022-01-14 12:00:00
6647,CHFJPY_i,124.945,124.905,124.905,125.021,124.963,124.94366666666667,124.934,124.944,2288,2022-01-14 13:00:00
6648,CHFJPY_i,124.905,124.76,124.726,124.933,124.8295,124.80633333333333,124.79475,124.83099999999999,4904,2022-01-14 14:00:00
6649,CHFJPY_i,124.756,124.595,124.499,124.813,124.656,124.63566666666668,124.62550000000002,124.66575,8415,2022-01-14 15:00:00
6650,CHFJPY_i,124.596,124.766,124.545,124.804,124.6745,124.705,124.72025000000001,124.67775,8959,2022-01-14 16:00:00
6651,CHFJPY_i,124.767,124.758,124.675,124.826,124.75049999999999,124.75299999999999,124.75424999999998,124.75649999999999,9120,2022-01-14 17:00:00
6652,CHFJPY_i,124.759,124.685,124.606,124.777,124.69149999999999,124.68933333333332,124.68825,124.70675,5870,2022-01-14 18:00:00
6653,CHFJPY_i,124.685,124.827,124.671,124.857,124.76400000000001,124.78500000000001,124.7955,124.76,4017,2022-01-14 19:00:00
6654,CHFJPY_i,124.827,124.87,124.763,124.895,124.82900000000001,124.84266666666667,124.8495,124.83875,2596,2022-01-14 20:00:00
6655,CHFJPY_i,124.873,124.884,124.843,124.934,124.8885,124.887,124.88625,124.8835,1848,2022-01-14 21:00:00
6656,CHFJPY_i,124.884,124.952,124.872,124.967,124.9195,124.93033333333334,124.93575,124.91875,2486,2022-01-14 22:00:00
6657,CHFJPY_i,124.953,124.942,124.907,125.028,124.9675,124.959,124.95475,124.95750000000001,1848,2022-01-14 23:00:00
6658,CHFJPY_i,124.865,124.88,124.788,125.039,124.9135,124.90233333333333,124.89675,124.893,539,2022-01-17 00:00:00
6659,CHFJPY_i,124.878,124.97,124.866,125.014,124.94,124.95,124.95500000000001,124.932,1803,2022-01-17 01:00:00
6660,CHFJPY_i,124.972,124.964,124.896,125.017,124.9565,124.959,124.96025,124.96225,2323,2022-01-17 02:00:00
6661,CHFJPY_i,124.964,125.008,124.921,125.021,124.971,124.98333333333333,124.98949999999999,124.9785,2333,2022-01-17 03:00:00
6662,CHFJPY_i,125.011,125.051,124.977,125.082,125.0295,125.03666666666668,125.04025,125.03025,1797,2022-01-17 04:00:00
6663,CHFJPY_i,125.051,125.102,125.03,125.127,125.07849999999999,125.08633333333334,125.09025,125.0775,872,2022-01-17 05:00:00
6664,CHFJPY_i,125.102,125.101,125.095,125.15,125.1225,125.11533333333334,125.11175,125.112,633,2022-01-17 06:00:00
6665,CHFJPY_i,125.101,125.187,125.099,125.196,125.14750000000001,125.16066666666667,125.16725000000001,125.14575,884,2022-01-17 07:00:00
6666,CHFJPY_i,125.187,125.139,125.127,125.189,125.15799999999999,125.15166666666666,125.1485,125.1605,899,2022-01-17 08:00:00
6667,CHFJPY_i,125.137,125.19,125.101,125.227,125.164,125.17266666666667,125.177,125.16375000000001,3084,2022-01-17 09:00:00
6668,CHFJPY_i,125.19,125.333,125.106,125.342,125.22399999999999,125.26033333333332,125.27849999999998,125.24274999999999,4070,2022-01-17 10:00:00
6669,CHFJPY_i,125.333,125.305,125.268,125.412,125.34,125.32833333333333,125.3225,125.3295,3271,2022-01-17 11:00:00
6670,CHFJPY_i,125.305,125.267,125.244,125.39,125.31700000000001,125.30033333333334,125.292,125.3015,1948,2022-01-17 12:00:00
6671,CHFJPY_i,125.267,125.194,125.158,125.323,125.2405,125.22500000000001,125.21725,125.2355,2461,2022-01-17 13:00:00
6672,CHFJPY_i,125.193,125.137,125.113,125.24,125.1765,125.16333333333334,125.15675,125.17075,3202,2022-01-17 14:00:00
6673,CHFJPY_i,125.136,125.277,125.136,125.312,125.22399999999999,125.24166666666666,125.25049999999999,125.21525,3248,2022-01-17 15:00:00
6674,CHFJPY_i,125.276,125.279,125.231,125.349,125.28999999999999,125.28633333333333,125.2845,125.28375,3087,2022-01-17 16:00:00
6675,CHFJPY_i,125.281,125.375,125.231,125.407,125.31899999999999,125.33766666666666,125.347,125.3235,2748,2022-01-17 17:00:00
6676,CHFJPY_i,125.374,125.374,125.319,125.412,125.3655,125.36833333333334,125.36975000000001,125.36975000000001,2257,2022-01-17 18:00:00
6677,CHFJPY_i,125.375,125.376,125.311,125.44,125.3755,125.37566666666667,125.37575000000001,125.3755,1903,2022-01-17 19:00:00
6678,CHFJPY_i,125.375,125.3,125.294,125.392,125.34299999999999,125.32866666666666,125.3215,125.34025,593,2022-01-17 20:00:00
6679,CHFJPY_i,125.3,125.298,125.283,125.305,125.29400000000001,125.29533333333335,125.296,125.29650000000001,416,2022-01-17 21:00:00
6680,CHFJPY_i,125.298,125.349,125.297,125.373,125.33500000000001,125.33966666666667,125.342,125.32925,509,2022-01-17 22:00:00
6681,CHFJPY_i,125.346,125.335,125.3,125.357,125.32849999999999,125.33066666666666,125.33174999999999,125.33449999999999,650,2022-01-17 23:00:00
6682,CHFJPY_i,125.336,125.258,125.219,125.342,125.28049999999999,125.27299999999998,125.26924999999999,125.28875,766,2022-01-18 00:00:00
6683,CHFJPY_i,125.248,125.329,125.225,125.366,125.2955,125.30666666666667,125.31225,125.292,697,2022-01-18 01:00:00
6684,CHFJPY_i,125.329,125.376,125.262,125.396,125.32900000000001,125.34466666666667,125.35249999999999,125.34075,2671,2022-01-18 02:00:00
6685,CHFJPY_i,125.372,125.309,125.309,125.396,125.35249999999999,125.33800000000001,125.33075,125.3465,2445,2022-01-18 03:00:00
6686,CHFJPY_i,125.309,125.526,125.3,125.612,125.45599999999999,125.47933333333333,125.491,125.43674999999999,2417,2022-01-18 04:00:00
6687,CHFJPY_i,125.526,125.502,125.413,125.646,125.5295,125.52033333333333,125.51575,125.52175,3792,2022-01-18 05:00:00
6688,CHFJPY_i,125.501,125.505,125.443,125.573,125.508,125.50699999999999,125.50649999999999,125.50549999999998,3332,2022-01-18 06:00:00
6689,CHFJPY_i,125.502,125.387,125.339,125.532,125.43549999999999,125.41933333333333,125.41125,125.44,1814,2022-01-18 07:00:00
6690,CHFJPY_i,125.386,125.54,125.371,125.566,125.4685,125.49233333333335,125.50425000000001,125.46575000000001,3192,2022-01-18 08:00:00
