,EURGBP_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4067,EURGBP_i,0.85272,0.85247,0.85193,0.85282,0.852375,0.8524066666666666,0.8524225,0.852485,2682,2021-08-17 18:00:00
4068,EURGBP_i,0.85247,0.85285,0.85228,0.85292,0.8526,0.8526833333333333,0.8527250000000001,0.85263,1756,2021-08-17 19:00:00
4069,EURGBP_i,0.85286,0.85294,0.85268,0.85313,0.852905,0.8529166666666667,0.8529225,0.8529024999999999,1882,2021-08-17 20:00:00
4070,EURGBP_i,0.85295,0.85242,0.85237,0.85296,0.852665,0.8525833333333334,0.8525425,0.852675,1360,2021-08-17 21:00:00
4071,EURGBP_i,0.85241,0.85234,0.85221,0.85263,0.85242,0.8523933333333332,0.8523799999999999,0.8523974999999999,892,2021-08-17 22:00:00
4072,EURGBP_i,0.85234,0.85188,0.8516,0.85252,0.85206,0.852,0.85197,0.852085,937,2021-08-17 23:00:00
4073,EURGBP_i,0.85184,0.8519,0.85165,0.85254,0.852095,0.8520300000000001,0.8519975000000001,0.8519825000000001,351,2021-08-18 00:00:00
4074,EURGBP_i,0.85196,0.85187,0.85174,0.8521,0.85192,0.8519033333333333,0.851895,0.8519175,730,2021-08-18 01:00:00
4075,EURGBP_i,0.85187,0.85205,0.85178,0.85208,0.85193,0.85197,0.85199,0.851945,489,2021-08-18 02:00:00
4076,EURGBP_i,0.85205,0.85218,0.85194,0.85234,0.85214,0.8521533333333333,0.85216,0.8521274999999999,742,2021-08-18 03:00:00
4077,EURGBP_i,0.85218,0.85184,0.85178,0.85225,0.852015,0.8519566666666667,0.8519275000000001,0.8520125000000001,835,2021-08-18 04:00:00
4078,EURGBP_i,0.85184,0.85192,0.85181,0.85218,0.8519950000000001,0.85197,0.8519574999999999,0.8519375,1649,2021-08-18 05:00:00
4079,EURGBP_i,0.85192,0.85179,0.85166,0.85195,0.8518049999999999,0.8517999999999999,0.8517975,0.8518299999999999,1014,2021-08-18 06:00:00
4080,EURGBP_i,0.85179,0.85255,0.85171,0.8526,0.852155,0.8522866666666666,0.8523525,0.8521624999999999,858,2021-08-18 07:00:00
4081,EURGBP_i,0.85254,0.85223,0.85214,0.85255,0.852345,0.8523066666666667,0.8522875,0.8523649999999999,787,2021-08-18 08:00:00
4082,EURGBP_i,0.85225,0.85236,0.85219,0.85303,0.85261,0.8525266666666665,0.8524849999999999,0.8524574999999999,1797,2021-08-18 09:00:00
