,WSt30_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4171,WSt30_m_i,35134.0,35150.0,35120.0,35153.0,35136.5,35141.0,35143.25,35139.25,641,2021-07-27 01:00:00
4172,WSt30_m_i,35137.0,35137.0,35132.0,35145.0,35138.5,35138.0,35137.75,35137.75,100,2021-07-27 04:00:00
4173,WSt30_m_i,35137.0,35113.0,35111.0,35146.0,35128.5,35123.333333333336,35120.75,35126.75,265,2021-07-27 05:00:00
4174,WSt30_m_i,35110.0,35092.0,35079.0,35126.0,35102.5,35099.0,35097.25,35101.75,511,2021-07-27 06:00:00
4175,WSt30_m_i,35092.0,35092.0,35081.0,35109.0,35095.0,35094.0,35093.5,35093.5,488,2021-07-27 07:00:00
4176,WSt30_m_i,35094.0,35108.0,35067.0,35110.0,35088.5,35095.0,35098.25,35094.75,426,2021-07-27 08:00:00
4177,WSt30_m_i,35108.0,35098.0,35086.0,35112.0,35099.0,35098.666666666664,35098.5,35101.0,365,2021-07-27 09:00:00
4178,WSt30_m_i,35097.0,35096.0,35090.0,35107.0,35098.5,35097.666666666664,35097.25,35097.5,209,2021-07-27 10:00:00
4179,WSt30_m_i,35096.0,35085.0,35068.0,35096.0,35082.0,35083.0,35083.5,35086.25,353,2021-07-27 11:00:00
4180,WSt30_m_i,35084.0,35074.0,35064.0,35087.0,35075.5,35075.0,35074.75,35077.25,570,2021-07-27 12:00:00
4181,WSt30_m_i,35073.0,34994.0,34918.0,35073.0,34995.5,34995.0,34994.75,35014.5,1250,2021-07-27 13:00:00
4182,WSt30_m_i,34995.0,34973.0,34927.0,35042.0,34984.5,34980.666666666664,34978.75,34984.25,1247,2021-07-27 14:00:00
4183,WSt30_m_i,34974.0,35001.0,34941.0,35023.0,34982.0,34988.333333333336,34991.5,34984.75,764,2021-07-27 15:00:00
4184,WSt30_m_i,35002.0,35058.0,34994.0,35059.0,35026.5,35037.0,35042.25,35028.25,669,2021-07-27 16:00:00
4185,WSt30_m_i,35058.0,35065.0,35053.0,35108.0,35080.5,35075.333333333336,35072.75,35071.0,616,2021-07-27 17:00:00
4186,WSt30_m_i,35065.0,35063.0,35023.0,35077.0,35050.0,35054.333333333336,35056.5,35057.0,657,2021-07-27 18:00:00
4187,WSt30_m_i,35064.0,35003.0,34895.0,35074.0,34984.5,34990.666666666664,34993.75,35009.0,1513,2021-07-27 19:00:00
4188,WSt30_m_i,35003.0,35043.0,34942.0,35066.0,35004.0,35017.0,35023.5,35013.5,1802,2021-07-27 20:00:00
4189,WSt30_m_i,35040.0,34999.0,34926.0,35079.0,35002.5,35001.333333333336,35000.75,35011.0,1416,2021-07-27 21:00:00
4190,WSt30_m_i,34998.0,34952.0,34884.0,34999.0,34941.5,34945.0,34946.75,34958.25,1322,2021-07-27 22:00:00
4191,WSt30_m_i,34950.0,34920.0,34904.0,34996.0,34950.0,34940.0,34935.0,34942.5,1091,2021-07-27 23:00:00
4192,WSt30_m_i,34919.0,35002.0,34913.0,35011.0,34962.0,34975.333333333336,34982.0,34961.25,870,2021-07-28 00:00:00
4193,WSt30_m_i,35002.0,35075.0,34989.0,35077.0,35033.0,35047.0,35054.0,35035.75,927,2021-07-28 01:00:00
4194,WSt30_m_i,34995.0,35028.0,34993.0,35029.0,35011.0,35016.666666666664,35019.5,35011.25,207,2021-07-28 04:00:00
4195,WSt30_m_i,35028.0,35055.0,35018.0,35061.0,35039.5,35044.666666666664,35047.25,35040.5,402,2021-07-28 05:00:00
4196,WSt30_m_i,35054.0,35102.0,35054.0,35114.0,35084.0,35090.0,35093.0,35081.0,634,2021-07-28 06:00:00
4197,WSt30_m_i,35102.0,35034.0,35032.0,35137.0,35084.5,35067.666666666664,35059.25,35076.25,779,2021-07-28 07:00:00
4198,WSt30_m_i,35031.0,35059.0,34969.0,35078.0,35023.5,35035.333333333336,35041.25,35034.25,896,2021-07-28 08:00:00
4199,WSt30_m_i,35060.0,34999.0,34996.0,35067.0,35031.5,35020.666666666664,35015.25,35030.5,669,2021-07-28 09:00:00
4200,WSt30_m_i,34999.0,34985.0,34977.0,35005.0,34991.0,34989.0,34988.0,34991.5,485,2021-07-28 10:00:00
4201,WSt30_m_i,34985.0,35045.0,34945.0,35048.0,34996.5,35012.666666666664,35020.75,35005.75,860,2021-07-28 11:00:00
4202,WSt30_m_i,35043.0,35004.0,34975.0,35052.0,35013.5,35010.333333333336,35008.75,35018.5,965,2021-07-28 12:00:00
4203,WSt30_m_i,35006.0,35043.0,34949.0,35044.0,34996.5,35012.0,35019.75,35010.5,1114,2021-07-28 13:00:00
4204,WSt30_m_i,35042.0,35079.0,35012.0,35084.0,35048.0,35058.333333333336,35063.5,35054.25,779,2021-07-28 14:00:00
4205,WSt30_m_i,35079.0,35067.0,35049.0,35079.0,35064.0,35065.0,35065.5,35068.5,559,2021-07-28 15:00:00
