,BTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
25536,BTCUSD_i,37910.4,37847.4,37831.4,37916.4,37873.9,37865.06666666667,37860.65,37876.4,476,2022-01-30 20:30:00
25537,BTCUSD_i,37847.4,37811.4,37810.4,37870.4,37840.4,37830.73333333334,37825.9,37834.9,232,2022-01-30 20:45:00
25538,BTCUSD_i,37811.4,37526.4,37523.4,37811.4,37667.4,37620.4,37596.9,37668.15,681,2022-01-30 21:00:00
25539,BTCUSD_i,37539.4,37530.4,37448.4,37636.4,37542.4,37538.4,37536.4,37538.65,883,2022-01-30 21:15:00
25540,BTCUSD_i,37530.4,37532.4,37479.4,37582.4,37530.9,37531.4,37531.65,37531.15,710,2022-01-30 21:30:00
25541,BTCUSD_i,37533.4,37497.4,37448.4,37597.4,37522.9,37514.4,37510.15,37519.15,1196,2022-01-30 21:45:00
25542,BTCUSD_i,37497.4,37623.4,37343.4,37659.4,37501.4,37542.06666666667,37562.4,37530.9,1330,2022-01-30 22:00:00
25543,BTCUSD_i,37623.4,37648.4,37584.4,37729.4,37656.9,37654.06666666667,37652.65,37646.4,907,2022-01-30 22:15:00
25544,BTCUSD_i,37649.4,37604.4,37578.4,37695.4,37636.9,37626.06666666667,37620.65,37631.9,570,2022-01-30 22:30:00
25545,BTCUSD_i,37604.4,37677.4,37581.4,37706.4,37643.9,37655.06666666667,37660.65,37642.4,526,2022-01-30 22:45:00
25546,BTCUSD_i,37677.4,37614.4,37613.4,37699.4,37656.4,37642.4,37635.4,37651.15,583,2022-01-30 23:00:00
25547,BTCUSD_i,37616.4,37511.4,37483.4,37661.4,37572.4,37552.06666666667,37541.9,37568.15,712,2022-01-30 23:15:00
25548,BTCUSD_i,37511.4,37706.4,37508.4,37707.4,37607.9,37640.73333333334,37657.15,37608.4,752,2022-01-30 23:30:00
25549,BTCUSD_i,37706.4,37715.4,37682.4,37755.4,37718.9,37717.73333333334,37717.15,37714.9,586,2022-01-30 23:45:00
25550,BTCUSD_i,37715.4,37702.4,37636.4,37790.4,37713.4,37709.73333333334,37707.9,37711.15,384,2022-01-31 00:00:00
25551,BTCUSD_i,37702.4,37688.4,37660.4,37775.4,37717.9,37708.06666666667,37703.15,37706.65,524,2022-01-31 00:15:00
25552,BTCUSD_i,37688.4,37628.4,37628.4,37694.4,37661.4,37650.4,37644.9,37659.9,201,2022-01-31 00:30:00
25553,BTCUSD_i,37628.4,37778.4,37628.4,37827.4,37727.9,37744.73333333334,37753.15,37715.65,510,2022-01-31 00:45:00
25554,BTCUSD_i,37778.4,38187.4,37778.4,38222.4,38000.4,38062.73333333334,38093.9,37991.65,1749,2022-01-31 01:00:00
25555,BTCUSD_i,38187.4,38044.4,37972.4,38192.4,38082.4,38069.73333333334,38063.4,38099.15,1159,2022-01-31 01:15:00
25556,BTCUSD_i,38040.4,37939.4,37854.4,38058.4,37956.4,37950.73333333334,37947.9,37973.15,817,2022-01-31 01:30:00
25557,BTCUSD_i,37940.4,37867.4,37856.4,37940.4,37898.4,37888.06666666667,37882.9,37901.15,471,2022-01-31 01:45:00
25558,BTCUSD_i,37868.4,37698.4,37655.4,37923.4,37789.4,37759.06666666667,37743.9,37786.4,1419,2022-01-31 02:00:00
25559,BTCUSD_i,37688.4,37654.4,37637.4,37745.4,37691.4,37679.06666666667,37672.9,37681.4,1010,2022-01-31 02:15:00
25560,BTCUSD_i,37654.4,37141.4,37098.4,37680.4,37389.4,37306.73333333334,37265.4,37393.65,1876,2022-01-31 02:30:00
25561,BTCUSD_i,37152.4,36818.4,36818.4,37155.4,36986.9,36930.73333333334,36902.65,36986.15,1883,2022-01-31 02:45:00
25562,BTCUSD_i,36818.4,36801.4,36775.4,36939.4,36857.4,36838.73333333334,36829.4,36833.65,1522,2022-01-31 03:00:00
25563,BTCUSD_i,36801.4,36863.4,36757.4,36868.4,36812.9,36829.73333333334,36838.15,36822.65,1147,2022-01-31 03:15:00
