,USDRUB_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
31429,USDRUB_i,75.63,75.588,75.535,75.702,75.6185,75.60833333333333,75.60325,75.61375,1786,2022-02-15 13:00:00
31430,USDRUB_i,75.59,75.438,75.417,75.592,75.50450000000001,75.48233333333333,75.47125,75.50925000000001,1264,2022-02-15 13:15:00
31431,USDRUB_i,75.438,75.281,75.257,75.445,75.351,75.32766666666667,75.316,75.35525,1646,2022-02-15 13:30:00
31432,USDRUB_i,75.281,75.292,75.274,75.419,75.34649999999999,75.32833333333333,75.31925,75.31649999999999,2060,2022-02-15 13:45:00
31433,USDRUB_i,75.289,75.267,75.239,75.509,75.374,75.33833333333332,75.3205,75.326,2066,2022-02-15 14:00:00
31434,USDRUB_i,75.266,75.006,74.998,75.337,75.1675,75.11366666666667,75.08675,75.15175,2356,2022-02-15 14:15:00
31435,USDRUB_i,75.007,75.024,74.979,75.125,75.05199999999999,75.04266666666666,75.038,75.03375,2618,2022-02-15 14:30:00
31436,USDRUB_i,75.026,75.214,74.982,75.224,75.10300000000001,75.14,75.1585,75.1115,2006,2022-02-15 14:45:00
31437,USDRUB_i,75.209,75.246,75.116,75.263,75.18950000000001,75.20833333333333,75.21775,75.2085,1644,2022-02-15 15:00:00
31438,USDRUB_i,75.246,75.439,75.221,75.45,75.3355,75.36999999999999,75.38725,75.339,1343,2022-02-15 15:15:00
31439,USDRUB_i,75.464,75.578,75.381,75.595,75.488,75.518,75.533,75.50450000000001,1348,2022-02-15 15:30:00
31440,USDRUB_i,75.568,75.48,75.329,75.573,75.451,75.46066666666667,75.4655,75.4875,1528,2022-02-15 15:45:00
31441,USDRUB_i,75.48,75.563,75.42,75.651,75.5355,75.54466666666667,75.54925,75.52850000000001,1341,2022-02-15 16:00:00
31442,USDRUB_i,75.563,75.818,75.563,75.888,75.72550000000001,75.75633333333333,75.77175,75.708,1605,2022-02-15 16:15:00
31443,USDRUB_i,75.818,75.619,75.4,75.827,75.6135,75.61533333333334,75.61625000000001,75.666,2330,2022-02-15 16:30:00
31444,USDRUB_i,75.619,75.786,75.444,75.828,75.636,75.68599999999999,75.711,75.66925,1662,2022-02-15 16:45:00
31445,USDRUB_i,75.786,75.794,75.666,75.845,75.7555,75.76833333333333,75.77475,75.77275,1180,2022-02-15 17:00:00
31446,USDRUB_i,75.794,75.609,75.571,75.81,75.6905,75.66333333333334,75.64975,75.696,1107,2022-02-15 17:15:00
31447,USDRUB_i,75.607,75.5,75.451,75.615,75.53299999999999,75.52199999999999,75.5165,75.54325,861,2022-02-15 17:30:00
31448,USDRUB_i,75.489,75.488,75.411,75.686,75.5485,75.52833333333334,75.51825,75.5185,673,2022-02-15 17:45:00
31449,USDRUB_i,75.496,75.554,75.381,75.68,75.5305,75.53833333333334,75.54225,75.52775,1304,2022-02-15 18:00:00
31450,USDRUB_i,75.554,75.583,75.474,75.662,75.56800000000001,75.57300000000001,75.5755,75.56825,852,2022-02-15 18:15:00
31451,USDRUB_i,75.577,75.538,75.491,75.601,75.54599999999999,75.54333333333334,75.542,75.55175,705,2022-02-15 18:30:00
31452,USDRUB_i,75.543,75.52,75.474,75.56,75.517,75.51799999999999,75.51849999999999,75.52425,611,2022-02-15 18:45:00
31453,USDRUB_i,75.519,75.622,75.483,75.634,75.55850000000001,75.57966666666668,75.59025000000001,75.56450000000001,512,2022-02-15 19:00:00
31454,USDRUB_i,75.622,75.541,75.541,75.709,75.625,75.597,75.583,75.60325,772,2022-02-15 19:15:00
31455,USDRUB_i,75.541,75.514,75.506,75.582,75.544,75.53399999999999,75.529,75.53575,437,2022-02-15 19:30:00
31456,USDRUB_i,75.514,75.54,75.51,75.579,75.5445,75.543,75.54225000000001,75.53575000000001,392,2022-02-15 19:45:00
31457,USDRUB_i,74.978,74.851,74.72,75.083,74.9015,74.88466666666666,74.87625,74.908,2560,2022-02-16 09:00:00
31458,USDRUB_i,74.851,74.814,74.605,74.913,74.759,74.77733333333333,74.78649999999999,74.79575,3591,2022-02-16 09:15:00
31459,USDRUB_i,74.816,74.899,74.636,74.931,74.7835,74.822,74.84125,74.82050000000001,2846,2022-02-16 09:30:00
31460,USDRUB_i,74.887,74.863,74.664,74.979,74.8215,74.83533333333334,74.84225,74.84825000000001,2742,2022-02-16 09:45:00
31461,USDRUB_i,74.863,74.874,74.854,74.94,74.89699999999999,74.88933333333333,74.8855,74.88274999999999,2004,2022-02-16 10:00:00
31462,USDRUB_i,74.874,74.814,74.77,74.879,74.8245,74.821,74.81925,74.83425,2157,2022-02-16 10:15:00
31463,USDRUB_i,74.814,74.795,74.777,74.869,74.82300000000001,74.81366666666668,74.80900000000001,74.81375,1847,2022-02-16 10:30:00
31464,USDRUB_i,74.798,74.812,74.769,74.844,74.8065,74.80833333333334,74.80925,74.80575,1912,2022-02-16 10:45:00
31465,USDRUB_i,74.812,74.932,74.755,74.982,74.8685,74.88966666666666,74.90025,74.87025,2151,2022-02-16 11:00:00
31466,USDRUB_i,74.929,74.897,74.894,75.112,75.003,74.96766666666667,74.95,74.958,1739,2022-02-16 11:15:00
31467,USDRUB_i,74.897,74.949,74.897,75.01,74.9535,74.952,74.95125,74.93825,1448,2022-02-16 11:30:00
31468,USDRUB_i,74.947,75.039,74.907,75.109,75.008,75.01833333333333,75.0235,75.0005,1720,2022-02-16 11:45:00
31469,USDRUB_i,75.035,74.945,74.941,75.057,74.999,74.981,74.972,74.99449999999999,1350,2022-02-16 12:00:00
31470,USDRUB_i,74.945,74.961,74.921,75.016,74.9685,74.96600000000001,74.96475000000001,74.96075,1474,2022-02-16 12:15:00
31471,USDRUB_i,74.961,74.943,74.914,74.965,74.93950000000001,74.94066666666667,74.94125,74.94575,1174,2022-02-16 12:30:00
31472,USDRUB_i,74.943,74.845,74.82,74.947,74.8835,74.87066666666666,74.86425,74.88875,1136,2022-02-16 12:45:00
31473,USDRUB_i,74.845,74.925,74.779,74.934,74.8565,74.87933333333332,74.89075,74.87074999999999,1246,2022-02-16 13:00:00
31474,USDRUB_i,74.925,74.929,74.862,74.958,74.91,74.91633333333333,74.9195,74.9185,1432,2022-02-16 13:15:00
31475,USDRUB_i,74.929,74.863,74.794,74.935,74.86449999999999,74.86399999999999,74.86375,74.88024999999999,1681,2022-02-16 13:30:00
31476,USDRUB_i,74.864,74.804,74.777,74.868,74.82249999999999,74.81633333333333,74.81325,74.82825,1156,2022-02-16 13:45:00
31477,USDRUB_i,74.804,74.769,74.712,74.826,74.769,74.769,74.769,74.77775,1275,2022-02-16 14:00:00
31478,USDRUB_i,74.769,74.72,74.711,74.821,74.76599999999999,74.75066666666666,74.743,74.75524999999999,1580,2022-02-16 14:15:00
31479,USDRUB_i,74.721,74.859,74.716,74.882,74.799,74.819,74.829,74.7945,2448,2022-02-16 14:30:00
31480,USDRUB_i,74.859,74.918,74.814,74.929,74.8715,74.887,74.89475,74.88,1421,2022-02-16 14:45:00
31481,USDRUB_i,74.918,74.943,74.886,74.946,74.916,74.925,74.92949999999999,74.92325,872,2022-02-16 15:00:00
31482,USDRUB_i,74.943,74.931,74.788,74.966,74.877,74.895,74.904,74.907,1075,2022-02-16 15:15:00
31483,USDRUB_i,74.934,74.985,74.866,75.027,74.9465,74.95933333333333,74.96575,74.953,1301,2022-02-16 15:30:00
31484,USDRUB_i,74.983,75.176,74.935,75.189,75.062,75.10000000000001,75.119,75.07075,2114,2022-02-16 15:45:00
31485,USDRUB_i,75.177,75.137,75.015,75.259,75.137,75.137,75.137,75.147,1885,2022-02-16 16:00:00
31486,USDRUB_i,75.141,75.083,75.071,75.184,75.1275,75.11266666666667,75.10525,75.11975,1353,2022-02-16 16:15:00
31487,USDRUB_i,74.966,75.093,74.966,75.129,75.0475,75.06266666666666,75.07025,75.0385,1921,2022-02-16 16:30:00
31488,USDRUB_i,75.091,75.114,75.016,75.153,75.0845,75.09433333333334,75.09925000000001,75.0935,1945,2022-02-16 16:45:00
