,ETHUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
28224,ETHUSD_i,2669.77,2642.97,2642.97,2678.57,2660.77,2654.8366666666666,2651.87,2658.57,1640,2022-02-28 03:45:00
28225,ETHUSD_i,2643.07,2636.27,2634.97,2652.77,2643.87,2641.3366666666666,2640.07,2641.77,1411,2022-02-28 04:00:00
28226,ETHUSD_i,2636.27,2640.77,2633.17,2642.17,2637.67,2638.7033333333334,2639.2200000000003,2638.0950000000003,957,2022-02-28 04:15:00
28227,ETHUSD_i,2640.77,2627.37,2626.67,2640.77,2633.7200000000003,2631.6033333333335,2630.545,2633.895,1028,2022-02-28 04:30:00
28228,ETHUSD_i,2627.37,2611.27,2594.17,2630.97,2612.5699999999997,2612.1366666666668,2611.92,2615.9449999999997,2260,2022-02-28 04:45:00
28229,ETHUSD_i,2612.07,2609.27,2599.67,2615.87,2607.77,2608.27,2608.52,2609.22,1099,2022-02-28 05:00:00
28230,ETHUSD_i,2609.27,2615.07,2599.47,2617.57,2608.52,2610.7033333333334,2611.795,2610.3450000000003,1058,2022-02-28 05:15:00
28231,ETHUSD_i,2615.07,2617.17,2607.97,2619.07,2613.52,2614.7366666666667,2615.3450000000003,2614.82,775,2022-02-28 05:30:00
28232,ETHUSD_i,2616.87,2606.77,2604.87,2616.87,2610.87,2609.5033333333336,2608.82,2611.3450000000003,1045,2022-02-28 05:45:00
28233,ETHUSD_i,2606.77,2628.37,2606.27,2631.67,2618.9700000000003,2622.1033333333335,2623.67,2618.27,1151,2022-02-28 06:00:00
28234,ETHUSD_i,2628.37,2614.17,2613.97,2629.27,2621.62,2619.1366666666668,2617.895,2621.4449999999997,1194,2022-02-28 06:15:00
28235,ETHUSD_i,2614.17,2607.27,2600.47,2615.77,2608.12,2607.8366666666666,2607.695,2609.42,830,2022-02-28 06:30:00
28236,ETHUSD_i,2607.27,2609.77,2605.97,2613.37,2609.67,2609.7033333333334,2609.7200000000003,2609.0950000000003,876,2022-02-28 06:45:00
28237,ETHUSD_i,2609.77,2620.97,2601.87,2622.77,2612.3199999999997,2615.203333333333,2616.6449999999995,2613.845,971,2022-02-28 07:00:00
28238,ETHUSD_i,2620.77,2618.57,2609.47,2622.67,2616.0699999999997,2616.903333333333,2617.3199999999997,2617.87,987,2022-02-28 07:15:00
28239,ETHUSD_i,2618.57,2611.37,2606.37,2621.17,2613.77,2612.97,2612.5699999999997,2614.37,1052,2022-02-28 07:30:00
28240,ETHUSD_i,2611.37,2609.27,2603.07,2612.57,2607.82,2608.3033333333333,2608.545,2609.0699999999997,840,2022-02-28 07:45:00
28241,ETHUSD_i,2609.27,2601.47,2567.77,2614.57,2591.17,2594.603333333333,2596.3199999999997,2598.27,1879,2022-02-28 08:00:00
28242,ETHUSD_i,2601.57,2598.77,2582.37,2628.97,2605.67,2603.3700000000003,2602.2200000000003,2602.92,3332,2022-02-28 08:15:00
28243,ETHUSD_i,2598.87,2600.07,2589.27,2610.17,2599.7200000000003,2599.8366666666666,2599.895,2599.5950000000003,1867,2022-02-28 08:30:00
28244,ETHUSD_i,2599.77,2604.97,2594.57,2612.47,2603.52,2604.0033333333336,2604.245,2602.945,1461,2022-02-28 08:45:00
28245,ETHUSD_i,2604.97,2610.27,2599.07,2617.47,2608.27,2608.9366666666665,2609.27,2607.9449999999997,1812,2022-02-28 09:00:00
28246,ETHUSD_i,2610.27,2636.67,2607.47,2637.47,2622.47,2627.2033333333334,2629.5699999999997,2622.97,1718,2022-02-28 09:15:00
28247,ETHUSD_i,2636.67,2644.57,2633.07,2650.17,2641.62,2642.603333333333,2643.095,2641.12,1609,2022-02-28 09:30:00
28248,ETHUSD_i,2644.57,2635.57,2627.77,2646.87,2637.3199999999997,2636.736666666666,2636.4449999999997,2638.6949999999997,1304,2022-02-28 09:45:00
28249,ETHUSD_i,2635.57,2641.47,2630.77,2657.37,2644.0699999999997,2643.203333333333,2642.7699999999995,2641.2949999999996,1798,2022-02-28 10:00:00
28250,ETHUSD_i,2641.47,2641.47,2631.57,2642.57,2637.07,2638.536666666667,2639.27,2639.27,1663,2022-02-28 10:15:00
28251,ETHUSD_i,2641.27,2623.07,2618.37,2641.47,2629.92,2627.6366666666668,2626.495,2631.045,1493,2022-02-28 10:30:00
28252,ETHUSD_i,2623.17,2625.17,2620.87,2629.47,2625.17,2625.17,2625.17,2624.67,1037,2022-02-28 10:45:00
28253,ETHUSD_i,2624.87,2636.97,2624.07,2641.47,2632.77,2634.17,2634.87,2631.8450000000003,1126,2022-02-28 11:00:00
28254,ETHUSD_i,2636.97,2624.97,2624.87,2636.97,2630.92,2628.9366666666665,2627.9449999999997,2630.9449999999997,814,2022-02-28 11:15:00
28255,ETHUSD_i,2624.97,2632.27,2620.27,2634.37,2627.3199999999997,2628.97,2629.795,2627.97,895,2022-02-28 11:30:00
28256,ETHUSD_i,2632.27,2613.27,2613.07,2638.07,2625.57,2621.47,2619.42,2624.17,1367,2022-02-28 11:45:00
28257,ETHUSD_i,2613.07,2620.97,2612.17,2626.97,2619.5699999999997,2620.0366666666664,2620.2699999999995,2618.2949999999996,1451,2022-02-28 12:00:00
28258,ETHUSD_i,2620.97,2627.87,2620.67,2636.57,2628.62,2628.37,2628.245,2626.52,1203,2022-02-28 12:15:00
28259,ETHUSD_i,2627.87,2637.67,2625.47,2643.97,2634.72,2635.7033333333334,2636.1949999999997,2633.745,1301,2022-02-28 12:30:00
28260,ETHUSD_i,2637.67,2639.37,2633.47,2646.27,2639.87,2639.7033333333334,2639.62,2639.1949999999997,996,2022-02-28 12:45:00
28261,ETHUSD_i,2639.37,2631.77,2630.37,2645.97,2638.17,2636.036666666667,2634.9700000000003,2636.87,1337,2022-02-28 13:00:00
28262,ETHUSD_i,2631.87,2636.67,2621.27,2638.07,2629.67,2632.0033333333336,2633.17,2631.9700000000003,1345,2022-02-28 13:15:00
28263,ETHUSD_i,2636.77,2637.07,2625.07,2642.57,2633.82,2634.9033333333336,2635.445,2635.3700000000003,1783,2022-02-28 13:30:00
28264,ETHUSD_i,2637.17,2640.97,2634.87,2645.77,2640.3199999999997,2640.5366666666664,2640.6449999999995,2639.6949999999997,1366,2022-02-28 13:45:00
28265,ETHUSD_i,2640.97,2636.97,2626.97,2654.37,2640.67,2639.4366666666665,2638.8199999999997,2639.8199999999997,1737,2022-02-28 14:00:00
28266,ETHUSD_i,2636.97,2655.37,2633.57,2661.07,2647.32,2650.0033333333336,2651.3450000000003,2646.745,1868,2022-02-28 14:15:00
28267,ETHUSD_i,2654.97,2649.17,2645.27,2665.57,2655.42,2653.3366666666666,2652.295,2653.745,1545,2022-02-28 14:30:00
28268,ETHUSD_i,2649.17,2634.97,2631.57,2653.27,2642.42,2639.9366666666665,2638.6949999999997,2642.245,1646,2022-02-28 14:45:00
28269,ETHUSD_i,2634.97,2635.37,2623.17,2639.27,2631.2200000000003,2632.6033333333335,2633.295,2633.195,1694,2022-02-28 15:00:00
28270,ETHUSD_i,2635.37,2620.37,2608.67,2638.27,2623.4700000000003,2622.436666666667,2621.92,2625.67,1963,2022-02-28 15:15:00
