,AUDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6675,AUDCAD_i,0.95863,0.95927,0.95851,0.95939,0.95895,0.9590566666666667,0.95911,0.95895,453,2021-03-30 19:45:00
6676,AUDCAD_i,0.95929,0.95944,0.95918,0.95954,0.95936,0.9593866666666666,0.9593999999999999,0.9593624999999999,701,2021-03-30 20:00:00
6677,AUDCAD_i,0.95942,0.95939,0.95928,0.95947,0.9593750000000001,0.95938,0.9593825,0.9593900000000001,545,2021-03-30 20:15:00
6678,AUDCAD_i,0.95937,0.95939,0.95914,0.95949,0.9593149999999999,0.95934,0.9593524999999999,0.9593474999999999,634,2021-03-30 20:30:00
6679,AUDCAD_i,0.95938,0.95928,0.95927,0.95966,0.959465,0.9594033333333334,0.9593725000000001,0.9593975,347,2021-03-30 20:45:00
6680,AUDCAD_i,0.95928,0.95932,0.95915,0.95934,0.9592449999999999,0.95927,0.9592824999999999,0.9592725,431,2021-03-30 21:00:00
6681,AUDCAD_i,0.95932,0.95917,0.95913,0.95935,0.9592400000000001,0.9592166666666667,0.959205,0.9592425,319,2021-03-30 21:15:00
6682,AUDCAD_i,0.95916,0.95879,0.95869,0.95917,0.9589300000000001,0.9588833333333334,0.95886,0.9589525000000001,364,2021-03-30 21:30:00
6683,AUDCAD_i,0.95879,0.9586,0.95844,0.9588,0.95862,0.9586133333333334,0.9586100000000001,0.9586575,611,2021-03-30 21:45:00
6684,AUDCAD_i,0.9586,0.95873,0.95853,0.95879,0.9586600000000001,0.9586833333333334,0.9586950000000001,0.9586625000000001,402,2021-03-30 22:00:00
6685,AUDCAD_i,0.95873,0.95928,0.95873,0.95932,0.959025,0.95911,0.9591525000000001,0.9590150000000001,248,2021-03-30 22:15:00
6686,AUDCAD_i,0.95928,0.95936,0.95912,0.95944,0.9592799999999999,0.9593066666666665,0.95932,0.9592999999999999,325,2021-03-30 22:30:00
6687,AUDCAD_i,0.95936,0.95929,0.95897,0.95941,0.95919,0.9592233333333334,0.9592400000000001,0.9592575000000001,391,2021-03-30 22:45:00
6688,AUDCAD_i,0.95933,0.95915,0.959,0.95935,0.959175,0.9591666666666666,0.9591624999999999,0.9592075,407,2021-03-30 23:00:00
6689,AUDCAD_i,0.95915,0.95902,0.95893,0.95919,0.95906,0.9590466666666666,0.9590399999999999,0.9590725,182,2021-03-30 23:15:00
6690,AUDCAD_i,0.95904,0.95895,0.95882,0.95915,0.958985,0.9589733333333333,0.9589675,0.95899,258,2021-03-30 23:30:00
6691,AUDCAD_i,0.95896,0.95929,0.95879,0.9593,0.959045,0.9591266666666667,0.9591675,0.959085,606,2021-03-30 23:45:00
6692,AUDCAD_i,0.95819,0.95872,0.95804,0.95872,0.95838,0.9584933333333333,0.95855,0.9584175,83,2021-03-31 00:00:00
6693,AUDCAD_i,0.95874,0.95881,0.95804,0.95917,0.9586049999999999,0.9586733333333334,0.9587075,0.95869,278,2021-03-31 00:15:00
6694,AUDCAD_i,0.95896,0.95876,0.95813,0.95901,0.95857,0.9586333333333333,0.958665,0.958715,271,2021-03-31 00:30:00
6695,AUDCAD_i,0.95877,0.95865,0.95807,0.95897,0.95852,0.9585633333333333,0.958585,0.958615,285,2021-03-31 00:45:00
6696,AUDCAD_i,0.95864,0.95907,0.9585,0.95911,0.958805,0.9588933333333333,0.9589375,0.95883,472,2021-03-31 01:00:00
6697,AUDCAD_i,0.95902,0.95934,0.95893,0.95935,0.95914,0.9592066666666667,0.95924,0.95916,253,2021-03-31 01:15:00
6698,AUDCAD_i,0.95933,0.95927,0.95902,0.95936,0.95919,0.9592166666666667,0.95923,0.959245,234,2021-03-31 01:30:00
6699,AUDCAD_i,0.95927,0.95912,0.95906,0.95954,0.9593,0.95924,0.95921,0.9592475,167,2021-03-31 01:45:00
6700,AUDCAD_i,0.95911,0.95935,0.95892,0.95939,0.959155,0.9592200000000001,0.9592525000000001,0.9591925,216,2021-03-31 02:00:00
6701,AUDCAD_i,0.95935,0.96001,0.95933,0.96001,0.95967,0.9597833333333333,0.95984,0.9596750000000001,168,2021-03-31 02:15:00
