,GER40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
16786,GER40_i,13638.1,13668.1,13617.0,13668.1,13642.55,13651.066666666666,13655.324999999999,13647.824999999999,2557,2021-01-25 18:30:00
16787,GER40_i,13668.1,13670.1,13661.1,13677.1,13669.1,13669.433333333334,13669.6,13669.1,1425,2021-01-25 18:45:00
16788,GER40_i,13670.1,13651.1,13651.1,13679.1,13665.1,13660.433333333334,13658.1,13662.85,1355,2021-01-25 19:00:00
16789,GER40_i,13652.1,13635.1,13628.1,13663.1,13645.6,13642.1,13640.35,13644.6,2027,2021-01-25 19:15:00
16790,GER40_i,13635.1,13661.1,13627.1,13665.1,13646.1,13651.1,13653.6,13647.1,1645,2021-01-25 19:30:00
16791,GER40_i,13662.1,13683.1,13660.1,13688.1,13674.1,13677.1,13678.6,13673.35,1425,2021-01-25 19:45:00
16792,GER40_i,13683.1,13684.1,13668.1,13691.1,13679.6,13681.1,13681.85,13681.6,1235,2021-01-25 20:00:00
16793,GER40_i,13684.1,13690.1,13677.1,13695.1,13686.1,13687.433333333334,13688.1,13686.6,1125,2021-01-25 20:15:00
16794,GER40_i,13691.1,13687.1,13683.1,13694.1,13688.6,13688.1,13687.85,13688.85,1095,2021-01-25 20:30:00
16795,GER40_i,13687.1,13676.1,13666.1,13693.1,13679.6,13678.433333333334,13677.85,13680.6,1215,2021-01-25 20:45:00
16796,GER40_i,13676.1,13670.1,13664.1,13684.1,13674.1,13672.766666666668,13672.1,13673.6,1225,2021-01-25 21:00:00
16797,GER40_i,13668.1,13684.1,13662.1,13685.1,13673.6,13677.1,13678.85,13674.85,955,2021-01-25 21:15:00
16798,GER40_i,13684.1,13688.1,13681.1,13690.1,13685.6,13686.433333333334,13686.85,13685.85,915,2021-01-25 21:30:00
16799,GER40_i,13688.1,13680.1,13679.1,13693.1,13686.1,13684.1,13683.1,13685.1,705,2021-01-25 21:45:00
16800,GER40_i,13680.1,13680.1,13679.1,13699.1,13689.1,13686.1,13684.6,13684.6,975,2021-01-25 22:00:00
16801,GER40_i,13680.1,13688.1,13675.1,13694.1,13684.6,13685.766666666668,13686.35,13684.35,875,2021-01-25 22:15:00
16802,GER40_i,13655.5,13650.5,13639.5,13662.5,13651.0,13650.833333333334,13650.75,13652.0,1113,2021-01-26 09:30:00
16803,GER40_i,13650.5,13670.5,13647.5,13671.5,13659.5,13663.166666666666,13665.0,13660.0,1607,2021-01-26 09:45:00
16804,GER40_i,13671.5,13734.8,13669.5,13750.8,13710.15,13718.366666666667,13722.474999999999,13706.65,3212,2021-01-26 10:00:00
16805,GER40_i,13734.8,13746.8,13733.8,13766.8,13750.3,13749.133333333331,13748.55,13745.55,2735,2021-01-26 10:15:00
16806,GER40_i,13747.8,13781.8,13746.8,13785.8,13766.3,13771.466666666665,13774.05,13765.55,1995,2021-01-26 10:30:00
16807,GER40_i,13781.8,13787.8,13772.8,13804.1,13788.45,13788.233333333332,13788.125,13786.625,1891,2021-01-26 10:45:00
16808,GER40_i,13787.8,13817.8,13787.8,13825.8,13806.8,13810.466666666665,13812.3,13804.8,1905,2021-01-26 11:00:00
16809,GER40_i,13817.8,13843.8,13817.8,13846.8,13832.3,13836.133333333331,13838.05,13831.55,1747,2021-01-26 11:15:00
16810,GER40_i,13843.8,13839.8,13827.8,13856.8,13842.3,13841.466666666665,13841.05,13842.05,1589,2021-01-26 11:30:00
16811,GER40_i,13839.8,13829.8,13821.8,13841.8,13831.8,13831.133333333331,13830.8,13833.3,1145,2021-01-26 11:45:00
16812,GER40_i,13829.8,13840.8,13819.8,13843.8,13831.8,13834.799999999997,13836.3,13833.55,1115,2021-01-26 12:00:00
16813,GER40_i,13839.8,13838.8,13827.8,13842.8,13835.3,13836.466666666665,13837.05,13837.3,1065,2021-01-26 12:15:00
16814,GER40_i,13838.8,13822.8,13822.8,13840.8,13831.8,13828.799999999997,13827.3,13831.3,965,2021-01-26 12:30:00
16815,GER40_i,13823.8,13830.8,13810.8,13832.8,13821.8,13824.799999999997,13826.3,13824.55,1251,2021-01-26 12:45:00
16816,GER40_i,13829.8,13843.8,13822.8,13850.8,13836.8,13839.133333333331,13840.3,13836.8,1185,2021-01-26 13:00:00
16817,GER40_i,13844.8,13844.8,13835.8,13847.8,13841.8,13842.799999999997,13843.3,13843.3,1075,2021-01-26 13:15:00
16818,GER40_i,13843.8,13857.8,13835.8,13860.8,13848.3,13851.466666666665,13853.05,13849.55,1115,2021-01-26 13:30:00
16819,GER40_i,13857.8,13894.8,13851.8,13920.8,13886.3,13889.133333333331,13890.55,13881.3,2425,2021-01-26 13:45:00
16820,GER40_i,13894.8,13897.8,13884.8,13915.8,13900.3,13899.466666666665,13899.05,13898.3,1965,2021-01-26 14:00:00
16821,GER40_i,13898.8,13913.8,13890.8,13917.8,13904.3,13907.466666666665,13909.05,13905.3,1465,2021-01-26 14:15:00
16822,GER40_i,13914.8,13916.8,13905.8,13930.8,13918.3,13917.799999999997,13917.55,13917.05,1455,2021-01-26 14:30:00
16823,GER40_i,13916.8,13910.8,13899.0,13919.8,13909.4,13909.866666666667,13910.099999999999,13911.599999999999,1157,2021-01-26 14:45:00
16824,GER40_i,13911.8,13910.8,13907.8,13924.8,13916.3,13914.466666666665,13913.55,13913.8,1189,2021-01-26 15:00:00
16825,GER40_i,13911.8,13891.8,13885.8,13916.8,13901.3,13898.133333333331,13896.55,13901.55,1485,2021-01-26 15:15:00
16826,GER40_i,13892.8,13898.8,13879.8,13898.8,13889.3,13892.466666666665,13894.05,13892.55,1135,2021-01-26 15:30:00
16827,GER40_i,13898.8,13901.8,13892.8,13903.8,13898.3,13899.466666666665,13900.05,13899.3,985,2021-01-26 15:45:00
16828,GER40_i,13901.8,13901.8,13897.8,13914.8,13906.3,13904.799999999997,13904.05,13904.05,955,2021-01-26 16:00:00
16829,GER40_i,13900.8,13894.8,13882.8,13901.8,13892.3,13893.133333333331,13893.55,13895.05,975,2021-01-26 16:15:00
16830,GER40_i,13894.8,13892.8,13889.8,13911.8,13900.8,13898.133333333331,13896.8,13897.3,1725,2021-01-26 16:30:00
16831,GER40_i,13893.8,13888.8,13879.8,13902.8,13891.3,13890.466666666665,13890.05,13891.3,1465,2021-01-26 16:45:00
16832,GER40_i,13889.8,13893.8,13883.8,13924.8,13904.3,13900.799999999997,13899.05,13898.05,1985,2021-01-26 17:00:00
16833,GER40_i,13893.8,13911.8,13884.8,13914.8,13899.8,13903.799999999997,13905.8,13901.3,1945,2021-01-26 17:15:00
16834,GER40_i,13911.8,13911.8,13897.8,13918.8,13908.3,13909.466666666665,13910.05,13910.05,1655,2021-01-26 17:30:00
