,USDHKD,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
25081,USDHKD,7.7989,7.79925,7.7989,7.79954,7.79922,7.7992300000000006,7.799235,7.7991475,66,2021-12-23 17:15:00
25082,USDHKD,7.79925,7.79945,7.79923,7.79966,7.799445,7.799446666666667,7.7994475,7.7993975,62,2021-12-23 17:30:00
25083,USDHKD,7.79945,7.79946,7.79925,7.7999600000000004,7.799605,7.799556666666667,7.7995325,7.79953,133,2021-12-23 17:45:00
25084,USDHKD,7.79942,7.79985,7.79809,7.79985,7.798970000000001,7.799263333333333,7.79941,7.7993025,153,2021-12-23 18:00:00
25085,USDHKD,7.79978,7.7997499999999995,7.79965,7.80005,7.799849999999999,7.799816666666666,7.799799999999999,7.7998075,78,2021-12-23 18:15:00
25086,USDHKD,7.79979,7.80025,7.79971,7.80039,7.800050000000001,7.800116666666668,7.80015,7.800035000000001,63,2021-12-23 18:30:00
25087,USDHKD,7.80025,7.80025,7.80023,7.80039,7.80031,7.8002899999999995,7.800279999999999,7.800279999999999,33,2021-12-23 18:45:00
25088,USDHKD,7.80029,7.80025,7.80025,7.80038,7.800314999999999,7.800293333333333,7.8002825,7.8002925,26,2021-12-23 19:00:00
25089,USDHKD,7.80025,7.80034,7.80025,7.80046,7.800355,7.800349999999999,7.800347499999999,7.800324999999999,73,2021-12-23 19:15:00
25090,USDHKD,7.80046,7.80058,7.80027,7.80064,7.8004549999999995,7.800496666666667,7.8005175,7.8004875,69,2021-12-23 19:30:00
25091,USDHKD,7.80058,7.80053,7.80052,7.80077,7.800644999999999,7.800606666666667,7.800587500000001,7.8006,76,2021-12-23 19:45:00
25092,USDHKD,7.80052,7.80055,7.80045,7.80061,7.80053,7.800536666666667,7.800540000000001,7.8005325,47,2021-12-23 20:00:00
25093,USDHKD,7.8004999999999995,7.79925,7.79916,7.8004999999999995,7.79983,7.799636666666667,7.79954,7.7998525,47,2021-12-23 20:15:00
25094,USDHKD,7.79925,7.79861,7.79851,7.7993,7.7989049999999995,7.798806666666667,7.7987575,7.7989175,55,2021-12-23 20:30:00
25095,USDHKD,7.79842,7.79891,7.79822,7.79904,7.798629999999999,7.798723333333332,7.798769999999999,7.7986474999999995,73,2021-12-23 20:45:00
25096,USDHKD,7.79896,7.7982,7.79819,7.79961,7.7989,7.798666666666667,7.7985500000000005,7.7987400000000004,79,2021-12-23 21:00:00
25097,USDHKD,7.7982,7.7981,7.7981,7.79882,7.79846,7.7983400000000005,7.79828,7.798305000000001,88,2021-12-23 21:15:00
25098,USDHKD,7.7981,7.79805,7.79805,7.79825,7.79815,7.798116666666666,7.7981,7.7981125,42,2021-12-23 21:30:00
25099,USDHKD,7.79805,7.79811,7.79805,7.79814,7.798095,7.798100000000001,7.798102500000001,7.7980875,35,2021-12-23 21:45:00
25100,USDHKD,7.7981,7.7981,7.79793,7.79812,7.798025,7.79805,7.7980625,7.7980625,45,2021-12-23 22:00:00
25101,USDHKD,7.79804,7.79805,7.79793,7.79812,7.798025,7.798033333333334,7.7980375,7.7980350000000005,55,2021-12-23 22:15:00
25102,USDHKD,7.7981,7.7980599999999995,7.79791,7.7981,7.798005,7.798023333333333,7.7980325,7.798042499999999,52,2021-12-23 22:30:00
25103,USDHKD,7.7980599999999995,7.7980599999999995,7.79795,7.79814,7.798045,7.79805,7.7980525,7.7980525,59,2021-12-23 22:45:00
25104,USDHKD,7.79809,7.7981,7.79796,7.79814,7.79805,7.798066666666666,7.798074999999999,7.7980725,48,2021-12-23 23:00:00
25105,USDHKD,7.79808,7.7981,7.79793,7.7981,7.7980149999999995,7.798043333333332,7.798057499999999,7.798052499999999,43,2021-12-23 23:15:00
25106,USDHKD,7.79809,7.79811,7.79793,7.79811,7.79802,7.79805,7.798065,7.7980599999999995,45,2021-12-23 23:30:00
25107,USDHKD,7.79793,7.79801,7.79789,7.79819,7.79804,7.79803,7.798024999999999,7.798005,50,2021-12-23 23:45:00
25108,USDHKD,7.79801,7.79817,7.79801,7.79855,7.79828,7.798243333333333,7.7982249999999995,7.798185,31,2021-12-24 00:00:00
25109,USDHKD,7.79812,7.79812,7.79812,7.79812,7.79812,7.79812,7.79812,7.79812,2,2021-12-24 00:15:00
