,AUDNZD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
29370,AUDNZD_i,1.07046,1.07096,1.07025,1.07126,1.0707550000000001,1.0708233333333335,1.0708575,1.0707325,1504,2022-02-24 12:30:00
29371,AUDNZD_i,1.07096,1.071,1.07055,1.07147,1.0710099999999998,1.0710066666666664,1.0710049999999998,1.070995,1313,2022-02-24 12:45:00
29372,AUDNZD_i,1.07101,1.07035,1.0702099999999999,1.07118,1.070695,1.0705799999999999,1.0705225,1.0706875,1236,2022-02-24 13:00:00
29373,AUDNZD_i,1.07035,1.06954,1.06948,1.07088,1.0701800000000001,1.0699666666666667,1.06986,1.0700625000000001,1287,2022-02-24 13:15:00
29374,AUDNZD_i,1.06954,1.06962,1.06924,1.0698,1.06952,1.0695533333333334,1.0695700000000001,1.06955,1035,2022-02-24 13:30:00
29375,AUDNZD_i,1.06962,1.07056,1.06936,1.07066,1.07001,1.0701933333333333,1.070285,1.07005,1526,2022-02-24 13:45:00
29376,AUDNZD_i,1.07057,1.07052,1.06999,1.07061,1.0703,1.0703733333333334,1.07041,1.0704225,1502,2022-02-24 14:00:00
29377,AUDNZD_i,1.07053,1.07094,1.0703,1.07102,1.0706600000000002,1.0707533333333334,1.0708000000000002,1.0706975,1096,2022-02-24 14:15:00
29378,AUDNZD_i,1.07094,1.07052,1.07033,1.07096,1.0706449999999998,1.0706033333333334,1.0705825,1.0706875,1174,2022-02-24 14:30:00
29379,AUDNZD_i,1.07053,1.06998,1.06993,1.0707,1.070315,1.0702033333333334,1.0701475,1.070285,1094,2022-02-24 14:45:00
29380,AUDNZD_i,1.06998,1.07023,1.06989,1.07075,1.0703200000000002,1.0702900000000002,1.070275,1.0702125,1522,2022-02-24 15:00:00
29381,AUDNZD_i,1.07023,1.0706,1.07015,1.07066,1.070405,1.07047,1.0705025,1.0704099999999999,1251,2022-02-24 15:15:00
29382,AUDNZD_i,1.0706,1.07055,1.07027,1.07073,1.0705,1.0705166666666666,1.070525,1.0705375,1332,2022-02-24 15:30:00
29383,AUDNZD_i,1.07056,1.0704,1.07023,1.07094,1.070585,1.0705233333333333,1.0704925,1.0705325,1667,2022-02-24 15:45:00
29384,AUDNZD_i,1.07042,1.07027,1.07001,1.0705,1.070255,1.07026,1.0702625,1.0703,1447,2022-02-24 16:00:00
29385,AUDNZD_i,1.07027,1.07081,1.07008,1.07121,1.0706449999999998,1.0706999999999998,1.0707274999999998,1.0705924999999998,1571,2022-02-24 16:15:00
