,NQ100_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1139,NQ100_i,11995.7,11964.5,11959.4,11999.4,11979.4,11974.433333333334,11971.95,11979.75,1833,2020-11-06 10:45:00
1140,NQ100_i,11964.9,11947.5,11935.6,11976.5,11956.05,11953.199999999999,11951.775,11956.125,2163,2020-11-06 11:00:00
1141,NQ100_i,11947.7,11958.6,11942.0,11963.6,11952.8,11954.733333333332,11955.699999999999,11952.974999999999,1492,2020-11-06 11:15:00
1142,NQ100_i,11958.6,11934.9,11924.9,11962.4,11943.65,11940.733333333332,11939.275,11945.199999999999,1651,2020-11-06 11:30:00
1143,NQ100_i,11934.6,11915.9,11912.0,11944.4,11928.2,11924.1,11922.050000000001,11926.725,1448,2020-11-06 11:45:00
1144,NQ100_i,11916.4,11918.9,11878.9,11921.9,11900.4,11906.566666666666,11909.65,11909.025,2544,2020-11-06 12:00:00
1145,NQ100_i,11919.4,11933.5,11902.9,11939.5,11921.2,11925.300000000001,11927.35,11923.825,1877,2020-11-06 12:15:00
1146,NQ100_i,11933.2,11942.0,11923.6,11947.4,11935.5,11937.666666666666,11938.75,11936.55,1901,2020-11-06 12:30:00
1147,NQ100_i,11941.2,11950.1,11935.9,11958.6,11947.25,11948.199999999999,11948.675,11946.45,1683,2020-11-06 12:45:00
1148,NQ100_i,11950.4,11961.7,11947.0,11980.1,11963.55,11962.933333333334,11962.625,11959.800000000001,1619,2020-11-06 13:00:00
1149,NQ100_i,11961.9,11966.4,11960.9,11972.0,11966.45,11966.433333333334,11966.425000000001,11965.300000000001,1223,2020-11-06 13:15:00
1150,NQ100_i,11966.2,11976.7,11957.9,11977.5,11967.7,11970.700000000003,11972.2,11969.575,1269,2020-11-06 13:30:00
1151,NQ100_i,11975.9,11965.6,11950.6,11986.6,11968.6,11967.6,11967.1,11969.675000000001,1699,2020-11-06 13:45:00
1152,NQ100_i,11962.6,11975.4,11962.1,12000.5,11981.3,11979.333333333334,11978.35,11975.15,1445,2020-11-06 14:00:00
1153,NQ100_i,11976.0,11967.0,11952.9,11978.2,11965.55,11966.033333333333,11966.275,11968.525,1513,2020-11-06 14:15:00
1154,NQ100_i,11967.2,11955.0,11933.6,11968.0,11950.8,11952.199999999999,11952.9,11955.95,1714,2020-11-06 14:30:00
1155,NQ100_i,11955.4,11948.5,11947.1,11963.4,11955.25,11953.0,11951.875,11953.6,1424,2020-11-06 14:45:00
1156,NQ100_i,11948.6,11953.5,11929.0,11958.6,11943.8,11947.033333333333,11948.65,11947.425,1754,2020-11-06 15:00:00
1157,NQ100_i,11953.6,11965.7,11953.2,11978.7,11965.95,11965.866666666669,11965.825,11962.800000000001,1659,2020-11-06 15:15:00
1158,NQ100_i,11965.9,12006.4,11963.2,12010.5,11986.85,11993.366666666667,11996.625,11986.5,2086,2020-11-06 15:30:00
1159,NQ100_i,12006.2,12031.9,12004.6,12034.7,12019.650000000001,12023.733333333335,12025.775000000001,12019.350000000002,1359,2020-11-06 15:45:00
1160,NQ100_i,12032.0,12056.0,12008.9,12056.4,12032.65,12040.433333333334,12044.325,12038.325,1768,2020-11-06 16:00:00
1161,NQ100_i,12055.4,12045.0,12044.0,12082.4,12063.2,12057.133333333333,12054.1,12056.7,2915,2020-11-06 16:15:00
1162,NQ100_i,12046.3,11929.9,11922.6,12059.0,11990.8,11970.5,11960.35,11989.45,4634,2020-11-06 16:30:00
1163,NQ100_i,11925.9,11910.1,11894.1,11961.0,11927.55,11921.733333333332,11918.824999999999,11922.775,4321,2020-11-06 16:45:00
1164,NQ100_i,11909.1,11971.1,11899.0,11979.1,11939.05,11949.733333333332,11955.074999999999,11939.574999999999,3031,2020-11-06 17:00:00
1165,NQ100_i,11970.6,12004.6,11970.4,12012.9,11991.65,11995.966666666667,11998.125,11989.625,1970,2020-11-06 17:15:00
1166,NQ100_i,12004.4,12007.9,11982.6,12017.4,12000.0,12002.633333333333,12003.95,12003.075,2483,2020-11-06 17:30:00
1167,NQ100_i,12007.7,11981.9,11968.9,12033.1,12001.0,11994.633333333333,11991.45,11997.900000000001,2622,2020-11-06 17:45:00
1168,NQ100_i,11981.4,12015.6,11972.4,12047.6,12010.0,12011.866666666667,12012.8,12004.25,2895,2020-11-06 18:00:00
1169,NQ100_i,12016.1,12042.6,12001.1,12043.1,12022.1,12028.933333333334,12032.35,12025.725,3046,2020-11-06 18:15:00
1170,NQ100_i,12043.4,12058.1,12031.4,12065.9,12048.65,12051.800000000001,12053.375,12049.7,2202,2020-11-06 18:30:00
1171,NQ100_i,12057.6,12059.5,12034.1,12078.6,12056.35,12057.4,12057.925,12057.449999999999,2439,2020-11-06 18:45:00
1172,NQ100_i,12059.6,12065.9,12057.4,12087.1,12072.25,12070.133333333333,12069.075,12067.5,2035,2020-11-06 19:00:00
1173,NQ100_i,12066.1,12046.4,12037.2,12067.9,12052.55,12050.5,12049.475,12054.4,2250,2020-11-06 19:15:00
1174,NQ100_i,12046.6,12063.6,12038.6,12072.1,12055.35,12058.1,12059.475,12055.225,2086,2020-11-06 19:30:00
1175,NQ100_i,12063.9,12074.0,12043.4,12076.4,12059.9,12064.6,12066.95,12064.425000000001,2128,2020-11-06 19:45:00
1176,NQ100_i,12074.0,12099.7,12070.9,12102.6,12086.75,12091.066666666666,12093.224999999999,12086.8,1286,2020-11-06 20:00:00
1177,NQ100_i,12099.9,12101.9,12084.4,12109.6,12097.0,12098.633333333333,12099.45,12098.95,1591,2020-11-06 20:15:00
1178,NQ100_i,12101.9,12093.5,12091.6,12108.9,12100.25,12098.0,12096.875,12098.975,1531,2020-11-06 20:30:00
1179,NQ100_i,12093.7,12094.0,12076.5,12104.1,12090.3,12091.533333333333,12092.15,12092.075,1826,2020-11-06 20:45:00
1180,NQ100_i,12093.4,12106.4,12085.4,12109.1,12097.25,12100.300000000001,12101.825,12098.575,1392,2020-11-06 21:00:00
1181,NQ100_i,12106.7,12084.6,12082.1,12112.5,12097.3,12093.066666666666,12090.949999999999,12096.474999999999,1660,2020-11-06 21:15:00
1182,NQ100_i,12084.4,12071.7,12069.0,12101.6,12085.3,12080.766666666668,12078.5,12081.675000000001,1579,2020-11-06 21:30:00
1183,NQ100_i,12071.4,12072.5,12057.1,12077.4,12067.25,12069.0,12069.875,12069.6,1581,2020-11-06 21:45:00
1184,NQ100_i,12072.2,12071.4,12043.6,12076.1,12059.85,12063.699999999999,12065.625,12065.825,1918,2020-11-06 22:00:00
1185,NQ100_i,12071.2,12069.1,12040.1,12073.9,12057.0,12061.033333333333,12063.05,12063.575,2406,2020-11-06 22:15:00
1186,NQ100_i,12069.4,12104.4,12063.1,12104.4,12083.75,12090.633333333333,12094.075,12085.325,1930,2020-11-06 22:30:00
1187,NQ100_i,12104.6,12090.4,12078.6,12118.1,12098.35,12095.699999999999,12094.375,12097.925,2609,2020-11-06 22:45:00
1188,NQ100_i,12235.6,12254.4,12232.9,12267.1,12250.0,12251.466666666667,12252.2,12247.5,1607,2020-11-09 01:30:00
1189,NQ100_i,12254.2,12243.4,12234.7,12255.9,12245.3,12244.666666666666,12244.35,12247.05,1400,2020-11-09 01:45:00
1190,NQ100_i,12242.8,12240.4,12230.6,12245.7,12238.150000000001,12238.900000000001,12239.275000000001,12239.875,1461,2020-11-09 02:00:00
1191,NQ100_i,12240.4,12242.8,12236.8,12246.3,12241.55,12241.966666666665,12242.175,12241.574999999999,1023,2020-11-09 02:15:00
1192,NQ100_i,12243.7,12272.4,12240.4,12277.9,12259.15,12263.566666666666,12265.775,12258.599999999999,1245,2020-11-09 02:30:00
1193,NQ100_i,12272.4,12300.6,12269.6,12321.7,12295.650000000001,12297.300000000001,12298.125,12291.075,1708,2020-11-09 02:45:00
