,NZDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
16967,NZDCHF_i,0.63744,0.63705,0.63661,0.63745,0.63703,0.6370366666666666,0.6370399999999999,0.6371374999999999,86,2021-08-27 00:45:00
16968,NZDCHF_i,0.63705,0.6376,0.63682,0.63775,0.6372850000000001,0.63739,0.6374425,0.637305,182,2021-08-27 01:00:00
16969,NZDCHF_i,0.63756,0.6376,0.63747,0.63776,0.637615,0.63761,0.6376075,0.6375975,131,2021-08-27 01:15:00
16970,NZDCHF_i,0.6376,0.63768,0.63758,0.6378,0.6376900000000001,0.6376866666666667,0.6376850000000001,0.637665,85,2021-08-27 01:30:00
16971,NZDCHF_i,0.63769,0.6377,0.63757,0.63791,0.63774,0.6377266666666667,0.6377200000000001,0.6377175,94,2021-08-27 01:45:00
16972,NZDCHF_i,0.63765,0.63743,0.63741,0.63771,0.63756,0.6375166666666666,0.637495,0.6375500000000001,107,2021-08-27 02:00:00
16973,NZDCHF_i,0.63743,0.63754,0.6374,0.63756,0.63748,0.6375000000000001,0.63751,0.6374825000000001,49,2021-08-27 02:15:00
16974,NZDCHF_i,0.63747,0.63743,0.63739,0.63767,0.6375299999999999,0.6374966666666667,0.63748,0.63749,82,2021-08-27 02:30:00
16975,NZDCHF_i,0.63739,0.63719,0.63716,0.63746,0.63731,0.63727,0.63725,0.6373,100,2021-08-27 02:45:00
16976,NZDCHF_i,0.63719,0.63669,0.63657,0.63721,0.63689,0.6368233333333333,0.63679,0.636915,369,2021-08-27 03:00:00
16977,NZDCHF_i,0.63672,0.6364,0.63613,0.63686,0.636495,0.6364633333333334,0.6364475,0.6365275,336,2021-08-27 03:15:00
16978,NZDCHF_i,0.6364,0.63674,0.63633,0.63678,0.636555,0.6366166666666667,0.6366475,0.6365625,210,2021-08-27 03:30:00
16979,NZDCHF_i,0.63674,0.63706,0.63662,0.63717,0.636895,0.63695,0.6369775,0.6368975,357,2021-08-27 03:45:00
16980,NZDCHF_i,0.63706,0.63692,0.63691,0.6373,0.637105,0.6370433333333333,0.6370125,0.6370475,270,2021-08-27 04:00:00
16981,NZDCHF_i,0.6369,0.63712,0.63683,0.63739,0.6371100000000001,0.6371133333333333,0.637115,0.63706,236,2021-08-27 04:15:00
16982,NZDCHF_i,0.63712,0.63704,0.63696,0.6372,0.63708,0.6370666666666667,0.63706,0.63708,240,2021-08-27 04:30:00
16983,NZDCHF_i,0.63704,0.63657,0.63656,0.63707,0.636815,0.6367333333333334,0.6366925,0.6368100000000001,252,2021-08-27 04:45:00
16984,NZDCHF_i,0.63659,0.63697,0.63656,0.63716,0.63686,0.6368966666666667,0.636915,0.6368199999999999,218,2021-08-27 05:00:00
16985,NZDCHF_i,0.63697,0.63668,0.63656,0.63697,0.636765,0.6367366666666667,0.6367225000000001,0.636795,183,2021-08-27 05:15:00
16986,NZDCHF_i,0.6367,0.63668,0.63657,0.6368,0.636685,0.6366833333333334,0.6366825,0.6366875000000001,157,2021-08-27 05:30:00
