,XBNUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
21422,XBNUSD_i,583.44,586.98,581.74,587.64,584.69,585.4533333333334,585.835,584.95,3252,2021-10-28 23:00:00
21423,XBNUSD_i,586.99,587.71,585.66,587.79,586.7249999999999,587.0533333333333,587.2175,587.0374999999999,1887,2021-10-28 23:15:00
21424,XBNUSD_i,587.7,586.99,586.44,589.56,588.0,587.6633333333333,587.495,587.6725,1637,2021-10-28 23:30:00
21425,XBNUSD_i,587.0,587.01,587.0,587.01,587.005,587.0066666666667,587.0074999999999,587.005,2,2021-10-28 23:45:00
21426,XBNUSD_i,587.01,577.18,576.54,587.01,581.775,580.2433333333333,579.4775,581.935,2302,2021-10-29 00:15:00
21427,XBNUSD_i,576.54,578.12,576.09,580.88,578.485,578.3633333333333,578.3025,577.9075,3366,2021-10-29 00:30:00
21428,XBNUSD_i,578.25,577.51,577.49,580.69,579.09,578.5633333333334,578.3,578.485,3005,2021-10-29 00:45:00
21429,XBNUSD_i,577.54,575.92,571.86,580.08,575.97,575.9533333333334,575.945,576.35,2019,2021-10-29 01:00:00
21430,XBNUSD_i,575.9,575.98,574.2,577.1,575.6500000000001,575.7600000000001,575.815,575.7950000000001,1299,2021-10-29 01:15:00
21431,XBNUSD_i,576.1,578.21,576.1,579.32,577.71,577.8766666666667,577.96,577.4325,1014,2021-10-29 01:30:00
21432,XBNUSD_i,578.2,577.34,575.46,579.08,577.27,577.2933333333334,577.3050000000001,577.52,1023,2021-10-29 01:45:00
21433,XBNUSD_i,577.37,577.06,573.96,578.13,576.0450000000001,576.3833333333333,576.5525,576.63,1440,2021-10-29 02:00:00
21434,XBNUSD_i,577.08,577.93,576.22,578.86,577.54,577.67,577.7349999999999,577.5224999999999,1270,2021-10-29 02:15:00
21435,XBNUSD_i,577.94,575.36,574.68,577.94,576.31,575.9933333333333,575.835,576.48,833,2021-10-29 02:30:00
21436,XBNUSD_i,575.37,576.05,575.0,577.3,576.15,576.1166666666667,576.0999999999999,575.93,835,2021-10-29 02:45:00
21437,XBNUSD_i,576.08,575.08,574.74,579.47,577.105,576.43,576.0925,576.3425,1574,2021-10-29 03:00:00
21438,XBNUSD_i,575.09,576.51,572.82,577.99,575.405,575.7733333333333,575.9575,575.6025,1145,2021-10-29 03:15:00
21439,XBNUSD_i,576.58,579.51,576.49,580.0,578.245,578.6666666666666,578.8775,578.145,1184,2021-10-29 03:30:00
21440,XBNUSD_i,579.51,582.9,578.85,583.29,581.0699999999999,581.68,581.985,581.1375,1468,2021-10-29 03:45:00
21441,XBNUSD_i,582.92,583.58,581.38,583.88,582.63,582.9466666666667,583.105,582.94,1298,2021-10-29 04:00:00
21442,XBNUSD_i,583.57,587.63,582.51,588.33,585.4200000000001,586.1566666666668,586.5250000000001,585.5100000000001,1479,2021-10-29 04:15:00
21443,XBNUSD_i,587.63,587.52,583.89,587.9,585.895,586.4366666666666,586.7075,586.735,1568,2021-10-29 04:30:00
21444,XBNUSD_i,587.54,585.42,584.47,588.14,586.3050000000001,586.0100000000001,585.8625000000001,586.3925,1019,2021-10-29 04:45:00
21445,XBNUSD_i,585.29,586.58,583.74,587.23,585.485,585.85,586.0325,585.71,1235,2021-10-29 05:00:00
21446,XBNUSD_i,586.75,585.29,584.24,587.13,585.685,585.5533333333333,585.4875,585.8525,997,2021-10-29 05:15:00
21447,XBNUSD_i,585.3,587.06,583.83,587.84,585.835,586.2433333333333,586.4475,586.0074999999999,1051,2021-10-29 05:30:00
21448,XBNUSD_i,587.07,587.65,585.85,588.44,587.145,587.3133333333334,587.3975,587.2525,463,2021-10-29 05:45:00
21449,XBNUSD_i,587.66,587.41,586.09,588.54,587.315,587.3466666666667,587.3625,587.425,743,2021-10-29 06:00:00
21450,XBNUSD_i,587.4,588.7,586.53,588.82,587.675,588.0166666666667,588.1875,587.8625,679,2021-10-29 06:15:00
21451,XBNUSD_i,588.71,586.24,585.27,588.77,587.02,586.76,586.63,587.2475,671,2021-10-29 06:30:00
21452,XBNUSD_i,586.27,587.38,584.48,588.56,586.52,586.8066666666667,586.95,586.6725,706,2021-10-29 06:45:00
21453,XBNUSD_i,587.46,587.18,586.23,588.85,587.54,587.42,587.3599999999999,587.43,652,2021-10-29 07:00:00
21454,XBNUSD_i,587.22,588.07,586.73,588.46,587.595,587.7533333333334,587.8325000000001,587.6200000000001,502,2021-10-29 07:15:00
21455,XBNUSD_i,588.08,586.08,584.96,588.5,586.73,586.5133333333333,586.405,586.905,723,2021-10-29 07:30:00
21456,XBNUSD_i,586.15,587.08,584.52,587.88,586.2,586.4933333333333,586.64,586.4075,731,2021-10-29 07:45:00
21457,XBNUSD_i,587.08,585.42,584.86,587.38,586.12,585.8866666666667,585.77,586.185,874,2021-10-29 08:00:00
21458,XBNUSD_i,585.12,584.05,582.0,585.61,583.8050000000001,583.8866666666667,583.9275,584.195,1233,2021-10-29 08:15:00
21459,XBNUSD_i,584.05,580.56,579.61,584.71,582.1600000000001,581.6266666666667,581.36,582.2325000000001,1364,2021-10-29 08:30:00
21460,XBNUSD_i,580.57,582.48,580.52,583.34,581.9300000000001,582.1133333333333,582.205,581.7275000000001,1090,2021-10-29 08:45:00
