,GER40_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
30188,GER40_m_i,15477.6,15483.6,15471.6,15497.6,15484.6,15484.266666666668,15484.1,15482.6,337,2022-01-26 15:00:00
30189,GER40_m_i,15484.6,15509.6,15476.6,15514.6,15495.6,15500.266666666668,15502.6,15496.35,297,2022-01-26 15:15:00
30190,GER40_m_i,15510.6,15497.6,15489.6,15524.6,15507.1,15503.933333333334,15502.35,15505.6,363,2022-01-26 15:30:00
30191,GER40_m_i,15497.6,15510.6,15492.6,15510.6,15501.6,15504.6,15506.1,15502.85,294,2022-01-26 15:45:00
30192,GER40_m_i,15510.6,15473.7,15470.6,15517.6,15494.1,15487.300000000001,15483.900000000001,15493.125,375,2022-01-26 16:00:00
30193,GER40_m_i,15473.7,15477.7,15450.7,15479.7,15465.2,15469.366666666669,15471.45,15470.45,489,2022-01-26 16:15:00
30194,GER40_m_i,15477.7,15457.6,15435.6,15480.7,15458.150000000001,15457.966666666667,15457.875,15462.900000000001,819,2022-01-26 16:30:00
30195,GER40_m_i,15457.7,15508.7,15457.7,15510.0,15483.85,15492.133333333333,15496.275000000001,15483.525000000001,616,2022-01-26 16:45:00
30196,GER40_m_i,15507.7,15469.6,15467.6,15525.7,15496.650000000001,15487.633333333333,15483.125,15492.650000000001,735,2022-01-26 17:00:00
30197,GER40_m_i,15470.6,15425.9,15411.8,15476.7,15444.25,15438.133333333333,15435.075,15446.25,753,2022-01-26 17:15:00
30198,GER40_m_i,15424.9,15397.8,15390.9,15433.9,15412.4,15407.533333333333,15405.099999999999,15411.875,839,2022-01-26 17:30:00
30199,GER40_m_i,15397.9,15419.9,15381.9,15426.9,15404.4,15409.566666666666,15412.15,15406.65,709,2022-01-26 17:45:00
30200,GER40_m_i,15417.9,15447.8,15398.8,15447.9,15423.349999999999,15431.5,15435.575,15428.1,669,2022-01-26 18:00:00
30201,GER40_m_i,15447.8,15449.9,15427.9,15474.9,15451.4,15450.9,15450.65,15450.125,657,2022-01-26 18:15:00
30202,GER40_m_i,15449.9,15447.9,15440.9,15465.9,15453.4,15451.566666666666,15450.65,15451.15,694,2022-01-26 18:30:00
30203,GER40_m_i,15448.9,15450.9,15424.9,15454.9,15439.9,15443.566666666666,15445.4,15444.9,569,2022-01-26 18:45:00
30204,GER40_m_i,15452.9,15468.9,15447.9,15471.9,15459.9,15462.9,15464.4,15460.4,525,2022-01-26 19:00:00
30205,GER40_m_i,15469.9,15485.9,15462.9,15486.9,15474.9,15478.566666666666,15480.4,15476.4,416,2022-01-26 19:15:00
30206,GER40_m_i,15485.9,15492.9,15477.9,15495.9,15486.9,15488.9,15489.9,15488.15,354,2022-01-26 19:30:00
