,HSI50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
754,HSI50_i,24020.0,24017.0,23974.0,24076.0,24025.0,24022.333333333332,24021.0,24021.75,22585,2020-10-06 16:00:00
755,HSI50_i,24113.0,24177.0,24093.5,24253.5,24173.5,24174.666666666668,24175.25,24159.25,34820,2020-10-07 08:00:00
756,HSI50_i,24178.0,24223.5,24151.5,24234.5,24193.0,24203.166666666668,24208.25,24196.875,16535,2020-10-07 12:00:00
757,HSI50_i,24223.5,24172.5,24159.5,24274.5,24217.0,24202.166666666668,24194.75,24207.5,19785,2020-10-07 16:00:00
758,HSI50_i,24023.5,24119.0,24003.0,24148.0,24075.5,24090.0,24097.25,24073.375,29264,2020-10-08 08:00:00
759,HSI50_i,24118.0,24128.0,24086.5,24168.5,24127.5,24127.666666666668,24127.75,24125.25,16180,2020-10-08 12:00:00
760,HSI50_i,24128.0,24214.0,24117.5,24216.5,24167.0,24182.666666666668,24190.5,24169.0,17830,2020-10-08 16:00:00
761,HSI50_i,24173.0,24014.5,24006.5,24188.0,24097.25,24069.666666666668,24055.875,24095.5,34085,2020-10-09 08:00:00
762,HSI50_i,24012.5,24116.0,24011.5,24116.0,24063.75,24081.166666666668,24089.875,24064.0,12405,2020-10-09 12:00:00
763,HSI50_i,24115.0,24224.0,24081.0,24246.0,24163.5,24183.666666666668,24193.75,24166.5,17635,2020-10-09 16:00:00
764,HSI50_i,24574.5,24588.0,24574.5,24703.5,24639.0,24622.0,24613.5,24610.125,36130,2020-10-12 08:00:00
765,HSI50_i,24587.0,24662.5,24586.0,24671.5,24628.75,24640.0,24645.625,24626.75,16090,2020-10-12 12:00:00
766,HSI50_i,24662.5,24713.5,24613.5,24735.5,24674.5,24687.5,24694.0,24681.25,18530,2020-10-12 16:00:00
767,HSI50_i,24589.0,24663.5,24507.5,24725.5,24616.5,24632.166666666668,24640.0,24621.375,24804,2020-10-13 08:00:00
768,HSI50_i,24662.5,24595.5,24575.5,24673.5,24624.5,24614.833333333332,24610.0,24626.75,16198,2020-10-13 12:00:00
769,HSI50_i,24594.5,24639.5,24546.0,24646.5,24596.25,24610.666666666668,24617.875,24606.625,27350,2020-10-13 16:00:00
770,HSI50_i,24554.5,24566.0,24526.5,24634.5,24580.5,24575.666666666668,24573.25,24570.375,32955,2020-10-14 08:00:00
771,HSI50_i,24567.0,24608.5,24510.5,24637.5,24574.0,24585.5,24591.25,24580.875,20220,2020-10-14 12:00:00
772,HSI50_i,24609.5,24488.5,24454.5,24631.5,24543.0,24524.833333333332,24515.75,24546.0,21010,2020-10-14 16:00:00
773,HSI50_i,24303.5,23989.0,23966.0,24394.5,24180.25,24116.5,24084.625,24163.25,43260,2020-10-15 08:00:00
774,HSI50_i,23982.0,24039.0,23947.0,24101.5,24024.25,24029.166666666668,24031.625,24017.375,29670,2020-10-15 12:00:00
775,HSI50_i,24039.0,24088.0,24027.5,24116.0,24071.75,24077.166666666668,24079.875,24067.625,26480,2020-10-15 16:00:00
776,HSI50_i,24255.5,24345.5,24255.5,24422.0,24338.75,24341.0,24342.125,24319.625,35625,2020-10-16 08:00:00
777,HSI50_i,24341.5,24394.0,24313.0,24396.0,24354.5,24367.666666666668,24374.25,24361.125,18150,2020-10-16 12:00:00
778,HSI50_i,24393.0,24405.0,24308.0,24417.0,24362.5,24376.666666666668,24383.75,24380.75,18725,2020-10-16 16:00:00
779,HSI50_i,24520.5,24543.0,24466.5,24578.5,24522.5,24529.333333333332,24532.75,24527.125,33425,2020-10-19 08:00:00
780,HSI50_i,24541.0,24507.5,24492.5,24552.5,24522.5,24517.5,24515.0,24523.375,14265,2020-10-19 12:00:00
781,HSI50_i,24507.5,24518.5,24489.5,24572.5,24531.0,24526.833333333332,24524.75,24522.0,19730,2020-10-19 16:00:00
782,HSI50_i,24464.5,24478.0,24433.5,24541.5,24487.5,24484.333333333332,24482.75,24479.375,29930,2020-10-20 08:00:00
783,HSI50_i,24479.0,24490.5,24455.5,24526.5,24491.0,24490.833333333332,24490.75,24487.875,14100,2020-10-20 12:00:00
784,HSI50_i,24489.5,24530.5,24471.5,24588.5,24530.0,24530.166666666668,24530.25,24520.0,20000,2020-10-20 16:00:00
785,HSI50_i,24694.0,24582.0,24582.0,24844.5,24713.25,24669.5,24647.625,24675.625,35965,2020-10-21 08:00:00
786,HSI50_i,24582.0,24676.5,24582.0,24690.5,24636.25,24649.666666666668,24656.375,24632.75,18720,2020-10-21 12:00:00
787,HSI50_i,24675.5,24709.5,24663.5,24802.5,24733.0,24725.166666666668,24721.25,24712.75,24330,2020-10-21 16:00:00
788,HSI50_i,24642.0,24805.5,24626.0,24859.0,24742.5,24763.5,24774.0,24733.125,34905,2020-10-22 08:00:00
789,HSI50_i,24806.5,24819.5,24777.5,24865.0,24821.25,24820.666666666668,24820.375,24817.125,19665,2020-10-22 12:00:00
790,HSI50_i,24820.5,24772.5,24704.5,24841.5,24773.0,24772.833333333332,24772.75,24784.75,23650,2020-10-22 16:00:00
791,HSI50_i,24911.5,24870.0,24745.5,24948.5,24847.0,24854.666666666668,24858.5,24868.875,38395,2020-10-23 08:00:00
792,HSI50_i,24869.0,24922.5,24865.0,24927.5,24896.25,24905.0,24909.375,24896.0,14125,2020-10-23 12:00:00
793,HSI50_i,24922.5,24888.5,24841.5,24924.5,24883.0,24884.833333333332,24885.75,24894.25,22060,2020-10-23 16:00:00
794,HSI50_i,24612.5,24693.5,24612.5,24716.5,24664.5,24674.166666666668,24679.0,24658.75,13030,2020-10-27 04:00:00
