,USDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
250,USDJPY_i,105.574,105.376,105.307,105.691,105.499,105.45800000000001,105.4375,105.48700000000001,10370,2021-02-19 08:00:00
251,USDJPY_i,105.376,105.419,105.231,105.482,105.3565,105.37733333333334,105.38775,105.37700000000001,8823,2021-02-19 12:00:00
252,USDJPY_i,105.419,105.427,105.4,105.662,105.531,105.49633333333334,105.47900000000001,105.477,11801,2021-02-19 16:00:00
253,USDJPY_i,105.427,105.414,105.411,105.61,105.51050000000001,105.47833333333334,105.46225,105.4655,6100,2021-02-19 20:00:00
254,USDJPY_i,105.377,105.578,105.37,105.617,105.49350000000001,105.52166666666669,105.53575000000001,105.48550000000002,9002,2021-02-22 00:00:00
255,USDJPY_i,105.579,105.649,105.553,105.73,105.64150000000001,105.644,105.64525,105.62775,7316,2021-02-22 04:00:00
256,USDJPY_i,105.649,105.643,105.619,105.837,105.72800000000001,105.69966666666669,105.68550000000002,105.68700000000001,10154,2021-02-22 08:00:00
257,USDJPY_i,105.643,105.345,105.304,105.661,105.4825,105.43666666666667,105.41375,105.48825,9817,2021-02-22 12:00:00
258,USDJPY_i,105.345,105.042,104.99,105.398,105.19399999999999,105.14333333333332,105.118,105.19375,14328,2021-02-22 16:00:00
259,USDJPY_i,105.041,105.066,104.974,105.085,105.0295,105.04166666666667,105.04775000000001,105.0415,4375,2021-02-22 20:00:00
260,USDJPY_i,105.065,104.948,104.915,105.086,105.0005,104.983,104.97425,105.0035,8404,2021-02-23 00:00:00
261,USDJPY_i,104.948,105.042,104.921,105.049,104.98500000000001,105.00400000000002,105.01350000000002,104.99000000000001,4788,2021-02-23 04:00:00
262,USDJPY_i,105.042,105.267,105.042,105.311,105.1765,105.20666666666666,105.22175,105.16550000000001,10843,2021-02-23 08:00:00
263,USDJPY_i,105.269,105.374,105.169,105.423,105.29599999999999,105.322,105.33500000000001,105.30875,10510,2021-02-23 12:00:00
264,USDJPY_i,105.374,105.232,105.055,105.394,105.2245,105.22700000000002,105.22825,105.26375000000002,15140,2021-02-23 16:00:00
265,USDJPY_i,105.231,105.235,105.191,105.32,105.2555,105.24866666666667,105.24525,105.24425,4996,2021-02-23 20:00:00
266,USDJPY_i,105.244,105.41,105.175,105.48,105.3275,105.355,105.36875,105.32724999999999,10912,2021-02-24 00:00:00
267,USDJPY_i,105.41,105.527,105.373,105.556,105.4645,105.48533333333334,105.49575,105.4665,8459,2021-02-24 04:00:00
268,USDJPY_i,105.525,105.767,105.458,105.811,105.6345,105.67866666666667,105.70075,105.64025000000001,10554,2021-02-24 08:00:00
269,USDJPY_i,105.766,105.993,105.735,106.09,105.9125,105.93933333333332,105.95275,105.896,12922,2021-02-24 12:00:00
270,USDJPY_i,105.994,105.881,105.823,106.097,105.96,105.93366666666667,105.9205,105.94874999999999,17832,2021-02-24 16:00:00
271,USDJPY_i,105.881,105.868,105.818,105.967,105.8925,105.88433333333334,105.88025,105.8835,6984,2021-02-24 20:00:00
272,USDJPY_i,105.864,106.114,105.818,106.132,105.975,106.02133333333332,106.0445,105.982,13122,2021-02-25 00:00:00
273,USDJPY_i,106.117,105.877,105.838,106.119,105.9785,105.94466666666666,105.92775,105.98775,9704,2021-02-25 04:00:00
274,USDJPY_i,105.877,106.039,105.876,106.163,106.0195,106.026,106.02924999999999,105.98875,11647,2021-02-25 08:00:00
275,USDJPY_i,106.039,106.146,106.029,106.189,106.109,106.12133333333333,106.1275,106.10074999999999,14296,2021-02-25 12:00:00
276,USDJPY_i,106.146,106.315,106.047,106.322,106.1845,106.228,106.24974999999999,106.2075,21166,2021-02-25 16:00:00
277,USDJPY_i,106.314,106.194,106.002,106.398,106.19999999999999,106.198,106.197,106.227,22510,2021-02-25 20:00:00
278,USDJPY_i,106.194,106.136,106.134,106.421,106.2775,106.23033333333335,106.20675,106.22125000000001,17489,2021-02-26 00:00:00
279,USDJPY_i,106.138,106.187,105.841,106.254,106.0475,106.094,106.11725,106.10499999999999,16434,2021-02-26 04:00:00
