,USDDKK_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1702,USDDKK_i,6.58057,6.59423,6.57703,6.59596,6.586494999999999,6.5890733333333324,6.5903624999999995,6.586947499999999,5768,2022-01-25 08:00:00
1703,USDDKK_i,6.59413,6.60043,6.59234,6.60609,6.599215,6.599620000000001,6.5998225,6.5982475,6229,2022-01-25 12:00:00
1704,USDDKK_i,6.60063,6.59271,6.59191,6.60797,6.59994,6.59753,6.596325,6.598305,7103,2022-01-25 16:00:00
1705,USDDKK_i,6.59255,6.58258,6.5803899999999995,6.59347,6.58693,6.58548,6.5847549999999995,6.587247499999999,3171,2022-01-25 20:00:00
1706,USDDKK_i,6.58201,6.5817,6.5793800000000005,6.58416,6.581770000000001,6.5817466666666675,6.581735,6.581812500000001,1130,2022-01-26 00:00:00
1707,USDDKK_i,6.5816099999999995,6.58176,6.57718,6.5841899999999995,6.580685,6.581043333333334,6.5812225,6.581185,1766,2022-01-26 04:00:00
1708,USDDKK_i,6.58173,6.59287,6.58137,6.5945599999999995,6.587965,6.5896,6.590417499999999,6.5876325,4652,2022-01-26 08:00:00
1709,USDDKK_i,6.5929,6.59533,6.59215,6.60155,6.59685,6.5963433333333334,6.59609,6.5954825,5473,2022-01-26 12:00:00
1710,USDDKK_i,6.59522,6.59203,6.58553,6.59988,6.5927050000000005,6.592480000000001,6.592367500000001,6.593165000000001,6620,2022-01-26 16:00:00
1711,USDDKK_i,6.5918600000000005,6.61782,6.58372,6.62267,6.6031949999999995,6.6080700000000006,6.610507500000001,6.6040175,6692,2022-01-26 20:00:00
1712,USDDKK_i,6.61815,6.62409,6.61506,6.62554,6.6203,6.6215633333333335,6.622195,6.62071,1901,2022-01-27 00:00:00
1713,USDDKK_i,6.62428,6.6315,6.62171,6.6344899999999996,6.6281,6.629233333333333,6.6297999999999995,6.627994999999999,2362,2022-01-27 04:00:00
1714,USDDKK_i,6.63157,6.6471,6.62949,6.64855,6.63902,6.641713333333333,6.64306,6.6391775,6347,2022-01-27 08:00:00
