,GBPCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
770,GBPCHF_i,1.278,1.2782499999999999,1.27751,1.27898,1.278245,1.2782466666666668,1.2782475,1.2781850000000001,2683,2021-06-22 00:00:00
771,GBPCHF_i,1.2782499999999999,1.2790599999999999,1.2776,1.27955,1.278575,1.2787366666666666,1.2788175,1.2786149999999998,4142,2021-06-22 04:00:00
772,GBPCHF_i,1.2790599999999999,1.2753700000000001,1.27491,1.27991,1.2774100000000002,1.2767300000000001,1.2763900000000001,1.2773125,11688,2021-06-22 08:00:00
773,GBPCHF_i,1.27539,1.27763,1.27492,1.27899,1.276955,1.2771800000000002,1.2772925000000002,1.2767325,11065,2021-06-22 12:00:00
774,GBPCHF_i,1.27765,1.2800799999999999,1.27675,1.2812299999999999,1.2789899999999998,1.2793533333333331,1.2795349999999999,1.2789275,15998,2021-06-22 16:00:00
775,GBPCHF_i,1.2800799999999999,1.28016,1.27934,1.28106,1.2802,1.2801866666666666,1.28018,1.28016,7522,2021-06-22 20:00:00
776,GBPCHF_i,1.27951,1.2807,1.27841,1.28141,1.27991,1.2801733333333334,1.280305,1.2800075,3098,2021-06-23 00:00:00
777,GBPCHF_i,1.28071,1.2809599999999999,1.28006,1.28122,1.28064,1.2807466666666667,1.2808,1.2807374999999999,4440,2021-06-23 04:00:00
778,GBPCHF_i,1.28095,1.28299,1.28054,1.2840099999999999,1.2822749999999998,1.2825133333333332,1.2826324999999998,1.2821224999999998,11458,2021-06-23 08:00:00
779,GBPCHF_i,1.28299,1.2815400000000001,1.28054,1.28328,1.2819099999999999,1.2817866666666666,1.281725,1.2820875,11145,2021-06-23 12:00:00
780,GBPCHF_i,1.28156,1.28206,1.27966,1.28263,1.281145,1.28145,1.2816025,1.2814775,13584,2021-06-23 16:00:00
781,GBPCHF_i,1.28205,1.28168,1.28148,1.2825199999999999,1.282,1.2818933333333333,1.2818399999999999,1.2819325,6585,2021-06-23 20:00:00
782,GBPCHF_i,1.2814999999999999,1.28186,1.28083,1.28266,1.281745,1.2817833333333333,1.2818025,1.2817124999999998,2938,2021-06-24 00:00:00
783,GBPCHF_i,1.2818800000000001,1.28311,1.28149,1.28348,1.2824849999999999,1.2826933333333332,1.2827974999999998,1.28249,4279,2021-06-24 04:00:00
784,GBPCHF_i,1.28311,1.28472,1.28061,1.28534,1.282975,1.2835566666666667,1.2838475,1.283445,11290,2021-06-24 08:00:00
785,GBPCHF_i,1.28472,1.27771,1.27607,1.28487,1.28047,1.27955,1.27909,1.2808424999999999,14907,2021-06-24 12:00:00
786,GBPCHF_i,1.2777,1.27801,1.27628,1.27824,1.27726,1.2775100000000001,1.277635,1.2775575000000001,12917,2021-06-24 16:00:00
787,GBPCHF_i,1.27798,1.27773,1.2776100000000001,1.2794400000000001,1.2785250000000001,1.2782600000000002,1.2781275,1.27819,8102,2021-06-24 20:00:00
788,GBPCHF_i,1.2766,1.27715,1.2763499999999999,1.2778,1.277075,1.2771,1.2771124999999999,1.276975,2492,2021-06-25 00:00:00
789,GBPCHF_i,1.27716,1.27752,1.27689,1.27831,1.2776,1.2775733333333334,1.27756,1.27747,3525,2021-06-25 04:00:00
790,GBPCHF_i,1.27752,1.27507,1.2742,1.27793,1.276065,1.2757333333333334,1.2755675,1.27618,8837,2021-06-25 08:00:00
791,GBPCHF_i,1.27503,1.27373,1.27264,1.2759,1.27427,1.27409,1.274,1.2743250000000002,10827,2021-06-25 12:00:00
792,GBPCHF_i,1.27373,1.27489,1.2723,1.27582,1.27406,1.2743366666666667,1.274475,1.2741850000000001,12636,2021-06-25 16:00:00
793,GBPCHF_i,1.27489,1.27236,1.27218,1.27519,1.273685,1.2732433333333333,1.2730225,1.273655,4158,2021-06-25 20:00:00
794,GBPCHF_i,1.2739500000000001,1.27402,1.27179,1.27463,1.27321,1.27348,1.273615,1.2735975,2749,2021-06-28 00:00:00
