,SPX500_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
114,SPX500_i,3823.9,3818.8,3814.3,3825.8,3820.05,3819.6333333333337,3819.425,3820.7000000000003,2609,2021-01-14 04:00:00
115,SPX500_i,3818.8,3820.3,3814.8,3823.0,3818.9,3819.366666666667,3819.6000000000004,3819.2250000000004,2486,2021-01-14 08:00:00
116,SPX500_i,3820.3,3817.9,3812.4,3820.6,3816.5,3816.9666666666667,3817.2,3817.8,2400,2021-01-14 12:00:00
117,SPX500_i,3817.8,3819.5,3811.5,3824.1,3817.8,3818.366666666667,3818.65,3818.2250000000004,4249,2021-01-14 16:00:00
118,SPX500_i,3819.5,3798.5,3794.5,3820.3,3807.4,3804.433333333333,3802.95,3808.2,3713,2021-01-14 20:00:00
119,SPX500_i,3804.5,3790.6,3785.6,3805.8,3795.7,3794.0,3793.15,3796.625,2716,2021-01-15 00:00:00
120,SPX500_i,3790.8,3774.5,3773.6,3796.8,3785.2,3781.633333333333,3779.85,3783.925,3390,2021-01-15 04:00:00
121,SPX500_i,3774.6,3787.6,3773.5,3791.4,3782.45,3784.1666666666665,3785.025,3781.775,3784,2021-01-15 08:00:00
122,SPX500_i,3787.6,3780.8,3778.8,3792.6,3785.7,3784.066666666667,3783.25,3784.9500000000003,3980,2021-01-15 12:00:00
123,SPX500_i,3780.8,3779.4,3749.6,3788.5,3769.05,3772.5,3774.225,3774.575,8031,2021-01-15 16:00:00
124,SPX500_i,3779.0,3769.8,3767.3,3785.9,3776.6000000000004,3774.3333333333335,3773.2,3775.5,4503,2021-01-15 20:00:00
125,SPX500_i,3767.6,3761.5,3751.2,3768.1,3759.6499999999996,3760.2666666666664,3760.575,3762.1,2998,2021-01-18 00:00:00
126,SPX500_i,3761.5,3765.5,3758.6,3766.4,3762.5,3763.5,3764.0,3763.0,2721,2021-01-18 04:00:00
127,SPX500_i,3765.5,3762.5,3758.4,3765.7,3762.05,3762.2000000000003,3762.275,3763.025,2820,2021-01-18 08:00:00
128,SPX500_i,3762.5,3772.1,3761.6,3775.1,3768.35,3769.6,3770.225,3767.825,1839,2021-01-18 12:00:00
129,SPX500_i,3772.2,3776.6,3768.4,3777.2,3772.8,3774.066666666667,3774.7000000000003,3773.6000000000004,1498,2021-01-18 16:00:00
130,SPX500_i,3780.6,3790.6,3779.6,3792.4,3786.0,3787.5333333333333,3788.3,3785.8,1420,2021-01-19 00:00:00
131,SPX500_i,3790.5,3791.8,3789.3,3804.3,3796.8,3795.1333333333337,3794.3,3793.9750000000004,2391,2021-01-19 04:00:00
