,EURNZD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
659,EURNZD_i,1.6773,1.67371,1.67135,1.67808,1.674715,1.67438,1.6742124999999999,1.6751099999999999,16918,2021-05-26 12:00:00
660,EURNZD_i,1.6737,1.67341,1.67294,1.67789,1.675415,1.6747466666666668,1.6744125000000003,1.6744850000000002,22382,2021-05-26 16:00:00
661,EURNZD_i,1.67341,1.6738499999999998,1.67117,1.67435,1.67276,1.6731233333333335,1.673305,1.6731950000000002,10528,2021-05-26 20:00:00
662,EURNZD_i,1.6726299999999998,1.67527,1.67205,1.6766100000000002,1.67433,1.6746433333333333,1.6748,1.67414,6617,2021-05-27 00:00:00
663,EURNZD_i,1.67526,1.6728100000000001,1.67093,1.6754799999999999,1.6732049999999998,1.6730733333333332,1.6730075,1.6736199999999999,8526,2021-05-27 04:00:00
664,EURNZD_i,1.6728100000000001,1.67108,1.6707100000000001,1.67296,1.6718350000000002,1.6715833333333334,1.6714575,1.67189,15567,2021-05-27 08:00:00
665,EURNZD_i,1.6711200000000002,1.6705299999999998,1.66937,1.67255,1.67096,1.6708166666666664,1.6707449999999997,1.6708925,18514,2021-05-27 12:00:00
666,EURNZD_i,1.67054,1.67314,1.6682700000000001,1.67415,1.67121,1.6718533333333336,1.6721750000000002,1.6715250000000001,20769,2021-05-27 16:00:00
667,EURNZD_i,1.67314,1.67127,1.66954,1.67344,1.67149,1.6714166666666666,1.6713799999999999,1.6718475,9536,2021-05-27 20:00:00
668,EURNZD_i,1.67161,1.67351,1.66975,1.6747,1.672225,1.6726533333333335,1.6728675000000002,1.6723925000000002,5962,2021-05-28 00:00:00
669,EURNZD_i,1.67351,1.67651,1.67325,1.67651,1.67488,1.6754233333333335,1.6756950000000002,1.6749450000000001,9900,2021-05-28 04:00:00
670,EURNZD_i,1.6764999999999999,1.68001,1.67492,1.6821899999999999,1.6785549999999998,1.6790399999999999,1.6792825,1.678405,18032,2021-05-28 08:00:00
671,EURNZD_i,1.68001,1.68127,1.6785299999999999,1.68392,1.681225,1.68124,1.6812475,1.6809325000000002,23339,2021-05-28 12:00:00
672,EURNZD_i,1.68119,1.68044,1.6768999999999998,1.6827999999999999,1.6798499999999998,1.6800466666666665,1.6801449999999998,1.6803324999999998,22384,2021-05-28 16:00:00
673,EURNZD_i,1.6804299999999999,1.6812399999999998,1.67944,1.68353,1.681485,1.6814033333333331,1.6813624999999999,1.6811599999999998,7840,2021-05-28 20:00:00
674,EURNZD_i,1.6789800000000001,1.68371,1.67829,1.68471,1.6815,1.6822366666666666,1.6826050000000001,1.6814225,5107,2021-05-31 00:00:00
675,EURNZD_i,1.68369,1.6800899999999999,1.67985,1.6838600000000001,1.681855,1.6812666666666667,1.6809725,1.6818724999999999,8437,2021-05-31 04:00:00
676,EURNZD_i,1.68011,1.67994,1.67885,1.68161,1.68023,1.6801333333333333,1.680085,1.6801275,9900,2021-05-31 08:00:00
677,EURNZD_i,1.67994,1.67856,1.67791,1.68004,1.6789749999999999,1.6788366666666665,1.6787675,1.6791125,8749,2021-05-31 12:00:00
678,EURNZD_i,1.67856,1.6791800000000001,1.6776499999999999,1.6808800000000002,1.679265,1.679236666666667,1.6792225000000003,1.6790675000000002,10536,2021-05-31 16:00:00
679,EURNZD_i,1.67919,1.67944,1.67828,1.6809500000000002,1.679615,1.6795566666666666,1.6795274999999998,1.679465,4892,2021-05-31 20:00:00
680,EURNZD_i,1.68023,1.6802000000000001,1.67804,1.6817,1.67987,1.6799799999999998,1.680035,1.6800424999999999,5051,2021-06-01 00:00:00
681,EURNZD_i,1.68021,1.6792,1.67808,1.68052,1.6793,1.6792666666666667,1.67925,1.6795025,7663,2021-06-01 04:00:00
682,EURNZD_i,1.6792799999999999,1.68301,1.67869,1.68308,1.680885,1.681593333333333,1.6819474999999997,1.681015,16148,2021-06-01 08:00:00
683,EURNZD_i,1.68303,1.68444,1.68179,1.68503,1.6834099999999999,1.683753333333333,1.683925,1.6835725,15019,2021-06-01 12:00:00
684,EURNZD_i,1.68444,1.6856900000000001,1.68403,1.68973,1.68688,1.6864833333333333,1.686285,1.6859725,22385,2021-06-01 16:00:00
685,EURNZD_i,1.68568,1.6831399999999999,1.6831399999999999,1.68611,1.684625,1.68413,1.6838825,1.6845175000000001,9098,2021-06-01 20:00:00
686,EURNZD_i,1.68274,1.68364,1.6804000000000001,1.68505,1.682725,1.6830299999999998,1.6831825,1.6829574999999999,6306,2021-06-02 00:00:00
687,EURNZD_i,1.68363,1.68543,1.6808,1.68552,1.68316,1.6839166666666667,1.684295,1.683845,10223,2021-06-02 04:00:00
