,NIKK225_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
672,NIKK225_i,28585.0,28475.0,28375.0,28610.0,28492.5,28486.666666666668,28483.75,28511.25,3151,2021-05-25 16:00:00
673,NIKK225_i,28475.0,28400.0,28350.0,28475.0,28412.5,28408.333333333332,28406.25,28425.0,2099,2021-05-25 20:00:00
674,NIKK225_i,28435.0,28640.0,28380.0,28710.0,28545.0,28576.666666666668,28592.5,28541.25,2371,2021-05-26 00:00:00
675,NIKK225_i,28639.0,28655.0,28556.0,28666.0,28611.0,28625.666666666668,28633.0,28629.0,2048,2021-05-26 04:00:00
676,NIKK225_i,28651.0,28590.0,28560.0,28680.0,28620.0,28610.0,28605.0,28620.25,1909,2021-05-26 08:00:00
677,NIKK225_i,28590.0,28592.0,28565.0,28635.0,28600.0,28597.333333333332,28596.0,28595.5,1273,2021-05-26 12:00:00
678,NIKK225_i,28592.0,28615.0,28534.0,28635.0,28584.5,28594.666666666668,28599.75,28594.0,1957,2021-05-26 16:00:00
679,NIKK225_i,28615.0,28610.0,28590.0,28640.0,28615.0,28613.333333333332,28612.5,28613.75,1108,2021-05-26 20:00:00
680,NIKK225_i,28609.0,28450.0,28389.0,28609.0,28499.0,28482.666666666668,28474.5,28514.25,2323,2021-05-27 00:00:00
681,NIKK225_i,28450.0,28505.0,28350.0,28544.0,28447.0,28466.333333333332,28476.0,28462.25,2506,2021-05-27 04:00:00
682,NIKK225_i,28511.0,28535.0,28458.0,28565.0,28511.5,28519.333333333332,28523.25,28517.25,2299,2021-05-27 08:00:00
683,NIKK225_i,28535.0,28734.0,28515.0,28735.0,28625.0,28661.333333333332,28679.5,28629.75,1780,2021-05-27 12:00:00
684,NIKK225_i,28735.0,28800.0,28730.0,28825.0,28777.5,28785.0,28788.75,28772.5,2931,2021-05-27 16:00:00
685,NIKK225_i,28800.0,28816.0,28765.0,28862.0,28813.5,28814.333333333332,28814.75,28810.75,1640,2021-05-27 20:00:00
686,NIKK225_i,28885.0,29020.0,28885.0,29070.0,28977.5,28991.666666666668,28998.75,28965.0,3031,2021-05-28 00:00:00
687,NIKK225_i,29020.0,29159.0,29010.0,29190.0,29100.0,29119.666666666668,29129.5,29094.75,2462,2021-05-28 04:00:00
688,NIKK225_i,29160.0,29067.0,29055.0,29179.0,29117.0,29100.333333333332,29092.0,29115.25,2357,2021-05-28 08:00:00
689,NIKK225_i,29070.0,29085.0,29025.0,29100.0,29062.5,29070.0,29073.75,29070.0,1527,2021-05-28 12:00:00
690,NIKK225_i,29085.0,29085.0,29075.0,29130.0,29102.5,29096.666666666668,29093.75,29093.75,1882,2021-05-28 16:00:00
691,NIKK225_i,29085.0,29012.0,29009.0,29090.0,29049.5,29037.0,29030.75,29049.0,1162,2021-05-28 20:00:00
692,NIKK225_i,29050.0,29040.0,28965.0,29150.0,29057.5,29051.666666666668,29048.75,29051.25,2884,2021-05-31 00:00:00
693,NIKK225_i,29040.0,28789.0,28787.0,29055.0,28921.0,28877.0,28855.0,28917.75,2819,2021-05-31 04:00:00
694,NIKK225_i,28790.0,29005.0,28790.0,29030.0,28910.0,28941.666666666668,28957.5,28903.75,2229,2021-05-31 08:00:00
695,NIKK225_i,29005.0,28967.0,28945.0,29020.0,28982.5,28977.333333333332,28974.75,28984.25,1162,2021-05-31 12:00:00
696,NIKK225_i,28960.0,28910.0,28865.0,28960.0,28912.5,28911.666666666668,28911.25,28923.75,1570,2021-05-31 16:00:00
697,NIKK225_i,28958.0,28870.0,28830.0,29084.0,28957.0,28928.0,28913.5,28935.5,2838,2021-06-01 00:00:00
698,NIKK225_i,28870.0,28840.0,28595.0,28910.0,28752.5,28781.666666666668,28796.25,28803.75,4019,2021-06-01 04:00:00
699,NIKK225_i,28837.0,28910.0,28730.0,28915.0,28822.5,28851.666666666668,28866.25,28848.0,2628,2021-06-01 08:00:00
700,NIKK225_i,28909.0,28947.0,28868.0,28965.0,28916.5,28926.666666666668,28931.75,28922.25,1682,2021-06-01 12:00:00
701,NIKK225_i,28947.0,28795.0,28745.0,28955.0,28850.0,28831.666666666668,28822.5,28860.5,3304,2021-06-01 16:00:00
702,NIKK225_i,28795.0,28750.0,28720.0,28825.0,28772.5,28765.0,28761.25,28772.5,1732,2021-06-01 20:00:00
703,NIKK225_i,28730.0,28835.0,28555.0,28849.0,28702.0,28746.333333333332,28768.5,28742.25,3111,2021-06-02 00:00:00
704,NIKK225_i,28835.0,28924.0,28810.0,29012.0,28911.0,28915.333333333332,28917.5,28895.25,3069,2021-06-02 04:00:00
705,NIKK225_i,28925.0,28850.0,28825.0,28969.0,28897.0,28881.333333333332,28873.5,28892.25,2578,2021-06-02 08:00:00
706,NIKK225_i,28850.0,28920.0,28850.0,28920.0,28885.0,28896.666666666668,28902.5,28885.0,1576,2021-06-02 12:00:00
707,NIKK225_i,28920.0,28895.0,28880.0,28955.0,28917.5,28910.0,28906.25,28912.5,2192,2021-06-02 16:00:00
708,NIKK225_i,28895.0,28875.0,28835.0,28900.0,28867.5,28870.0,28871.25,28876.25,1336,2021-06-02 20:00:00
709,NIKK225_i,28858.0,29127.0,28834.0,29151.0,28992.5,29037.333333333332,29059.75,28992.5,2390,2021-06-03 00:00:00
710,NIKK225_i,29127.0,29061.0,28965.0,29131.0,29048.0,29052.333333333332,29054.5,29071.0,2978,2021-06-03 04:00:00
711,NIKK225_i,29061.0,29036.0,28961.0,29091.0,29026.0,29029.333333333332,29031.0,29037.25,2165,2021-06-03 08:00:00
712,NIKK225_i,29036.0,28906.0,28831.0,29036.0,28933.5,28924.333333333332,28919.75,28952.25,2738,2021-06-03 12:00:00
713,NIKK225_i,28906.0,29001.0,28874.0,29036.0,28955.0,28970.333333333332,28978.0,28954.25,3443,2021-06-03 16:00:00
714,NIKK225_i,29001.0,28986.0,28955.0,29016.0,28985.5,28985.666666666668,28985.75,28989.5,1641,2021-06-03 20:00:00
715,NIKK225_i,28980.0,28839.0,28755.0,28991.0,28873.0,28861.666666666668,28856.0,28891.25,2790,2021-06-04 00:00:00
716,NIKK225_i,28836.0,28941.0,28792.0,28986.0,28889.0,28906.333333333332,28915.0,28888.75,2946,2021-06-04 04:00:00
717,NIKK225_i,28941.0,28940.0,28890.0,28981.0,28935.5,28937.0,28937.75,28938.0,2307,2021-06-04 08:00:00
718,NIKK225_i,28940.0,29005.0,28920.0,29075.0,28997.5,29000.0,29001.25,28985.0,2098,2021-06-04 12:00:00
719,NIKK225_i,29005.0,29100.0,28970.0,29105.0,29037.5,29058.333333333332,29068.75,29045.0,2077,2021-06-04 16:00:00
720,NIKK225_i,29100.0,29110.0,29095.0,29152.0,29123.5,29119.0,29116.75,29114.25,790,2021-06-04 20:00:00
721,NIKK225_i,29195.0,29062.0,29030.0,29266.0,29148.0,29119.333333333332,29105.0,29138.25,2896,2021-06-07 00:00:00
722,NIKK225_i,29060.0,29040.0,28950.0,29097.0,29023.5,29029.0,29031.75,29036.75,3051,2021-06-07 04:00:00
723,NIKK225_i,29040.0,29045.0,28945.0,29046.0,28995.5,29012.0,29020.25,29019.0,2037,2021-06-07 08:00:00
724,NIKK225_i,29045.0,29065.0,29005.0,29070.0,29037.5,29046.666666666668,29051.25,29046.25,1269,2021-06-07 12:00:00
725,NIKK225_i,29065.0,29095.0,28939.0,29108.0,29023.5,29047.333333333332,29059.25,29051.75,2607,2021-06-07 16:00:00
726,NIKK225_i,29095.0,29135.0,29090.0,29155.0,29122.5,29126.666666666668,29128.75,29118.75,1246,2021-06-07 20:00:00
727,NIKK225_i,29125.0,29175.0,29005.0,29195.0,29100.0,29125.0,29137.5,29125.0,2064,2021-06-08 00:00:00
728,NIKK225_i,29175.0,29044.0,28949.0,29200.0,29074.5,29064.333333333332,29059.25,29092.0,2709,2021-06-08 04:00:00
729,NIKK225_i,29043.0,29080.0,29000.0,29080.0,29040.0,29053.333333333332,29060.0,29050.75,1840,2021-06-08 08:00:00
730,NIKK225_i,29080.0,29070.0,28988.0,29120.0,29054.0,29059.333333333332,29062.0,29064.5,1957,2021-06-08 12:00:00
731,NIKK225_i,29070.0,29033.0,28945.0,29080.0,29012.5,29019.333333333332,29022.75,29032.0,2488,2021-06-08 16:00:00
732,NIKK225_i,29030.0,28980.0,28980.0,29049.0,29014.5,29003.0,28997.25,29009.75,1218,2021-06-08 20:00:00
