,NZDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1648,NZDJPY_i,78.358,78.232,78.143,78.384,78.2635,78.253,78.24775,78.27924999999999,7045,2022-01-12 08:00:00
1649,NZDJPY_i,78.232,78.445,78.15,78.45,78.30000000000001,78.34833333333334,78.3725,78.31925000000001,9788,2022-01-12 12:00:00
1650,NZDJPY_i,78.445,78.433,78.4,78.688,78.54400000000001,78.507,78.4885,78.4915,14924,2022-01-12 16:00:00
1651,NZDJPY_i,78.433,78.507,78.335,78.521,78.428,78.45433333333334,78.4675,78.449,7862,2022-01-12 20:00:00
1652,NZDJPY_i,78.507,78.41,78.293,78.617,78.45500000000001,78.44000000000001,78.4325,78.45675,7110,2022-01-13 00:00:00
1653,NZDJPY_i,78.411,78.512,78.402,78.616,78.509,78.51,78.51050000000001,78.48525000000001,4756,2022-01-13 04:00:00
1654,NZDJPY_i,78.511,78.793,78.504,78.81,78.65700000000001,78.70233333333334,78.72500000000001,78.65450000000001,7609,2022-01-13 08:00:00
1655,NZDJPY_i,78.795,78.662,78.496,78.827,78.66149999999999,78.66166666666666,78.66175,78.695,8697,2022-01-13 12:00:00
1656,NZDJPY_i,78.661,78.414,78.299,78.74,78.5195,78.48433333333332,78.46674999999999,78.5285,12993,2022-01-13 16:00:00
1657,NZDJPY_i,78.414,78.285,78.235,78.491,78.363,78.337,78.324,78.35625,6173,2022-01-13 20:00:00
1658,NZDJPY_i,78.263,78.014,77.99,78.401,78.1955,78.13499999999999,78.10475,78.167,7583,2022-01-14 00:00:00
1659,NZDJPY_i,78.014,78.082,77.849,78.104,77.9765,78.01166666666667,78.02924999999999,78.01225,6935,2022-01-14 04:00:00
1660,NZDJPY_i,78.082,78.044,77.996,78.202,78.09899999999999,78.08066666666666,78.07149999999999,78.08099999999999,8735,2022-01-14 08:00:00
1661,NZDJPY_i,78.044,77.553,77.461,78.11,77.7855,77.708,77.66925,77.792,10316,2022-01-14 12:00:00
1662,NZDJPY_i,77.553,77.527,77.46,77.783,77.6215,77.58999999999999,77.57424999999999,77.58075,17584,2022-01-14 16:00:00
1663,NZDJPY_i,77.526,77.774,77.476,77.781,77.6285,77.677,77.70125,77.63925,5697,2022-01-14 20:00:00
1664,NZDJPY_i,77.686,77.705,77.611,77.841,77.726,77.719,77.71549999999999,77.71074999999999,7476,2022-01-17 00:00:00
1665,NZDJPY_i,77.71,77.823,77.672,77.88,77.776,77.79166666666667,77.7995,77.77125,4907,2022-01-17 04:00:00
1666,NZDJPY_i,77.823,77.95,77.779,77.991,77.88499999999999,77.90666666666665,77.91749999999999,77.88574999999999,7989,2022-01-17 08:00:00
1667,NZDJPY_i,77.949,77.897,77.837,78.01,77.9235,77.91466666666668,77.91025,77.92325000000001,5134,2022-01-17 12:00:00
1668,NZDJPY_i,77.897,77.922,77.838,77.957,77.8975,77.90566666666666,77.90975,77.9035,6127,2022-01-17 16:00:00
1669,NZDJPY_i,77.919,77.847,77.831,77.97,77.9005,77.88266666666665,77.87374999999999,77.89174999999999,2036,2022-01-17 20:00:00
1670,NZDJPY_i,77.83,77.902,77.743,77.952,77.8475,77.86566666666666,77.87474999999999,77.85674999999999,5508,2022-01-18 00:00:00
1671,NZDJPY_i,77.902,77.769,77.734,78.121,77.9275,77.87466666666667,77.84825000000001,77.8815,10461,2022-01-18 04:00:00
1672,NZDJPY_i,77.769,77.64,77.491,77.924,77.70750000000001,77.685,77.67375,77.706,12754,2022-01-18 08:00:00
1673,NZDJPY_i,77.64,77.706,77.566,77.76,77.66300000000001,77.67733333333335,77.68450000000001,77.668,10510,2022-01-18 12:00:00
1674,NZDJPY_i,77.707,77.42,77.397,77.736,77.5665,77.51766666666667,77.49325,77.565,14918,2022-01-18 16:00:00
1675,NZDJPY_i,77.419,77.529,77.367,77.632,77.49950000000001,77.50933333333334,77.51425,77.48675,7784,2022-01-18 20:00:00
1676,NZDJPY_i,77.538,77.625,77.489,77.781,77.635,77.63166666666667,77.63,77.60825,7496,2022-01-19 00:00:00
1677,NZDJPY_i,77.627,77.547,77.5,77.8,77.65,77.61566666666667,77.5985,77.6185,8487,2022-01-19 04:00:00
1678,NZDJPY_i,77.55,77.781,77.518,77.784,77.65100000000001,77.69433333333335,77.71600000000001,77.65825000000001,10857,2022-01-19 08:00:00
1679,NZDJPY_i,77.78,77.852,77.676,77.872,77.774,77.8,77.813,77.795,8992,2022-01-19 12:00:00
1680,NZDJPY_i,77.851,77.665,77.549,77.9,77.7245,77.70466666666668,77.69475000000001,77.74125000000001,14704,2022-01-19 16:00:00
1681,NZDJPY_i,77.652,77.516,77.492,77.703,77.5975,77.57033333333334,77.55675000000001,77.59075,7549,2022-01-19 20:00:00
1682,NZDJPY_i,77.477,77.357,77.313,77.617,77.465,77.429,77.411,77.441,8172,2022-01-20 00:00:00
1683,NZDJPY_i,77.358,77.373,77.29,77.456,77.373,77.373,77.373,77.36925000000001,8340,2022-01-20 04:00:00
1684,NZDJPY_i,77.373,77.416,77.294,77.524,77.40899999999999,77.41133333333333,77.4125,77.40174999999999,10055,2022-01-20 08:00:00
1685,NZDJPY_i,77.416,77.486,77.37,77.512,77.441,77.456,77.4635,77.446,9810,2022-01-20 12:00:00
