,STOXX50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1905,STOXX50_i,3745.8,3752.3,3734.1,3754.2,3744.1499999999996,3746.8666666666663,3748.2249999999995,3746.5999999999995,3434,2022-03-10 04:00:00
1906,STOXX50_i,3753.2,3683.7,3671.1,3761.1,3716.1,3705.2999999999997,3699.8999999999996,3717.2749999999996,12617,2022-03-10 08:00:00
1907,STOXX50_i,3684.3,3655.8,3623.3,3691.9,3657.6000000000004,3657.0,3656.7,3663.825,11582,2022-03-10 12:00:00
1908,STOXX50_i,3655.9,3649.9,3637.0,3704.5,3670.75,3663.7999999999997,3660.325,3661.825,12649,2022-03-10 16:00:00
1909,STOXX50_i,3649.3,3665.8,3642.9,3688.5,3665.7,3665.7333333333336,3665.75,3661.625,8350,2022-03-10 20:00:00
1910,STOXX50_i,3668.8,3631.3,3626.7,3675.4,3651.05,3644.466666666667,3641.175,3650.55,2257,2022-03-11 00:00:00
1911,STOXX50_i,3631.5,3634.8,3602.5,3642.8,3622.65,3626.7000000000003,3628.7250000000004,3627.9,4028,2022-03-11 04:00:00
1912,STOXX50_i,3634.7,3676.0,3626.5,3684.3,3655.4,3662.2666666666664,3665.7,3655.375,10362,2022-03-11 08:00:00
1913,STOXX50_i,3676.2,3755.9,3659.3,3826.7,3743.0,3747.2999999999997,3749.45,3729.5249999999996,13860,2022-03-11 12:00:00
1914,STOXX50_i,3755.9,3692.2,3670.9,3760.4,3715.65,3707.8333333333335,3703.925,3719.85,13297,2022-03-11 16:00:00
1915,STOXX50_i,3692.3,3655.4,3650.4,3704.8,3677.6000000000004,3670.2000000000003,3666.5,3675.7250000000004,7622,2022-03-11 20:00:00
1916,STOXX50_i,3675.8,3733.5,3672.1,3746.6,3709.35,3717.4,3721.425,3707.0,3385,2022-03-14 00:00:00
1917,STOXX50_i,3732.9,3719.8,3695.9,3733.0,3714.45,3716.2333333333336,3717.125,3720.4,4111,2022-03-14 04:00:00
1918,STOXX50_i,3719.6,3779.5,3699.6,3789.0,3744.3,3756.0333333333333,3761.9,3746.925,11058,2022-03-14 08:00:00
1919,STOXX50_i,3779.6,3746.5,3718.4,3782.4,3750.4,3749.1,3748.45,3756.725,10306,2022-03-14 12:00:00
1920,STOXX50_i,3746.0,3712.2,3705.9,3771.9,3738.9,3730.0,3725.55,3734.0,10672,2022-03-14 16:00:00
1921,STOXX50_i,3712.2,3723.8,3704.7,3730.2,3717.45,3719.566666666667,3720.625,3717.7250000000004,4911,2022-03-14 20:00:00
1922,STOXX50_i,3725.5,3711.5,3705.8,3746.5,3726.15,3721.2666666666664,3718.825,3722.325,2820,2022-03-15 00:00:00
1923,STOXX50_i,3711.2,3712.4,3708.5,3740.4,3724.45,3720.433333333333,3718.4249999999997,3718.125,4506,2022-03-15 04:00:00
1924,STOXX50_i,3711.2,3661.5,3640.0,3717.4,3678.7,3672.9666666666667,3670.1,3682.5249999999996,10755,2022-03-15 08:00:00
1925,STOXX50_i,3661.5,3721.7,3655.2,3735.8,3695.5,3704.2333333333336,3708.6000000000004,3693.55,9557,2022-03-15 12:00:00
1926,STOXX50_i,3721.8,3735.1,3701.2,3754.4,3727.8,3730.2333333333336,3731.4500000000003,3728.125,11587,2022-03-15 16:00:00
1927,STOXX50_i,3734.9,3756.9,3713.9,3764.6,3739.25,3745.133333333333,3748.075,3742.575,4727,2022-03-15 20:00:00
1928,STOXX50_i,3746.9,3756.2,3737.7,3761.4,3749.55,3751.7666666666664,3752.875,3750.5499999999997,2344,2022-03-16 00:00:00
1929,STOXX50_i,3756.7,3786.1,3739.9,3791.1,3765.5,3772.366666666667,3775.8,3768.45,4523,2022-03-16 04:00:00
1930,STOXX50_i,3784.2,3829.1,3783.9,3850.2,3817.05,3821.066666666667,3823.0750000000003,3811.8500000000004,10058,2022-03-16 08:00:00
1931,STOXX50_i,3829.0,3857.6,3827.7,3886.1,3856.8999999999996,3857.133333333333,3857.25,3850.1,9242,2022-03-16 12:00:00
1932,STOXX50_i,3858.4,3874.3,3849.6,3930.4,3890.0,3884.7666666666664,3882.1499999999996,3878.1749999999997,12283,2022-03-16 16:00:00
1933,STOXX50_i,3870.8,3911.3,3837.2,3911.3,3874.25,3886.6,3892.7749999999996,3882.6499999999996,7670,2022-03-16 20:00:00
1934,STOXX50_i,3892.3,3895.7,3887.5,3913.0,3900.25,3898.7333333333336,3897.9750000000004,3897.125,2999,2022-03-17 00:00:00
