,USDRUR_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
664,USDRUR_i,73.65,73.531,73.503,73.722,73.6125,73.58533333333334,73.57175000000001,73.6015,6701,2021-05-19 16:00:00
665,USDRUR_i,73.533,73.675,73.45,73.807,73.6285,73.644,73.65175,73.61625000000001,8335,2021-05-19 20:00:00
666,USDRUR_i,73.677,73.709,73.607,73.905,73.756,73.74033333333334,73.7325,73.7245,373,2021-05-20 00:00:00
667,USDRUR_i,73.699,73.635,73.593,73.867,73.73,73.69833333333334,73.6825,73.69850000000001,2600,2021-05-20 04:00:00
668,USDRUR_i,73.633,73.614,73.41,73.732,73.571,73.58533333333334,73.5925,73.59725,5484,2021-05-20 08:00:00
669,USDRUR_i,73.613,73.51,73.43,73.729,73.5795,73.55633333333333,73.54475,73.5705,4768,2021-05-20 12:00:00
670,USDRUR_i,73.505,73.458,73.349,73.561,73.45500000000001,73.456,73.4565,73.46825000000001,7668,2021-05-20 16:00:00
671,USDRUR_i,73.461,73.538,73.371,73.587,73.479,73.49866666666667,73.5085,73.48925,7528,2021-05-20 20:00:00
672,USDRUR_i,73.47,73.4,73.359,73.509,73.434,73.42266666666667,73.417,73.4345,1445,2021-05-21 00:00:00
673,USDRUR_i,73.401,73.417,73.353,73.512,73.4325,73.42733333333334,73.42475,73.42075,3610,2021-05-21 04:00:00
674,USDRUR_i,73.42,73.431,73.365,73.591,73.478,73.46233333333333,73.4545,73.45175,5515,2021-05-21 08:00:00
675,USDRUR_i,73.425,73.34,73.26,73.497,73.3785,73.36566666666667,73.35925,73.3805,5003,2021-05-21 12:00:00
676,USDRUR_i,73.335,73.508,73.275,73.582,73.4285,73.455,73.46825,73.425,7078,2021-05-21 16:00:00
677,USDRUR_i,73.509,73.521,73.465,73.58,73.52250000000001,73.522,73.52175000000001,73.51875000000001,6823,2021-05-21 20:00:00
678,USDRUR_i,73.52,73.56,73.51,73.598,73.554,73.556,73.557,73.547,638,2021-05-24 00:00:00
679,USDRUR_i,73.57,73.493,73.477,73.579,73.52799999999999,73.51633333333332,73.5105,73.52974999999999,2490,2021-05-24 04:00:00
680,USDRUR_i,73.497,73.38,73.37,73.546,73.458,73.432,73.419,73.44825,5220,2021-05-24 08:00:00
681,USDRUR_i,73.381,73.701,73.375,73.785,73.58,73.62033333333333,73.6405,73.56049999999999,5515,2021-05-24 12:00:00
682,USDRUR_i,73.705,73.368,73.318,73.779,73.54849999999999,73.48833333333333,73.45824999999999,73.54249999999999,7508,2021-05-24 16:00:00
683,USDRUR_i,73.366,73.377,73.339,73.446,73.3925,73.38733333333333,73.38475,73.38199999999999,5139,2021-05-24 20:00:00
684,USDRUR_i,73.484,73.372,73.285,73.495,73.39,73.384,73.381,73.40899999999999,743,2021-05-25 00:00:00
685,USDRUR_i,73.371,73.33,73.306,73.437,73.3715,73.35766666666666,73.35074999999999,73.36099999999999,2034,2021-05-25 04:00:00
