,ASX200_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1187,ASX200_i,7443.7,7425.9,7416.9,7446.9,7431.9,7429.899999999999,7428.9,7433.349999999999,2439,2021-09-16 16:00:00
1188,ASX200_i,7425.9,7456.9,7419.9,7457.9,7438.9,7444.899999999999,7447.9,7440.15,1179,2021-09-16 20:00:00
1189,ASX200_i,7440.3,7390.5,7380.5,7449.3,7414.9,7406.766666666666,7402.7,7415.15,1970,2021-09-17 00:00:00
1190,ASX200_i,7390.5,7370.5,7370.5,7417.5,7394.0,7386.166666666667,7382.25,7387.25,2946,2021-09-17 04:00:00
1191,ASX200_i,7370.5,7393.6,7369.1,7401.6,7385.35,7388.100000000001,7389.475,7383.700000000001,3164,2021-09-17 08:00:00
1192,ASX200_i,7393.6,7371.6,7354.5,7393.6,7374.05,7373.233333333334,7372.825000000001,7378.325000000001,2260,2021-09-17 12:00:00
1193,ASX200_i,7371.6,7339.8,7310.7,7375.6,7343.15,7342.033333333333,7341.474999999999,7349.424999999999,4058,2021-09-17 16:00:00
1194,ASX200_i,7339.8,7335.8,7323.7,7344.8,7334.25,7334.766666666666,7335.025,7336.025,1204,2021-09-17 20:00:00
1195,ASX200_i,7311.9,7311.7,7291.6,7330.6,7311.1,7311.3,7311.400000000001,7311.450000000001,1944,2021-09-20 00:00:00
1196,ASX200_i,7311.7,7239.7,7218.6,7311.7,7265.15,7256.666666666667,7252.425,7270.425,3332,2021-09-20 04:00:00
1197,ASX200_i,7240.7,7199.7,7197.6,7258.7,7228.15,7218.666666666667,7213.925,7224.175,5938,2021-09-20 08:00:00
1198,ASX200_i,7199.7,7128.7,7118.7,7199.7,7159.2,7149.033333333333,7143.95,7161.7,3514,2021-09-20 12:00:00
1199,ASX200_i,7128.6,7106.9,7105.9,7163.9,7134.9,7125.566666666666,7120.9,7126.324999999999,7796,2021-09-20 16:00:00
1200,ASX200_i,7107.9,7146.9,7089.9,7148.9,7119.4,7128.566666666666,7133.15,7123.4,3597,2021-09-20 20:00:00
1201,ASX200_i,7142.5,7210.3,7126.5,7226.3,7176.4,7187.7,7193.349999999999,7176.4,2491,2021-09-21 00:00:00
1202,ASX200_i,7211.3,7257.3,7196.3,7263.3,7229.8,7238.966666666667,7243.55,7232.05,2663,2021-09-21 04:00:00
1203,ASX200_i,7256.3,7278.3,7244.6,7290.3,7267.450000000001,7271.066666666667,7272.875,7267.375,3286,2021-09-21 08:00:00
1204,ASX200_i,7278.3,7282.3,7274.3,7292.3,7283.3,7282.966666666667,7282.8,7281.8,1873,2021-09-21 12:00:00
1205,ASX200_i,7282.3,7286.4,7256.4,7305.4,7280.9,7282.733333333333,7283.65,7282.624999999999,4657,2021-09-21 16:00:00
