,GBPSGD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
649,GBPSGD_i,1.8786800000000001,1.87802,1.8774899999999999,1.87975,1.87862,1.87842,1.87832,1.878485,3375,2021-05-24 20:00:00
650,GBPSGD_i,1.87696,1.87917,1.8759700000000001,1.88011,1.87804,1.8784166666666666,1.878605,1.8780525,3299,2021-05-25 00:00:00
651,GBPSGD_i,1.87917,1.8797199999999998,1.87813,1.88107,1.8796,1.87964,1.8796599999999999,1.8795225,6766,2021-05-25 04:00:00
652,GBPSGD_i,1.87973,1.8788200000000002,1.8782999999999999,1.88224,1.8802699999999999,1.8797866666666667,1.879545,1.8797725,11645,2021-05-25 08:00:00
653,GBPSGD_i,1.87885,1.87345,1.8730099999999998,1.88002,1.876515,1.8754933333333332,1.8749825,1.8763325,10623,2021-05-25 12:00:00
654,GBPSGD_i,1.87345,1.87347,1.87111,1.87391,1.8725100000000001,1.8728300000000002,1.8729900000000002,1.8729850000000001,14552,2021-05-25 16:00:00
655,GBPSGD_i,1.87347,1.87332,1.87221,1.8748,1.873505,1.8734433333333333,1.8734125000000001,1.87345,6052,2021-05-25 20:00:00
656,GBPSGD_i,1.87382,1.87332,1.87103,1.87469,1.87286,1.8730133333333334,1.87309,1.873215,2991,2021-05-26 00:00:00
657,GBPSGD_i,1.87332,1.87329,1.8714499999999998,1.8737300000000001,1.87259,1.8728233333333335,1.87294,1.8729475,6476,2021-05-26 04:00:00
658,GBPSGD_i,1.87331,1.87216,1.86966,1.87345,1.871555,1.871756666666667,1.8718575000000002,1.8721450000000002,9359,2021-05-26 08:00:00
659,GBPSGD_i,1.87216,1.87187,1.8711600000000002,1.87426,1.87271,1.8724300000000003,1.87229,1.8723625000000002,10259,2021-05-26 12:00:00
660,GBPSGD_i,1.87185,1.8685100000000001,1.86809,1.87232,1.870205,1.8696399999999997,1.8693575,1.8701925,13415,2021-05-26 16:00:00
661,GBPSGD_i,1.8685,1.8694199999999999,1.86754,1.87097,1.8692549999999999,1.8693099999999998,1.8693374999999999,1.8691075,6083,2021-05-26 20:00:00
662,GBPSGD_i,1.8668200000000001,1.86798,1.86516,1.8705,1.86783,1.8678800000000002,1.8679050000000001,1.8676150000000002,3492,2021-05-27 00:00:00
663,GBPSGD_i,1.86798,1.8672900000000001,1.8662,1.86905,1.867625,1.8675133333333334,1.8674575,1.8676300000000001,6632,2021-05-27 04:00:00
664,GBPSGD_i,1.8672900000000001,1.8672499999999999,1.86471,1.86895,1.86683,1.86697,1.8670399999999998,1.8670499999999999,10918,2021-05-27 08:00:00
665,GBPSGD_i,1.86727,1.87276,1.86638,1.87473,1.870555,1.8712900000000001,1.8716575,1.870285,13364,2021-05-27 12:00:00
666,GBPSGD_i,1.8727399999999998,1.87696,1.87253,1.87767,1.8751,1.87572,1.87603,1.874975,15219,2021-05-27 16:00:00
667,GBPSGD_i,1.87695,1.87802,1.8766699999999998,1.88062,1.878645,1.8784366666666665,1.8783325,1.8780649999999999,7576,2021-05-27 20:00:00
668,GBPSGD_i,1.87812,1.87825,1.87601,1.88157,1.87879,1.8786100000000001,1.87852,1.8784875,3013,2021-05-28 00:00:00
669,GBPSGD_i,1.87825,1.87824,1.87588,1.87865,1.877265,1.8775899999999999,1.8777525,1.877755,5345,2021-05-28 04:00:00
670,GBPSGD_i,1.87825,1.87697,1.87443,1.87849,1.87646,1.8766299999999998,1.876715,1.8770349999999998,13665,2021-05-28 08:00:00
671,GBPSGD_i,1.8770799999999999,1.87327,1.87295,1.8773,1.875125,1.8745066666666668,1.8741975,1.87515,15551,2021-05-28 12:00:00
672,GBPSGD_i,1.87327,1.87561,1.8707500000000001,1.87594,1.873345,1.8741,1.8744775,1.8738925,19131,2021-05-28 16:00:00
673,GBPSGD_i,1.8755600000000001,1.87557,1.8744399999999999,1.87721,1.8758249999999999,1.8757399999999997,1.8756974999999998,1.875695,5491,2021-05-28 20:00:00
674,GBPSGD_i,1.8729200000000001,1.8750900000000001,1.8709099999999999,1.87646,1.873685,1.8741533333333333,1.8743875,1.8738450000000002,3071,2021-05-31 00:00:00
675,GBPSGD_i,1.87511,1.87575,1.87467,1.8765800000000001,1.875625,1.8756666666666668,1.8756875000000002,1.8755275000000002,6488,2021-05-31 04:00:00
676,GBPSGD_i,1.87575,1.87106,1.87076,1.87691,1.8738350000000001,1.87291,1.8724475,1.87362,13136,2021-05-31 08:00:00
677,GBPSGD_i,1.8710200000000001,1.87303,1.8709500000000001,1.87422,1.872585,1.8727333333333334,1.8728075,1.8723049999999999,9298,2021-05-31 12:00:00
678,GBPSGD_i,1.87303,1.87526,1.87079,1.87639,1.87359,1.8741466666666666,1.874425,1.8738675,10562,2021-05-31 16:00:00
679,GBPSGD_i,1.87519,1.8756300000000001,1.87422,1.8767399999999999,1.87548,1.8755300000000001,1.875555,1.875445,4685,2021-05-31 20:00:00
680,GBPSGD_i,1.87572,1.87656,1.87477,1.8784999999999998,1.8766349999999998,1.8766100000000001,1.8765975,1.8763875,3263,2021-06-01 00:00:00
681,GBPSGD_i,1.87661,1.8764699999999999,1.87595,1.8789099999999999,1.87743,1.87711,1.87695,1.876985,8691,2021-06-01 04:00:00
682,GBPSGD_i,1.8764699999999999,1.87411,1.8721299999999998,1.87832,1.875225,1.8748533333333333,1.8746675,1.8752575,14950,2021-06-01 08:00:00
683,GBPSGD_i,1.87411,1.8710499999999999,1.87088,1.87506,1.87297,1.8723299999999998,1.87201,1.8727749999999999,14064,2021-06-01 12:00:00
684,GBPSGD_i,1.8710499999999999,1.87038,1.87005,1.87419,1.87212,1.8715400000000002,1.87125,1.8714175000000002,18388,2021-06-01 16:00:00
685,GBPSGD_i,1.8703699999999999,1.87032,1.86923,1.87135,1.87029,1.8703,1.870305,1.8703175,7307,2021-06-01 20:00:00
686,GBPSGD_i,1.86802,1.87031,1.86527,1.87181,1.8685399999999999,1.86913,1.869425,1.8688525,4187,2021-06-02 00:00:00
687,GBPSGD_i,1.87031,1.86974,1.86941,1.87196,1.870685,1.87037,1.8702125,1.870355,6081,2021-06-02 04:00:00
688,GBPSGD_i,1.86974,1.86985,1.86877,1.8728099999999999,1.87079,1.8704766666666668,1.87032,1.8702925000000001,14387,2021-06-02 08:00:00
689,GBPSGD_i,1.86985,1.8730799999999999,1.86755,1.87386,1.870705,1.8714966666666666,1.8718925,1.8710849999999999,15031,2021-06-02 12:00:00
690,GBPSGD_i,1.87309,1.87255,1.87111,1.8738000000000001,1.872455,1.8724866666666664,1.8725025,1.8726374999999997,16434,2021-06-02 16:00:00
691,GBPSGD_i,1.8725399999999999,1.87252,1.87115,1.87368,1.8724150000000002,1.87245,1.8724675,1.8724725,6657,2021-06-02 20:00:00
692,GBPSGD_i,1.87149,1.87259,1.8708,1.87375,1.8722750000000001,1.87238,1.8724325,1.8721575000000001,3166,2021-06-03 00:00:00
693,GBPSGD_i,1.87259,1.8725399999999999,1.87142,1.87341,1.8724150000000002,1.8724566666666667,1.8724775,1.87249,4009,2021-06-03 04:00:00
694,GBPSGD_i,1.8725399999999999,1.8760599999999998,1.87141,1.87653,1.87397,1.8746666666666665,1.8750149999999999,1.8741349999999999,13088,2021-06-03 08:00:00
695,GBPSGD_i,1.8760599999999998,1.87557,1.87358,1.87784,1.87571,1.8756633333333335,1.87564,1.8757625,20611,2021-06-03 12:00:00
696,GBPSGD_i,1.87557,1.8709,1.86937,1.87571,1.8725399999999999,1.8719933333333332,1.8717199999999998,1.8728874999999998,25220,2021-06-03 16:00:00
697,GBPSGD_i,1.8709,1.87062,1.8697599999999999,1.8732600000000001,1.87151,1.8712133333333334,1.871065,1.871135,7166,2021-06-03 20:00:00
698,GBPSGD_i,1.8696199999999998,1.87142,1.86837,1.8733300000000002,1.8708500000000001,1.87104,1.8711350000000002,1.870685,2975,2021-06-04 00:00:00
699,GBPSGD_i,1.87142,1.86938,1.86909,1.87194,1.870515,1.8701366666666666,1.8699474999999999,1.8704575,7013,2021-06-04 04:00:00
700,GBPSGD_i,1.86937,1.87465,1.8691,1.87584,1.8724699999999999,1.8731966666666666,1.87356,1.87224,13900,2021-06-04 08:00:00
701,GBPSGD_i,1.87472,1.87668,1.8738700000000001,1.87835,1.8761100000000002,1.8762999999999999,1.876395,1.875905,17858,2021-06-04 12:00:00
